,Erythroid3_4_corr,Erythroid3_4_pval,Erythroid3_4_qval,Erythroid3_4_ci_low,Erythroid3_4_ci_high,gene_annotation
ENSMUSG00000055609,0.5253236284448188,0.0,0.0,0.5205575353906224,0.5300569852377107,Hba-x
ENSMUSG00000052217,0.5017946130927216,0.0,0.0,0.49687019853245024,0.506686713927161,Hbb-bh1
ENSMUSG00000052187,0.5012855440766086,0.0,0.0,0.4963577851860261,0.5061809999929682,Hbb-y
ENSMUSG00000069919,0.48398566371094026,0.0,0.0,0.47894629405286315,0.48899313520239546,Hba-a1
ENSMUSG00000069917,0.4827604753931339,0.0,0.0,0.47771335171781665,0.48777573243824274,Hba-a2
ENSMUSG00000052305,0.48202016157378397,0.0,0.0,0.4769683622091835,0.4870401135453288,Hbb-bs
ENSMUSG00000073940,0.4735228510437707,0.0,0.0,0.46841790398373734,0.4785961812313342,Hbb-bt
ENSMUSG00000073400,0.4642472844744201,0.0,0.0,0.4590854135273768,0.46937781032704956,Trim10
ENSMUSG00000051839,0.44224408728092757,0.0,0.0,0.4369517390709987,0.4475058168425474,Gypa
ENSMUSG00000018659,0.44167770772906495,0.0,0.0,0.4363820855305401,0.4469427314617968,Pnpo
ENSMUSG00000027078,0.4315550002056065,0.0,0.0,0.42620157906960404,0.43687819584142934,Ube2l6
ENSMUSG00000027869,0.42829911182544383,0.0,0.0,0.4229273883104481,0.43364073468107034,Hsd3b6
ENSMUSG00000021991,0.4220727393653157,0.0,0.0,0.4166664060016068,0.42744921732188274,Cacna2d3
ENSMUSG00000063856,0.42151535948633334,0.0,0.0,0.4161059528878905,0.42689493304632165,Gpx1
ENSMUSG00000054342,0.4198497178150376,0.0,0.0,0.41443115183179724,0.4252385180077422,Kcnn4
ENSMUSG00000096982,0.41920494653392026,0.0,0.0,0.413782844798364,0.424597308672285,Redrum
ENSMUSG00000001348,0.41282131985218157,0.0,0.0,0.40736450876742375,0.4182486555038299,Acp5
ENSMUSG00000040466,0.40867183597587414,0.0,0.0,0.4031927521776518,0.4141216207199665,Blvrb
ENSMUSG00000041237,0.4034071622474208,0.0,0.0,0.397900147599946,0.40888510684723584,Pklr
ENSMUSG00000026688,0.3966195212349425,0.0,0.0,0.3910770367958435,0.40213323939007956,Mgst3
ENSMUSG00000104818,0.39610209508244415,0.0,0.0,0.390556931748977,0.4016185156771635,Gm43661
ENSMUSG00000024588,0.3949169540690453,0.0,0.0,0.38936566818989166,0.4004395513449375,Fech
ENSMUSG00000001014,0.3906230711781327,0.0,0.0,0.385049758239751,0.39616789404405117,Icam4
ENSMUSG00000054191,0.38905887372966735,0.0,0.0,0.38347759723586583,0.3946117333991401,Klf1
ENSMUSG00000070803,0.3881037864971029,0.0,0.0,0.382517663421183,0.3936615377152864,Cited4
ENSMUSG00000038725,0.3822772009614364,0.0,0.0,0.37666177210835516,0.3878645362220539,Pkhd1l1
ENSMUSG00000028332,0.3822013484614472,0.0,0.0,0.3765855410548507,0.38778906594254536,Hemgn
ENSMUSG00000023216,0.3808772802812866,0.0,0.0,0.3752548771605465,0.3864716576691628,Epb42
ENSMUSG00000006574,0.3790166954297444,0.0,0.0,0.3733850631514076,0.38462039276134036,Slc4a1
ENSMUSG00000029866,0.36849564129502577,0.0,0.0,0.36281268175156905,0.3741511919112487,Kel
ENSMUSG00000058794,0.3679045519221272,0.0,0.0,0.3622187521349602,0.3735629729652079,Nfe2
ENSMUSG00000026459,0.3673352430674116,0.0,0.0,0.3616467120591492,0.3729964244652987,Myog
ENSMUSG00000090523,0.36494397867266626,0.0,0.0,0.35924402251002485,0.37061670826541543,Gypc
ENSMUSG00000008843,0.36340879755746913,0.0,0.0,0.357701546322747,0.36908890178216736,Cldn13
ENSMUSG00000073063,0.36265398044422686,0.0,0.0,0.356943153792172,0.3683376993665204,Hbq1b
ENSMUSG00000071715,0.3620218900608798,0.0,0.0,0.35630807511522955,0.3677086302524955,Ncf4
ENSMUSG00000025573,0.3612661576187661,0.0,0.0,0.3555487767740288,0.3669565032335427,6030468B19Rik
ENSMUSG00000001763,0.36121910606486074,0.0,0.0,0.3555015034584343,0.3669096759056027,Tspan33
ENSMUSG00000034248,0.3589875083734318,0.0,0.0,0.3532594214752527,0.3646886798568352,Slc25a37
ENSMUSG00000026614,0.3522451569045824,0.0,0.0,0.3464857934010021,0.3579779651317159,Slc30a10
ENSMUSG00000030000,0.3508316273946471,0.0,0.0,0.3450657829250406,0.35657099314435603,Add2
ENSMUSG00000036718,0.3506557414830378,0.0,0.0,0.3448890924313768,0.3563959213661089,Micall2
ENSMUSG00000045648,0.3503795904214956,0.0,0.0,0.34461167895396844,0.3561210477278395,Vwc2l
ENSMUSG00000059895,0.3490201158696437,0.0,0.0,0.3432460042941547,0.3547678473654347,Ptp4a3
ENSMUSG00000001542,0.3478068781268661,0.0,0.0,0.342027253996726,0.35356018857126664,Ell2
