,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000029614,0.7125045756194975,0.0,0.0,0.7092596777651884,0.7157192811043531,Rpl6
ENSMUSG00000026238,0.7083314572817772,0.0,0.0,0.705047570786538,0.711584966767987,Ptma
ENSMUSG00000062328,0.6758033762333117,0.0,0.0,0.6722235259623202,0.6793516257233527,Rpl17
ENSMUSG00000057841,0.6734085534439795,0.0,0.0,0.6698074694486547,0.676977961371173,Rpl32
ENSMUSG00000053656,0.6642026260788103,0.0,0.0,0.660520627504679,0.6678526776805964,Dancr
ENSMUSG00000052146,0.6454374243345129,0.0,0.0,0.6415939791651225,0.6492484599116211,Rps10
ENSMUSG00000054766,0.6416641994611119,0.0,0.0,0.6377888563720855,0.6455070542188266,Set
ENSMUSG00000071172,0.6367205184059926,0.0,0.0,0.6328036689267407,0.6406047835254794,Srsf3
ENSMUSG00000021645,0.6119714174072163,0.0,0.0,0.6078516590719469,0.6160582302073618,Smn1
ENSMUSG00000034875,0.6087174514668133,0.0,0.0,0.6045716201217833,0.6128303043570086,Nudt19
ENSMUSG00000026248,0.5817088160600201,0.0,0.0,0.5773519984708131,0.5860325087481106,Mrpl44
ENSMUSG00000039771,0.5790333742732245,0.0,0.0,0.574656183703269,0.583377437530116,Polr2j
ENSMUSG00000025872,0.5784819486961555,0.0,0.0,0.5741005709316263,0.5828301989168594,Thoc3
ENSMUSG00000053399,0.5756816024726324,0.0,0.0,0.571279022836803,0.5800510547928908,Adamts18
ENSMUSG00000029863,0.5719737207216703,0.0,0.0,0.5675432282206487,0.5763710897944642,Casp2
ENSMUSG00000021040,0.5708314057141983,0.0,0.0,0.5663923506435475,0.5752373393736897,Slirp
ENSMUSG00000045598,0.5674850938358356,0.0,0.0,0.5630210551095174,0.5719160192708191,Zfp553
ENSMUSG00000052031,0.5674692219449645,0.0,0.0,0.5630050650726772,0.571900265572265,Tagap1
ENSMUSG00000067722,0.5661665460133001,0.0,0.0,0.5616927037753024,0.5706072790617502,BC003965
ENSMUSG00000028010,0.5635963519942448,0.0,0.0,0.5591034664505994,0.5680561378038174,Gar1
ENSMUSG00000049517,0.5614829723689846,0.0,0.0,0.5569744938436273,0.5659583603759595,Rps23
ENSMUSG00000038335,0.5606399910040889,0.0,0.0,0.556125309305973,0.5651215862213372,Tsr1
ENSMUSG00000020358,0.5589233647510068,0.0,0.0,0.5543960802092678,0.5634175716694946,Hnrnpab
ENSMUSG00000058799,0.5548924566498722,0.0,0.0,0.5503357323072786,0.5594161275071344,Nap1l1
ENSMUSG00000066900,0.5491409586077802,0.0,0.0,0.5445426012367284,0.5537063049874456,Suds3
ENSMUSG00000006412,0.5419700322290455,0.0,0.0,0.5373203815697076,0.5465867380058053,Pfdn2
ENSMUSG00000059820,0.540050146999763,0.0,0.0,0.5353868792172258,0.5446804900494127,AU019823
ENSMUSG00000025794,0.5364694357583323,0.0,0.0,0.5317809017343889,0.5411250853735079,Rpl14
ENSMUSG00000011254,0.5343813167345584,0.0,0.0,0.5296781269845434,0.5390516472322952,Thg1l
ENSMUSG00000031939,0.5343561058476806,0.0,0.0,0.5296527395050851,0.5390266132490853,Taf1d
ENSMUSG00000029642,0.5341606821554364,0.0,0.0,0.5294559472307596,0.5388325605562836,Polr1d
ENSMUSG00000074576,0.533802269408949,0.0,0.0,0.5290950257807528,0.5384766609742009,Mocs3
ENSMUSG00000070738,0.5331813512450321,0.0,0.0,0.5284697655424601,0.5378600926965437,Dgkd
ENSMUSG00000022283,0.531897490332589,0.0,0.0,0.5271769428148093,0.5365852100883185,Pabpc1
ENSMUSG00000002477,0.5271634655448603,0.0,0.0,0.5224100616598115,0.531884106372447,Snrpd1
ENSMUSG00000031546,0.5225662028788729,0.0,0.0,0.5177811761613978,0.527318535213783,Gins4
ENSMUSG00000034330,0.5224317172660553,0.0,0.0,0.5176457696905133,0.5271849725541128,Plcg2
ENSMUSG00000029265,0.5179692014561376,0.0,0.0,0.5131528338274195,0.5227529490761091,Dr1
ENSMUSG00000024798,0.5147828959552351,0.0,0.0,0.509944969448874,0.5195882573231033,Htr7
ENSMUSG00000027171,0.5145013770449712,0.0,0.0,0.5096615522215165,0.5193086417078773,Prrg4
ENSMUSG00000052133,0.5107923006948255,0.0,0.0,0.505927563188018,0.5156245455885612,Sema5b
ENSMUSG00000026192,0.5062155711267174,0.0,0.0,0.5013203444593528,0.5110783935282239,Atic
ENSMUSG00000036376,0.504917186287806,0.0,0.0,0.5000133606091672,0.5097886337632367,Abt1
ENSMUSG00000026360,0.502601753256689,0.0,0.0,0.49768264824406283,0.5074885276342409,Rgs2
