,Mesenchyme_1_corr,Mesenchyme_1_pval,Mesenchyme_1_qval,Mesenchyme_1_ci_low,Mesenchyme_1_ci_high,gene_annotation
ENSMUSG00000062825,0.25728442002508567,0.0,0.0,0.2511483066925535,0.2633998553749345,Actg1
ENSMUSG00000066652,0.25559445831669103,0.0,0.0,0.24945271772518277,0.26171563768175593,Lefty2
ENSMUSG00000033837,0.2521775760224026,0.0,0.0,0.24602457288678564,0.25831025514641864,Foxh1
ENSMUSG00000079009,0.22558735587672651,0.0,0.0,0.21935196671193558,0.2318043173986927,Gm14139
ENSMUSG00000040972,0.21811462714458174,0.0,0.0,0.21185776216508348,0.22435361266807277,Igsf21
ENSMUSG00000026536,0.21748323033936254,0.0,0.0,0.21122458450522946,0.22372404332687115,Ifi211
ENSMUSG00000063362,0.2141105934970278,0.0,0.0,0.2078425241029865,0.22036107976584174,Alg11
ENSMUSG00000105383,0.21214170911280542,0.0,0.0,0.20586820769455558,0.2183977737713213,Gm42641
ENSMUSG00000020097,0.20974596676691717,0.0,0.0,0.2034659245298271,0.21600875091444405,Sgpl1
ENSMUSG00000059921,0.20553146114975487,0.0,0.0,0.1992400960352281,0.21180588398932604,Unc5c
ENSMUSG00000019943,0.20212900824051847,0.0,0.0,0.1958286726395666,0.2084126579069337,Atp2b1
ENSMUSG00000070880,0.2013540386827209,0.0,0.0,0.19505168121423244,0.2076397687724763,Gad1
ENSMUSG00000024486,0.2007676181656728,0.0,0.0,0.1944637360050162,0.20705491729836983,Hbegf
ENSMUSG00000063268,0.1986828837894061,0.0,0.0,0.1923736179966507,0.2049757245098571,Parp10
ENSMUSG00000041827,0.19850551818113935,0.0,0.0,0.1921957970004738,0.2047988277487431,Oasl1
ENSMUSG00000047415,0.1972419588786861,0.0,0.0,0.19092900548725128,0.20353859663435772,Gpr68
ENSMUSG00000029561,0.19667043007111562,0.0,0.0,0.190356021603871,0.20296856636819363,Oasl2
ENSMUSG00000029501,0.19594674585773386,0.0,0.0,0.1896305011091825,0.20224677352093876,Ankle2
ENSMUSG00000078497,0.1959367298359912,0.0,0.0,0.18962045972110966,0.20223678362829012,Zfp978
ENSMUSG00000086095,0.19553743087728043,0.0,0.0,0.1892201505839377,0.20183852526466395,Gm15328
ENSMUSG00000021548,0.19518747995829955,0.0,0.0,0.188869316057714,0.20148948462369795,Ccnh
ENSMUSG00000035245,0.1948726979979968,0.0,0.0,0.18855374066777705,0.2011755200940191,Eogt
ENSMUSG00000025328,0.19442590930644124,0.0,0.0,0.18810582805511597,0.20072988940671224,Padi3
ENSMUSG00000058567,0.1936128478845148,0.0,0.0,0.18729072807834063,0.19991892861517344,Gm2531
ENSMUSG00000107961,0.19199922440027808,0.0,0.0,0.18567308460775622,0.19830944850953766,Gm44036
ENSMUSG00000025321,0.19164716826607867,0.0,0.0,0.18532015596024334,0.1979582918444303,Itgb8
ENSMUSG00000032026,0.19082235807641157,0.0,0.0,0.18449330800548783,0.1971355826208431,Rexo2
ENSMUSG00000037075,0.19070969060245757,0.0,0.0,0.18438036287224077,0.19702320144452556,Rnf139
ENSMUSG00000050035,0.1904293141329994,0.0,0.0,0.1840992961647052,0.1967435367153523,Fhl4
ENSMUSG00000110104,0.19012619457010718,0.0,0.0,0.1837954315387667,0.19644118547058853,RP24-243J4.5
ENSMUSG00000041329,0.19008466271630742,0.0,0.0,0.18375379769458158,0.1963997587941666,Atp1b2
ENSMUSG00000037171,0.1884382846882349,0.0,0.0,0.18210339492893615,0.1947575319762965,Nodal
ENSMUSG00000037306,0.18843423067233195,0.0,0.0,0.18209933104663528,0.1947534881385422,Man1c1
ENSMUSG00000028373,0.18837246545541325,0.0,0.0,0.1820374155363506,0.19469187796488532,Astn2
ENSMUSG00000071235,0.1873281127520156,0.0,0.0,0.18099052921418995,0.1936501392496074,Vrtn
ENSMUSG00000109781,0.18709530028576285,0.0,0.0,0.18075715389831956,0.19341790756372396,Gm45509
ENSMUSG00000102627,0.18701009466677532,0.0,0.0,0.18067174246382706,0.19333291432391747,Snurf
ENSMUSG00000020063,0.1870026351507941,0.0,0.0,0.1806642649338194,0.19332547339662776,Sirt1
ENSMUSG00000058385,0.18675395952800006,0.0,0.0,0.1804149892022461,0.19307741704312134,Hist1h2bg
ENSMUSG00000043943,0.18672235391276018,0.0,0.0,0.18038330737405292,0.1930458900764813,Naalad2
ENSMUSG00000098754,0.18652100742775668,0.0,0.0,0.18018147567621623,0.19284504432308225,Gm44637
ENSMUSG00000078349,0.18609798873089514,0.0,0.0,0.1797574393108493,0.1924230759115875,AW011738
ENSMUSG00000003226,0.18603676975070654,0.0,0.0,0.17969607324953588,0.19236200873423923,Ranbp2
ENSMUSG00000058093,0.18598352571862986,0.0,0.0,0.17964270133660085,0.19230889668993498,Zfp729b
ENSMUSG00000026124,0.18536762800605194,0.0,0.0,0.17902532708182473,0.19169452304585094,Cfc1
ENSMUSG00000020048,0.18536692745786318,0.0,0.0,0.1790246248569981,0.19169382422837916,Hsp90b1
ENSMUSG00000041408,0.185353604404437,0.0,0.0,0.17901126991843636,0.19168053408857638,Wapl
ENSMUSG00000042814,0.18518536349974876,0.0,0.0,0.17884262657562072,0.19151270861101957,Mcts2
ENSMUSG00000031584,0.18498503218992385,0.0,0.0,0.17864181655241332,0.1913128714846445,Gsr
ENSMUSG00000097134,0.18420070599445312,0.0,0.0,0.17785562120895895,0.1905304750415664,1110002J07Rik
ENSMUSG00000019080,0.183741771129821,0.0,0.0,0.17739559640123936,0.19007266560879213,Mfsd3
ENSMUSG00000032437,0.18303676062005023,0.0,0.0,0.17668891693568103,0.18936937861116573,Stt3b
ENSMUSG00000024085,0.18276291389040647,0.0,0.0,0.17641442369946156,0.1890961995920624,Man2a1
ENSMUSG00000026468,0.1826567138663712,0.0,0.0,0.1763079732205467,0.18899025824788449,Lhx4
ENSMUSG00000002688,0.18261533185663217,0.0,0.0,0.17626649365850985,0.1889489769956846,Prkd1
ENSMUSG00000034525,0.18250254267602153,0.0,0.0,0.17615343870766403,0.18883646232220874,Ice1
ENSMUSG00000012396,0.18229924078342416,0.0,0.0,0.17594965818870165,0.18863365480721853,Nanog
ENSMUSG00000040328,0.18229236289305287,0.0,0.0,0.17594276411547619,0.18862679363264853,Olfr56
ENSMUSG00000050222,0.18215538706698584,0.0,0.0,0.17580546613137843,0.18849015057938548,Il17d
ENSMUSG00000108801,0.18182311167432846,0.0,0.0,0.17547241027557084,0.18815868140648195,Gm44514
