,NMP_2_corr,NMP_2_pval,NMP_2_qval,NMP_2_ci_low,NMP_2_ci_high,gene_annotation
ENSMUSG00000024619,0.42559530275518925,0.0,0.0,0.42020848687259005,0.43095212343353406,Cdx1
ENSMUSG00000021340,0.42480986651961455,0.0,0.0,0.41941868454660536,0.43017108422389627,Gpld1
ENSMUSG00000056648,0.40173158465671316,0.0,0.0,0.396215757404634,0.40721841596142305,Hoxb8
ENSMUSG00000038227,0.40055885253068096,0.0,0.0,0.3950368794466582,0.4060518818765426,Hoxa9
ENSMUSG00000022454,0.39486117796262726,0.0,0.0,0.3893096043966336,0.40038406548019356,Nell2
ENSMUSG00000052013,0.3839363365568834,0.0,0.0,0.3783292068996685,0.3895152926979457,Btla
ENSMUSG00000031688,0.37685652828557575,0.0,0.0,0.3712142382170949,0.38247098966112003,Pou4f2
ENSMUSG00000028540,0.37655871534393726,0.0,0.0,0.3709149607695065,0.3821746559455305,Dph2
ENSMUSG00000021974,0.37324127553257247,0.0,0.0,0.3675812865849814,0.37887361564247357,Fgf9
ENSMUSG00000109936,0.3700507152060139,0.0,0.0,0.36437525000098886,0.3756986923939568,RP23-145I16.5
ENSMUSG00000038236,0.36991700213475115,0.0,0.0,0.36424089127302517,0.3755656317618064,Hoxa7
ENSMUSG00000025082,0.369422344064073,0.0,0.0,0.36374384671412213,0.3750733852998809,Vwa2
ENSMUSG00000053338,0.36698918048797213,0.0,0.0,0.3612989913607226,0.3726520377442422,Tarm1
ENSMUSG00000054162,0.36543907935234976,0.0,0.0,0.3597414825144466,0.3711094240566821,Spock3
ENSMUSG00000097219,0.36433284255467074,0.0,0.0,0.35862997858535534,0.3700085115727606,Gm26551
ENSMUSG00000029646,0.3624331571765542,0.0,0.0,0.3567212859523447,0.36811793218270555,Cdx2
ENSMUSG00000040717,0.3598675580920448,0.0,0.0,0.3541435979065141,0.3655645564738955,Il17rd
ENSMUSG00000029245,0.35780163103748236,0.0,0.0,0.3520679995304493,0.36350840986635047,Epha5
ENSMUSG00000101174,0.35561088142728037,0.0,0.0,0.34986705586516126,0.3613279708914696,Hoxd4
ENSMUSG00000001566,0.3540001736609833,0.0,0.0,0.34824889355805233,0.35972480394193085,Mnx1
ENSMUSG00000105076,0.353676446369952,0.0,0.0,0.34792367215655556,0.35940258815880016,A930003O13Rik
ENSMUSG00000007946,0.3532727258572076,0.0,0.0,0.3475180902776538,0.35900075073538235,Phox2a
ENSMUSG00000043969,0.3509242218503266,0.0,0.0,0.3451588011140249,0.3566631588407336,Emx2
ENSMUSG00000087379,0.3488361439370746,0.0,0.0,0.3430611952027417,0.3545847226424601,Gm13849
ENSMUSG00000038692,0.34835224236264317,0.0,0.0,0.34257509378311085,0.3541030473788285,Hoxb4
ENSMUSG00000034701,0.34603610388714334,0.0,0.0,0.34024846883907284,0.35179752262865915,Neurod1
ENSMUSG00000023781,0.34158819633014104,0.0,0.0,0.3357806217914391,0.3473698016284617,Hes7
ENSMUSG00000022485,0.34008891435421995,0.0,0.0,0.3342746775817615,0.34587726595498974,Hoxc5
ENSMUSG00000075394,0.3342402404861864,0.0,0.0,0.3284002982476056,0.3400546292612194,Hoxc4
ENSMUSG00000020875,0.33422357990899265,0.0,0.0,0.32838356509089833,0.3400380422169276,Hoxb9
ENSMUSG00000029269,0.3338143269183398,0.0,0.0,0.3279725303968204,0.3396305943639186,Sult1b1
ENSMUSG00000028234,0.3294423738824789,0.0,0.0,0.32358168186435793,0.33527778896138066,Rps20
ENSMUSG00000091053,0.32913010582571955,0.0,0.0,0.32326807384893347,0.33496687899715877,Gm9742
ENSMUSG00000079560,0.3284154024670158,0.0,0.0,0.32255030850651306,0.3342552791884106,Hoxa3
ENSMUSG00000001819,0.3284060300497562,0.0,0.0,0.3225408959800726,0.3342459474259956,Hoxd13
ENSMUSG00000064329,0.32737576075952196,0.0,0.0,0.3215062247328119,0.3332201401659703,Scn1a
ENSMUSG00000029410,0.32714771298930967,0.0,0.0,0.3212772044939398,0.33299307818575563,Ppef2
ENSMUSG00000001815,0.326172404156737,0.0,0.0,0.320297744380954,0.33202197770501046,Evx2
ENSMUSG00000030946,0.3252280714194784,0.0,0.0,0.3193494041771539,0.3310817078457726,Lhpp
ENSMUSG00000028979,0.3241595232312226,0.0,0.0,0.31827633558873397,0.33001774293845326,Masp2
ENSMUSG00000091735,0.32356578828075694,0.0,0.0,0.3176800954098517,0.32942654823852346,Gpr62
ENSMUSG00000092196,0.3226100631766877,0.0,0.0,0.3167203474580905,0.32847490248032796,Gm38505
ENSMUSG00000063626,0.32208241827824013,0.0,0.0,0.3161904867584361,0.32794950464031103,Unc5d
ENSMUSG00000048763,0.3218454475948039,0.0,0.0,0.3159525221323035,0.3277135419525803,Hoxb3
ENSMUSG00000070327,0.3192053626474563,0.0,0.0,0.31330141383375715,0.3250846375503025,Rnf213
ENSMUSG00000097067,0.31907834974413435,0.0,0.0,0.3131738729236615,0.32495816024529917,Gm26743
ENSMUSG00000028937,0.31558057189339417,0.0,0.0,0.3096616381124885,0.3214750494575706,Acot7
ENSMUSG00000038721,0.3145559810705936,0.0,0.0,0.3086328430520067,0.320454724795539,Hoxb7
ENSMUSG00000039097,0.31436000049326057,0.0,0.0,0.3084360598799379,0.320259558676844,Rln1
ENSMUSG00000059246,0.3136133220485302,0.0,0.0,0.3076863282260115,0.31951597869941617,Foxb1
ENSMUSG00000101298,0.3134194168877772,0.0,0.0,0.30749163138020574,0.31932287699158474,Gm28308
ENSMUSG00000084897,0.3121141967428754,0.0,0.0,0.30618109513621683,0.3180230523161501,Gm14226
ENSMUSG00000059146,0.3119522498814339,0.0,0.0,0.3060184902412047,0.3178617733554317,Ntrk3
ENSMUSG00000053117,0.3102387345052131,0.0,0.0,0.3042980336022921,0.31615530390195007,E330013P04Rik
ENSMUSG00000029120,0.30892413287608084,0.0,0.0,0.30297813293912085,0.314846081920598,Ppp2r2c
ENSMUSG00000053825,0.30839498274226584,0.0,0.0,0.3024468562903819,0.31431909082803067,Ppfia2
ENSMUSG00000056972,0.30683808805101204,0.0,0.0,0.3008837262837125,0.3127685274112522,Magel2
ENSMUSG00000029348,0.30604232618716265,0.0,0.0,0.3000847897733614,0.31197598938905474,Asphd2
ENSMUSG00000028755,0.30585960971085036,0.0,0.0,0.29990134553997333,0.311794011979752,Cda
ENSMUSG00000063646,0.30532099339088936,0.0,0.0,0.29936058648300745,0.3112575717671786,Jakmip1
ENSMUSG00000075304,0.3040043173033219,0.0,0.0,0.2980386884822664,0.3099461993608598,Sp5
ENSMUSG00000100119,0.30351649371228906,0.0,0.0,0.29754893600092047,0.3094603350240651,2700089I24Rik
ENSMUSG00000048528,0.3015394242993188,0.0,0.0,0.2955640812688851,0.3074911743714675,Nkx1-2
ENSMUSG00000039860,0.3012150925624413,0.0,0.0,0.29523847730152275,0.3071681351734344,Srrm3
ENSMUSG00000048015,0.2991554735056026,0.0,0.0,0.2931708115394207,0.3051166921681171,Neurod4
ENSMUSG00000081683,0.2985491100848655,0.0,0.0,0.29256208979036397,0.3045127252810296,Fzd10
ENSMUSG00000034486,0.29840003139151156,0.0,0.0,0.2924124320285943,0.3043642350578248,Gbx2
ENSMUSG00000020392,0.2979934262184047,0.0,0.0,0.29200424896429367,0.30395923343610365,Cdkn2aipnl
ENSMUSG00000028496,0.2975219230750294,0.0,0.0,0.29153091881551646,0.30348958708578083,Mllt3
ENSMUSG00000043219,0.2972796209720627,0.0,0.0,0.29128767896871877,0.30324823804759576,Hoxa6
ENSMUSG00000048582,0.296429382337993,0.0,0.0,0.290434155918617,0.302401337662061,Gja3
ENSMUSG00000048349,0.2956976856518987,0.0,0.0,0.28969964037357754,0.3016725062505831,Pou4f1
ENSMUSG00000022685,0.2954916723765045,0.0,0.0,0.2894928347073723,0.3014672984493481,Parn
ENSMUSG00000049307,0.2947096124906501,0.0,0.0,0.2887077718756539,0.300688291234791,Fut4
ENSMUSG00000026969,0.29378719131460457,0.0,0.0,0.28778181916939005,0.29976946035855545,Fam166a
ENSMUSG00000039081,0.2937520836057886,0.0,0.0,0.2877465772709569,0.2997344890787027,Zfp503
ENSMUSG00000022101,0.2925646322372519,0.0,0.0,0.2865545967723823,0.29855164269178,Fgf17
ENSMUSG00000097799,0.29241342681188065,0.0,0.0,0.2864028159607085,0.29840102232666316,Gm26899
ENSMUSG00000111497,0.2916575668479625,0.0,0.0,0.2856440842247856,0.29764808254554126,RP23-186O3.11
ENSMUSG00000003731,0.2915807746187885,0.0,0.0,0.28556700065737267,0.29757158657776006,Kpna6
ENSMUSG00000050917,0.2908752344598512,0.0,0.0,0.2848587874261209,0.2968687647648788,Fgf4
ENSMUSG00000038600,0.2905081740580421,0.0,0.0,0.2844903389440326,0.2965031160267938,Atp6v0a4
ENSMUSG00000071662,0.29032428872925614,0.0,0.0,0.28430575890053605,0.29631993723485844,Polr2g
