,Erythroid3_5_corr,Erythroid3_5_pval,Erythroid3_5_qval,Erythroid3_5_ci_low,Erythroid3_5_ci_high,gene_annotation
ENSMUSG00000055609,0.5634791646478355,0.0,0.0,0.558985412918434,0.5679398171201795,Hba-x
ENSMUSG00000052187,0.5414552843452839,0.0,0.0,0.5368019779506926,0.546075651158645,Hbb-y
ENSMUSG00000069919,0.535366187975738,0.0,0.0,0.5306699034652981,0.540029601218514,Hba-a1
ENSMUSG00000069917,0.5307956433169072,0.0,0.0,0.5260674219322039,0.5354910514519665,Hba-a2
ENSMUSG00000052305,0.5212027746401944,0.0,0.0,0.5164084232789664,0.5259644530848502,Hbb-bs
ENSMUSG00000052217,0.5210575214425033,0.0,0.0,0.5162621781301799,0.5258201941546536,Hbb-bh1
ENSMUSG00000073940,0.5167974608369612,0.0,0.0,0.511973149445165,0.5215891720833331,Hbb-bt
ENSMUSG00000073400,0.49112842726707023,0.0,0.0,0.486134658845636,0.496090121166378,Trim10
ENSMUSG00000018659,0.4646933735734991,0.0,0.0,0.45953421418636936,0.46982117432019077,Pnpo
ENSMUSG00000027078,0.46374002101065104,0.0,0.0,0.45857506985575763,0.4688736425327524,Ube2l6
ENSMUSG00000051839,0.4630775520536863,0.0,0.0,0.4579085833812057,0.468215211378506,Gypa
ENSMUSG00000027869,0.44879603946626623,0.0,0.0,0.443541873810193,0.4540193583496259,Hsd3b6
ENSMUSG00000054342,0.44648651988723803,0.0,0.0,0.4412188302956039,0.45172344199059555,Kcnn4
ENSMUSG00000063856,0.44503114380152603,0.0,0.0,0.4397549681734166,0.4502766025356273,Gpx1
ENSMUSG00000096982,0.4387025240209323,0.0,0.0,0.4333897733286104,0.44398478346536324,Redrum
ENSMUSG00000041237,0.43393580710640656,0.0,0.0,0.4285958580214599,0.43924544089800516,Pklr
ENSMUSG00000040466,0.4311408018869322,0.0,0.0,0.4257850446244004,0.4364663494001469,Blvrb
ENSMUSG00000021991,0.4289799978234554,0.0,0.0,0.4236120901853111,0.43431777850047776,Cacna2d3
ENSMUSG00000001014,0.4272811714754513,0.0,0.0,0.421903754575982,0.43262852722846745,Icam4
ENSMUSG00000001348,0.42203302345126126,0.0,0.0,0.41662647096926436,0.42740972211775013,Acp5
ENSMUSG00000026688,0.42168552374987683,0.0,0.0,0.4162770549531428,0.4270641526719739,Mgst3
ENSMUSG00000024588,0.4211280994838453,0.0,0.0,0.4157165600631714,0.4265098214473451,Fech
ENSMUSG00000006574,0.4180038962343958,0.0,0.0,0.412575222924957,0.4234028789782487,Slc4a1
ENSMUSG00000104818,0.41703419430549904,0.0,0.0,0.4116002291723445,0.42243850868734806,Gm43661
ENSMUSG00000070803,0.4107728803279896,0.0,0.0,0.40530504560541436,0.41621132623247953,Cited4
ENSMUSG00000023216,0.40970103584023715,0.0,0.0,0.4042274551243656,0.4151452734142666,Epb42
ENSMUSG00000028332,0.40429232308367063,0.0,0.0,0.3987899788763132,0.4097655583341925,Hemgn
ENSMUSG00000038725,0.40324013569380096,0.0,0.0,0.3977322409137001,0.40871896778657474,Pkhd1l1
ENSMUSG00000054191,0.39962741824387793,0.0,0.0,0.3941005768340702,0.4051253575850613,Klf1
ENSMUSG00000058794,0.39482587588936696,0.0,0.0,0.38927412026053343,0.40034894708711843,Nfe2
ENSMUSG00000008843,0.39180043498512934,0.0,0.0,0.38623313751325805,0.39733918757646425,Cldn13
ENSMUSG00000073063,0.3916144256489772,0.0,0.0,0.38604617658668616,0.39715413847111625,Hbq1b
ENSMUSG00000034248,0.3913812361816522,0.0,0.0,0.38581179481004535,0.39692215215495597,Slc25a37
ENSMUSG00000071715,0.3911343118135606,0.0,0.0,0.38556360868909567,0.396676501032138,Ncf4
ENSMUSG00000029866,0.3903000031768393,0.0,0.0,0.38472504280200687,0.3958464885674399,Kel
ENSMUSG00000025573,0.3858117250468348,0.0,0.0,0.38021402012051697,0.3913811667732233,6030468B19Rik
ENSMUSG00000026459,0.38549950498264873,0.0,0.0,0.37990022777418087,0.39107053387347473,Myog
ENSMUSG00000001763,0.38401668830943736,0.0,0.0,0.3784099615051663,0.389595237740697,Tspan33
ENSMUSG00000090523,0.3802285321220011,0.0,0.0,0.3746029057855412,0.38582616430373134,Gypc
ENSMUSG00000036718,0.37935746550232874,0.0,0.0,0.37372752014099203,0.38495945923847236,Micall2
ENSMUSG00000059895,0.37662759885619806,0.0,0.0,0.37098418291472524,0.38224319741857155,Ptp4a3
ENSMUSG00000027495,0.37584197594602237,0.0,0.0,0.3701947015851247,0.38146147183127205,Fam210b
ENSMUSG00000001542,0.3730429508770535,0.0,0.0,0.36738199600668053,0.3786762668493009,Ell2
ENSMUSG00000027562,0.3681147717262075,0.0,0.0,0.3624299815372434,0.3737721724288956,Car2
