,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000028736,0.2159527365156542,0.0,0.0,0.20968979572138244,0.22219795762909594,Pax7
ENSMUSG00000012282,0.21328210450865082,0.0,0.0,0.20701174314354456,0.219534944285821,Wnt8a
ENSMUSG00000004341,0.20717891160118987,0.0,0.0,0.2008919447447512,0.21344881250417022,Gpx6
ENSMUSG00000039097,0.20297494571944122,0.0,0.0,0.1966768261692333,0.20925631548862275,Rln1
ENSMUSG00000048528,0.19885135361960268,0.0,0.0,0.19254252075844733,0.2051437486272485,Nkx1-2
ENSMUSG00000029410,0.19867542351691816,0.0,0.0,0.1923661385614939,0.20496828396608963,Ppef2
ENSMUSG00000024619,0.19812937595531363,0.0,0.0,0.19181869039691973,0.20442367845455484,Cdx1
ENSMUSG00000100119,0.19680024035711485,0.0,0.0,0.1904861620009676,0.20309803666791948,2700089I24Rik
ENSMUSG00000085330,0.1925061203531886,0.0,0.0,0.18618123968596068,0.1988150465473904,Gm13417
ENSMUSG00000035914,0.19206756203491943,0.0,0.0,0.18574159179516825,0.1983776113604442,Cd276
ENSMUSG00000022715,0.1909685105618053,0.0,0.0,0.18463982092017328,0.19728136347313163,Tmem114
ENSMUSG00000052013,0.19078492133232536,0.0,0.0,0.1844557789832235,0.1970982410251141,Btla
ENSMUSG00000002341,0.19069203028583218,0.0,0.0,0.18436265904843982,0.19700558598922566,Ncan
ENSMUSG00000028496,0.1901300335842838,0.0,0.0,0.18379927998161386,0.1964450147615122,Mllt3
ENSMUSG00000022101,0.18977816105615591,0.0,0.0,0.1834465440561533,0.19609403263726655,Fgf17
ENSMUSG00000003436,0.18913542950756498,0.0,0.0,0.1828022396321565,0.1954529233256436,Dll3
ENSMUSG00000089815,0.18898697716745938,0.0,0.0,0.1826534247768024,0.19530484490761577,Gm5083
ENSMUSG00000091053,0.18894720095126816,0.0,0.0,0.18261355147782493,0.19526516883091413,Gm9742
ENSMUSG00000024901,0.1886993675371146,0.0,0.0,0.18236511363989397,0.19501795888939538,Peli3
ENSMUSG00000045019,0.1865366596242911,0.0,0.0,0.18019716557290535,0.19286065761292964,Acer1
ENSMUSG00000028796,0.18585566349586652,0.0,0.0,0.17951453216838903,0.19218135127622996,Phc2
ENSMUSG00000040717,0.1845937879512758,0.0,0.0,0.17824963891703094,0.1909225908666058,Il17rd
ENSMUSG00000071340,0.1843532398169127,0.0,0.0,0.17800851790424566,0.19068263420041195,Trappc3l
ENSMUSG00000025856,0.1837860667309883,0.0,0.0,0.17743999708091518,0.19011685270526393,Pdgfa
ENSMUSG00000092275,0.18364015180661308,0.0,0.0,0.1772937361131824,0.1899712951112129,Gm20465
ENSMUSG00000111758,0.18361449727058088,0.0,0.0,0.1772680207653204,0.1899457033716762,RP23-181A8.2
ENSMUSG00000028957,0.1833830223326393,0.0,0.0,0.17703599752816213,0.18971479464295138,Per3
ENSMUSG00000109936,0.18263066988347465,0.0,0.0,0.17628186783997474,0.18896427767987983,RP23-145I16.5
ENSMUSG00000051107,0.18262594115836997,0.0,0.0,0.17627712796804273,0.18895956046786902,Gm15440
ENSMUSG00000028327,0.1814937251241293,0.0,0.0,0.17514225148243148,0.18783009264212697,Stra6l
ENSMUSG00000048562,0.18102581663606737,0.0,0.0,0.1746732484442895,0.18736331500647235,Sp8
ENSMUSG00000017697,0.18086620090993027,0.0,0.0,0.1745132599981064,0.18720408438873123,Ada
ENSMUSG00000039838,0.18061685292176952,0.0,0.0,0.1742633304266364,0.18695533734143419,Slc45a1
ENSMUSG00000033214,0.17988334128654285,0.0,0.0,0.17352811268291263,0.18622358879277418,Slitrk5
ENSMUSG00000036492,0.1795483100318734,0.0,0.0,0.17319230452030313,0.18588936048740293,Rnf39
ENSMUSG00000029348,0.17794996792891066,0.0,0.0,0.171590276345336,0.18429482883553064,Asphd2
ENSMUSG00000028755,0.17747761262237055,0.0,0.0,0.1711168381389037,0.18382359323145508,Cda
ENSMUSG00000070304,0.17676611474223217,0.0,0.0,0.17040371465633053,0.18311377642719567,Scn2b
ENSMUSG00000025318,0.17669679327131296,0.0,0.0,0.17033423515873583,0.1830446183902211,Jph3
ENSMUSG00000028528,0.17629958780371052,0.0,0.0,0.16993612543303463,0.1826483481723066,Dnajc6
ENSMUSG00000036596,0.17583963708878686,0.0,0.0,0.1694751302124785,0.18218947786818818,Cpz
ENSMUSG00000056300,0.17583697298952847,0.0,0.0,0.16947246007140912,0.18218682001876457,Zfp981
ENSMUSG00000028979,0.17567879754043633,0.0,0.0,0.16931392606959994,0.182029015474533,Masp2
ENSMUSG00000005045,0.17553802144979372,0.0,0.0,0.16917283114419684,0.18188856921396304,Chd5
ENSMUSG00000084897,0.17542055064593773,0.0,0.0,0.16905509448792097,0.1817713734389554,Gm14226
ENSMUSG00000067341,0.1753981226490892,0.0,0.0,0.16903261575411588,0.18174899793120608,H2-Eb2
ENSMUSG00000079330,0.17442269318478146,0.0,0.0,0.16805498606527636,0.18077584493891602,Lemd1
ENSMUSG00000049404,0.17357546473521937,0.0,0.0,0.16720585673183716,0.17993058366904444,Rarres1
ENSMUSG00000021687,0.173245120479329,0.0,0.0,0.16687477385965152,0.17960100389641115,Scamp1
ENSMUSG00000030329,0.1732252268713109,0.0,0.0,0.16685483581740201,0.17958115628066643,Pianp
ENSMUSG00000001281,0.17308016117277997,0.0,0.0,0.16670944625859513,0.1794364258048417,Itgb7
ENSMUSG00000000085,0.17304631484345323,0.0,0.0,0.16667552440693872,0.17940265764916624,Scmh1
ENSMUSG00000032244,0.1728602385250489,0.0,0.0,0.16648903316021985,0.1792170108370244,Fem1b
ENSMUSG00000079560,0.17268402367667454,0.0,0.0,0.16631242579365707,0.1790412023150496,Hoxa3
ENSMUSG00000046324,0.17212334130560292,0.0,0.0,0.1657504972233043,0.17848181009678687,Ermp1
ENSMUSG00000059713,0.17192699120069596,0.0,0.0,0.1655537116796949,0.17828591082965067,Rcan3
ENSMUSG00000041235,0.17135310722937996,0.0,0.0,0.16497855793552033,0.17771334165856098,Chd7
ENSMUSG00000026594,0.17102668143560432,0.0,0.0,0.16465141182795168,0.17738766180319976,Ralgps2
ENSMUSG00000039137,0.17087731023430508,0.0,0.0,0.16450171148157589,0.1772386314758457,Whrn
ENSMUSG00000097902,0.1708077954859907,0.0,0.0,0.1644320436550392,0.17716927526483567,Gm26531
ENSMUSG00000106598,0.1708019317966301,0.0,0.0,0.1644261670561747,0.1771634249454815,Gm43532
ENSMUSG00000044813,0.170760152810187,0.0,0.0,0.16438429610217725,0.1771217412077766,Shb
ENSMUSG00000073411,0.1707107766653932,0.0,0.0,0.16433481129592456,0.1770724776024798,H2-D1
ENSMUSG00000050917,0.17069299421467457,0.0,0.0,0.16431698971945125,0.17705473567421498,Fgf4
ENSMUSG00000031870,0.17067661126295738,0.0,0.0,0.16430057072490462,0.1770383900521293,Pgr
ENSMUSG00000078503,0.1706142464046433,0.0,0.0,0.16423806869494825,0.17697616726413337,Zfp990
ENSMUSG00000035200,0.17022754143210123,0.0,0.0,0.1638505143069484,0.17659034208985086,Chrnb4
ENSMUSG00000051219,0.1701615440146804,0.0,0.0,0.16378437211977498,0.1765244946288099,3100002H09Rik
ENSMUSG00000025582,0.1700512867819269,0.0,0.0,0.16367387315830653,0.1764144877905577,Nptx1
ENSMUSG00000029699,0.1700389269445397,0.0,0.0,0.16366148623310167,0.17640215601248949,Ssc4d
ENSMUSG00000024406,0.16961455966029151,0.0,0.0,0.16323619012538412,0.1759787509157308,Pou5f1
ENSMUSG00000033948,0.16904284791240431,0.0,0.0,0.16266323080550735,0.17540833171309844,Zswim5
ENSMUSG00000053338,0.16889788912337697,0.0,0.0,0.16251795637556676,0.17526369997259408,Tarm1
ENSMUSG00000028412,0.16869452447825137,0.0,0.0,0.16231414937975236,0.17506079368513594,Slc44a1
ENSMUSG00000032485,0.16841611854094118,0.0,0.0,0.16203513874768596,0.17478301436195628,Scap
ENSMUSG00000066026,0.16835488401528037,0.0,0.0,0.1619737713581625,0.17472191752216154,Dhrs3
ENSMUSG00000025082,0.16812412675946928,0.0,0.0,0.1617425138593069,0.1744916786836446,Vwa2
ENSMUSG00000053219,0.16800903638844322,0.0,0.0,0.16162717425361836,0.17437684661343122,Raet1e
ENSMUSG00000007880,0.16779966047396852,0.0,0.0,0.16141734537095476,0.17416794016350876,Arid1a
ENSMUSG00000029409,0.16769733521188118,0.0,0.0,0.16131479894619066,0.17406584412750933,U90926
