,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000051354,0.8198773676145518,0.0,0.0,0.8177153650278837,0.8220162384110371,Samd3
ENSMUSG00000031559,0.8019914736909775,0.0,0.0,0.7996384234817613,0.8043198943903348,4930555F03Rik
ENSMUSG00000022805,0.7996319607040051,0.0,0.0,0.7972540258136497,0.8019850784610123,Maats1
ENSMUSG00000096140,0.7886848671566242,0.0,0.0,0.7861924490713176,0.7911516275882408,Ankrd66
ENSMUSG00000025963,0.7861492999384351,0.0,0.0,0.7836305930221007,0.788642161506387,Mdh1b
ENSMUSG00000067101,0.7850150587538409,0.0,0.0,0.7824846197251054,0.7875195693177448,1700010H22Rik
ENSMUSG00000028589,0.7820880836684868,0.0,0.0,0.7795274484361285,0.7846225783568926,1700012P22Rik
ENSMUSG00000110427,0.7758193121698335,0.0,0.0,0.7731943890302804,0.7784176521753451,RP23-163N19.1
ENSMUSG00000053783,0.7736758125723112,0.0,0.0,0.7710290273889052,0.776295866904164,1700016K19Rik
ENSMUSG00000053161,0.7728751868899614,0.0,0.0,0.7702202516418132,0.7755033365832613,Daw1
ENSMUSG00000022262,0.7717722848722178,0.0,0.0,0.7691061364843517,0.7744115727676192,Dnah5
ENSMUSG00000022783,0.7700176859928057,0.0,0.0,0.7673337320950742,0.772674661179226,Spag6l
ENSMUSG00000038060,0.7695059717254465,0.0,0.0,0.7668168327217172,0.7721680977710206,Dlec1
ENSMUSG00000102343,0.7684059910813041,0.0,0.0,0.7657057179843585,0.7710791779552666,Gm37381
ENSMUSG00000028523,0.7679725181866099,0.0,0.0,0.7652678618688374,0.7706500595416184,Tctex1d1
ENSMUSG00000043020,0.7620190248507285,0.0,0.0,0.7592544208228956,0.7647561267141739,Wdr63
ENSMUSG00000035539,0.7609534748377975,0.0,0.0,0.7581781912373021,0.7637011884477239,Ccdc180
ENSMUSG00000022758,0.7600738857100364,0.0,0.0,0.7572897977398424,0.7628303480367769,P2rx6
ENSMUSG00000046242,0.7578586376137589,0.0,0.0,0.7550524214610491,0.7606370893057803,Nme9
ENSMUSG00000034467,0.7555223839753785,0.0,0.0,0.7526929017152046,0.7583239574556161,Dynlrb2
ENSMUSG00000029155,0.7547193932014977,0.0,0.0,0.7518819309611643,0.757528897550208,Spata18
ENSMUSG00000026173,0.7521510171556078,0.0,0.0,0.7492880885003684,0.7549858325209919,Plcd4
ENSMUSG00000071550,0.7509131509138441,0.0,0.0,0.7480379797182416,0.7537601348387516,Cfap44
ENSMUSG00000108022,0.7507764834202896,0.0,0.0,0.7478999618290724,0.7536248096093465,Gm7298
ENSMUSG00000032514,0.7464945032694985,0.0,0.0,0.7435757978923228,0.7493847621357203,Ttc21a
ENSMUSG00000037683,0.7457434445621718,0.0,0.0,0.7428173653198573,0.748641033978862,Armc3
ENSMUSG00000045275,0.7438366915128711,0.0,0.0,0.7408919255790828,0.7467528586311019,Lca5l
ENSMUSG00000014725,0.743505315649259,0.0,0.0,0.7405573070801592,0.7464247066039184,Adam28
ENSMUSG00000039632,0.7427464380693304,0.0,0.0,0.7397910091100913,0.7456732065219726,Ccdc151
ENSMUSG00000047021,0.7418806830017697,0.0,0.0,0.7389167979549696,0.7448158588787843,Ccdc108
ENSMUSG00000028801,0.7418147644985407,0.0,0.0,0.7388502360148931,0.7447505801189616,Stpg1
ENSMUSG00000061802,0.7414219359685144,0.0,0.0,0.7384535742473614,0.7443615628506064,Armc4
ENSMUSG00000031786,0.738219606912559,0.0,0.0,0.7352200733607953,0.7411902286800479,Drc7
