,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000026418,0.9393115329583642,0.0,0.0,0.9385346746999498,0.9400788760311262,Tnni1
ENSMUSG00000038663,0.9322608579392547,0.0,0.0,0.9313969384406107,0.9331142748453862,Fsd2
ENSMUSG00000026817,0.9313555285212445,0.0,0.0,0.9304804782063688,0.9322199511951288,Ak1
ENSMUSG00000061086,0.9273557095649552,0.0,0.0,0.9264316134843005,0.9282686302435259,Myl4
ENSMUSG00000061816,0.925747153415867,0.0,0.0,0.9248033934974155,0.9266795198082985,Myl1
ENSMUSG00000039376,0.9246185902352988,0.0,0.0,0.9236610548027722,0.9255645798445774,Synpo2l
ENSMUSG00000072720,0.9240022333148123,0.0,0.0,0.9230371816661261,0.9249556562210092,Myo18b
ENSMUSG00000019787,0.9220396702194853,0.0,0.0,0.9210507197420055,0.9230167291355167,Trdn
ENSMUSG00000044086,0.9200737278183232,0.0,0.0,0.9190608889536707,0.9210744136888483,Lmod3
ENSMUSG00000042717,0.9187032430371775,0.0,0.0,0.9176737818021492,0.9197203701164441,Ppp1r3a
ENSMUSG00000002930,0.9182257703634404,0.0,0.0,0.9171905238397206,0.91924861982463,Ppp1r17
ENSMUSG00000015579,0.9170934976697555,0.0,0.0,0.9160445441600246,0.9181299053726996,Nkx2-5
ENSMUSG00000040666,0.916505181133147,0.0,0.0,0.9154491123844541,0.9175486270289224,Sh3bgr
ENSMUSG00000026208,0.9160837275724466,0.0,0.0,0.9150225645075736,0.9171322126914246,Des
ENSMUSG00000079243,0.9146515892366056,0.0,0.0,0.9135731329433416,0.915717181000643,Xirp1
ENSMUSG00000062077,0.9140150953151746,0.0,0.0,0.9129289620819869,0.9150882814058396,Trim54
ENSMUSG00000061462,0.9128896316364936,0.0,0.0,0.9117899371005039,0.9139762334191124,Obscn
ENSMUSG00000016349,0.9119224787090627,0.0,0.0,0.9108111439571276,0.9130205960559045,Eef1a2
ENSMUSG00000020475,0.9112335645212917,0.0,0.0,0.9101139459291006,0.9123398771862102,Pgam2
ENSMUSG00000051456,0.9108686960636707,0.0,0.0,0.9097446926830972,0.911979346723601,Hspb3
