,Erythroid3_4_corr,Erythroid3_4_pval,Erythroid3_4_qval,Erythroid3_4_ci_low,Erythroid3_4_ci_high,gene_annotation
ENSMUSG00000029866,0.6447008693951005,0.0,0.0,0.6408511827110533,0.6485181307446733,Kel
ENSMUSG00000031543,0.6419200580336553,0.0,0.0,0.6380468719316399,0.6457607609941565,Ank1
ENSMUSG00000054191,0.6375849824611763,0.0,0.0,0.6336753674649963,0.6414620293078502,Klf1
ENSMUSG00000022742,0.6315850487976334,0.0,0.0,0.6276254265293443,0.6355119954612318,Cpox
ENSMUSG00000026815,0.6249620276023727,0.0,0.0,0.6209477601302955,0.6289435144846718,Gfi1b
ENSMUSG00000070803,0.623399607229675,0.0,0.0,0.6193725334802146,0.6273938776919128,Cited4
ENSMUSG00000037336,0.6229358100901913,0.0,0.0,0.6189049410983337,0.6269338692085525,Mfsd2b
ENSMUSG00000028332,0.6227501906778616,0.0,0.0,0.6187178035667047,0.6267497652989766,Hemgn
ENSMUSG00000026532,0.6225495876710562,0.0,0.0,0.6185155604092848,0.6265507996274849,Spta1
ENSMUSG00000038725,0.6224723332641325,0.0,0.0,0.6184376745050104,0.6264741756371598,Pkhd1l1
ENSMUSG00000030000,0.6220074420422692,0.0,0.0,0.6179689848166962,0.6260130764186417,Add2
ENSMUSG00000001542,0.6210138270221285,0.0,0.0,0.6169672609331912,0.6250275566809095,Ell2
ENSMUSG00000028132,0.6162297515407329,0.0,0.0,0.6121443262965829,0.6202822793880602,Tmem56
ENSMUSG00000025889,0.6158601715462014,0.0,0.0,0.6117717569970907,0.6199156842924697,Snca
ENSMUSG00000023926,0.6141576225030324,0.0,0.0,0.6100554605078579,0.6182268629586893,Rhag
ENSMUSG00000040466,0.6135866094201551,0.0,0.0,0.6094798453280053,0.617660445559358,Blvrb
ENSMUSG00000027562,0.611402990231993,0.0,0.0,0.6072786671328878,0.6154943618046016,Car2
ENSMUSG00000001763,0.6099845740767598,0.0,0.0,0.605848879073776,0.6140873030474551,Tspan33
ENSMUSG00000018654,0.6096889544214551,0.0,0.0,0.6055508927035708,0.6137940471636767,Ikzf1
ENSMUSG00000059336,0.605128429436374,0.0,0.0,0.6009540034314194,0.6092698445364993,Slc14a1
ENSMUSG00000021361,0.6035057915904614,0.0,0.0,0.5993184937529706,0.607660065174861,Tmem14c
ENSMUSG00000028644,0.6032604276542128,0.0,0.0,0.5990711864709147,0.6074166426374655,Ermap
ENSMUSG00000054342,0.6032289411357852,0.0,0.0,0.5990394506289869,0.6073854051940516,Kcnn4
ENSMUSG00000025573,0.6010531795635182,0.0,0.0,0.596846492340377,0.6052268239144951,6030468B19Rik
ENSMUSG00000096982,0.5994664259590096,0.0,0.0,0.5952472370320874,0.603652560963074,Redrum
ENSMUSG00000031974,0.5990603655306217,0.0,0.0,0.5948379827087892,0.6032496917269873,Abcb10
ENSMUSG00000079157,0.594917513701722,0.0,0.0,0.5906626700941291,0.5991392760192901,Fam155a
ENSMUSG00000084796,0.5932894598430694,0.0,0.0,0.5890219221867103,0.597523907962,Mir142hg
ENSMUSG00000000244,0.5930364297392214,0.0,0.0,0.5887669223486095,0.5972728463835738,Tspan32
ENSMUSG00000090523,0.5916158994531567,0.0,0.0,0.587335349602342,0.5958633521350306,Gypc
ENSMUSG00000008843,0.5888205781009261,0.0,0.0,0.5845183770928929,0.5930896711002549,Cldn13
ENSMUSG00000005161,0.5872445233793592,0.0,0.0,0.5829301607633944,0.5915257729231317,Prdx2
ENSMUSG00000031765,0.5866141136495424,0.0,0.0,0.5822948957149651,0.5909002166975962,Mt1
ENSMUSG00000023216,0.5829063466294948,0.0,0.0,0.5785586787826366,0.5872208913508595,Epb42
ENSMUSG00000051839,0.582843333953127,0.0,0.0,0.5784951841830225,0.5871583604935549,Gypa
ENSMUSG00000018659,0.580115122358768,0.0,0.0,0.5757461576559794,0.5844509604653978,Pnpo
ENSMUSG00000041237,0.5780560298264973,0.0,0.0,0.5736714206518702,0.5824075113412409,Pklr
ENSMUSG00000036718,0.5769640375766208,0.0,0.0,0.5725711545476581,0.5813237928954472,Micall2
ENSMUSG00000026614,0.5755907718078783,0.0,0.0,0.5711875062208152,0.5799609101258698,Slc30a10
ENSMUSG00000058794,0.5754921997570827,0.0,0.0,0.5710881898798708,0.5798630824184602,Nfe2
ENSMUSG00000026688,0.5742361991728506,0.0,0.0,0.5698227168720482,0.5786165551888037,Mgst3
ENSMUSG00000044912,0.5739980201835728,0.0,0.0,0.5695827439610297,0.5783801703506095,Syt16
ENSMUSG00000028825,0.5735177126620435,0.0,0.0,0.5690988211382478,0.5779034786439601,Rhd
ENSMUSG00000024588,0.5711656392619346,0.0,0.0,0.5667290877487436,0.5755690687339432,Fech
ENSMUSG00000034248,0.5694896372464997,0.0,0.0,0.5650405466535331,0.573905609288768,Slc25a37
ENSMUSG00000032028,0.5693159187513779,0.0,0.0,0.5648655306078223,0.5737331887533168,Nxpe2
ENSMUSG00000001348,0.5659009649306135,0.0,0.0,0.5614251508661556,0.5703436706932438,Acp5
ENSMUSG00000001014,0.5647627529480129,0.0,0.0,0.5602784987429557,0.5692139028891287,Icam4
ENSMUSG00000068394,0.5647611235112618,0.0,0.0,0.5602768572358232,0.5692122855288104,Cep152
ENSMUSG00000034663,0.5639957537875259,0.0,0.0,0.559505821775418,0.568452584469812,Bmp2k
ENSMUSG00000032126,0.5607296829321442,0.0,0.0,0.5562156607939939,0.5652106181500556,Hmbs
ENSMUSG00000032456,0.5605250146962255,0.0,0.0,0.556009487662612,0.565007455815609,Nmnat3
ENSMUSG00000029014,0.5602033129534406,0.0,0.0,0.5556854216173126,0.5646881199811098,Dnajc2
ENSMUSG00000034041,0.5593239190232822,0.0,0.0,0.55479957170849,0.563815186571831,Lyl1
ENSMUSG00000020334,0.5588816392402293,0.0,0.0,0.5543540488516263,0.5633761522314791,Slc22a4
ENSMUSG00000039910,0.5547058732574639,0.0,0.0,0.5501477914189686,0.559230902840933,Cited2
ENSMUSG00000104818,0.5540931688051141,0.0,0.0,0.5495306324554805,0.558622657009934,Gm43661
ENSMUSG00000042453,0.5526013258715474,0.0,0.0,0.5480279642804616,0.5571416497745125,Reln
ENSMUSG00000034653,0.5516395019017631,0.0,0.0,0.5470591766898257,0.5561867965040779,Ythdc2
ENSMUSG00000040435,0.5498485022220365,0.0,0.0,0.5452552428387996,0.5544087448783206,Ppp1r15a
ENSMUSG00000037124,0.549523221112644,0.0,0.0,0.5449276171919182,0.5540858109256036,Trim58
ENSMUSG00000061535,0.5485657147005568,0.0,0.0,0.5439632174797354,0.5531352056977327,C1qtnf7
