,Mesenchyme_1_corr,Mesenchyme_1_pval,Mesenchyme_1_qval,Mesenchyme_1_ci_low,Mesenchyme_1_ci_high,gene_annotation
ENSMUSG00000036098,0.7941734403702276,0.0,0.0,0.7917382213973044,0.796583416959757,Myrf
ENSMUSG00000018217,0.7901982634241577,0.0,0.0,0.7877215770992063,0.7926494053715348,Pmp22
ENSMUSG00000032231,0.7877825826185526,0.0,0.0,0.7852807998038603,0.790258640688502,Anxa2
ENSMUSG00000043903,0.785605798216036,0.0,0.0,0.7830814674081151,0.7881042437829967,Gm22
ENSMUSG00000018906,0.7842146715164143,0.0,0.0,0.7816759639356703,0.7867273922943935,P4ha2
ENSMUSG00000058145,0.7729176094220807,0.0,0.0,0.7702631058049283,0.7755453303765116,Adamts17
ENSMUSG00000017466,0.7723608606867154,0.0,0.0,0.7697006942981679,0.7749942065137124,Timp2
ENSMUSG00000025510,0.7697728166273466,0.0,0.0,0.7670863810784535,0.7724322570638832,Cd151
ENSMUSG00000026840,0.7683339559126975,0.0,0.0,0.7656329542322146,0.771007866589013,Lamc3
ENSMUSG00000027827,0.7625965777654541,0.0,0.0,0.759837768633948,0.7653279216826255,Kcnab1
ENSMUSG00000051041,0.7613923543209722,0.0,0.0,0.758621467598875,0.7641356989347193,Olfml1
ENSMUSG00000028776,0.7583633380128731,0.0,0.0,0.7555621575797268,0.7611367854429462,Tinagl1
ENSMUSG00000015653,0.7576148620498093,0.0,0.0,0.7548062148068754,0.7603957296734076,Steap2
ENSMUSG00000078627,0.7508307293815493,0.0,0.0,0.7479547437586022,0.7536785228290045,March10
ENSMUSG00000020911,0.7494292160756238,0.0,0.0,0.7465393956025558,0.7522907613739624,Krt19
ENSMUSG00000027460,0.7483453528059636,0.0,0.0,0.7454448510562466,0.7512175157146708,Angpt4
ENSMUSG00000040006,0.7450390143426295,0.0,0.0,0.742106025857149,0.7479434725743825,Ginm1
ENSMUSG00000086558,0.7446123035642278,0.0,0.0,0.7416751329964523,0.747520919481694,Gm14223
ENSMUSG00000018593,0.7442594934633622,0.0,0.0,0.7413188669255435,0.7471715452323352,Sparc
ENSMUSG00000041959,0.742642194879905,0.0,0.0,0.7396857472179827,0.7455699761606117,S100a10
