,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000096140,0.8599990945479064,0.0,0.0,0.8582811690877911,0.8616977450798669,Ankrd66
ENSMUSG00000025963,0.8437307030482354,0.0,0.0,0.84183012689253,0.8456103561209319,Mdh1b
ENSMUSG00000022805,0.8414527969708165,0.0,0.0,0.8395269278039629,0.8433575215344015,Maats1
ENSMUSG00000102343,0.8337982636282273,0.0,0.0,0.8317879084621616,0.8357867462921632,Gm37381
ENSMUSG00000059854,0.8246464473817819,0.0,0.0,0.8225361058042592,0.8267340792711404,Hydin
ENSMUSG00000022262,0.8205177210910504,0.0,0.0,0.8183626375006852,0.8226497290067336,Dnah5
ENSMUSG00000053783,0.8183835085341975,0.0,0.0,0.8162053861086059,0.8205383689343679,1700016K19Rik
ENSMUSG00000038060,0.8159921899842362,0.0,0.0,0.8137883254076886,0.8181725860218279,Dlec1
ENSMUSG00000032514,0.8108025880101711,0.0,0.0,0.8085431204780612,0.8130381471108233,Ttc21a
ENSMUSG00000051354,0.8073932305575967,0.0,0.0,0.805097429559422,0.8096648402751464,Samd3
ENSMUSG00000022758,0.8062265378264368,0.0,0.0,0.8039183389873394,0.8085104497071202,P2rx6
ENSMUSG00000028589,0.803774728697977,0.0,0.0,0.8014405348796318,0.8060844363366364,1700012P22Rik
ENSMUSG00000046242,0.8022427491127355,0.0,0.0,0.799892353359931,0.8045685354723069,Nme9
ENSMUSG00000043020,0.8007617827805419,0.0,0.0,0.7983957543370174,0.8031030836445023,Wdr63
ENSMUSG00000035539,0.7999996726672511,0.0,0.0,0.7976256109822931,0.8023489463071426,Ccdc180
ENSMUSG00000047394,0.7990859311402779,0.0,0.0,0.7967022481039132,0.8014447539520013,Odf3b
ENSMUSG00000022783,0.7988870953026079,0.0,0.0,0.796501320074565,0.8012479946449443,Spag6l
ENSMUSG00000034467,0.7986917639500533,0.0,0.0,0.796303933918325,0.8010547027269188,Dynlrb2
ENSMUSG00000110427,0.7986836690988801,0.0,0.0,0.7962957539236951,0.8010466923826189,RP23-163N19.1
ENSMUSG00000053161,0.7962193560137386,0.0,0.0,0.7938055612430269,0.7986080663533569,Daw1
ENSMUSG00000039676,0.7876751907744424,0.0,0.0,0.7851722940719629,0.7901523547689218,Capsl
ENSMUSG00000046886,0.7874237378133984,0.0,0.0,0.7849182335961316,0.7899034906954234,Zfp474
ENSMUSG00000037683,0.7859388658116011,0.0,0.0,0.7834179809582826,0.7884338898566229,Armc3
ENSMUSG00000047021,0.7850756329810886,0.0,0.0,0.7825458200733262,0.7875795218496694,Ccdc108
ENSMUSG00000039632,0.7827811857771675,0.0,0.0,0.7802276906335345,0.785308590283624,Ccdc151
ENSMUSG00000026831,0.7806905095688423,0.0,0.0,0.7781154964952284,0.783239282056146,1700007K13Rik
ENSMUSG00000063428,0.7788522773741716,0.0,0.0,0.7762583927190946,0.7814197910558426,Ddo
ENSMUSG00000031559,0.7780801129343666,0.0,0.0,0.7754783145444132,0.7806554859863027,4930555F03Rik
ENSMUSG00000029155,0.7769341034104658,0.0,0.0,0.7743205744766831,0.7795211267624548,Spata18
ENSMUSG00000045275,0.7760007593243181,0.0,0.0,0.7733776896157921,0.7785972584875215,Lca5l
ENSMUSG00000063409,0.7757444368127259,0.0,0.0,0.7731187489705537,0.7783435363298841,Lrrc43
ENSMUSG00000032023,0.774745631789606,0.0,0.0,0.7721097502868457,0.7773548559367389,Jhy
ENSMUSG00000086822,0.7736622674438303,0.0,0.0,0.7710153443051623,0.7762824588033359,5330413P13Rik
ENSMUSG00000071550,0.7735722359359932,0.0,0.0,0.7709243959009687,0.7761933380281026,Cfap44
ENSMUSG00000039552,0.7721331697190692,0.0,0.0,0.7694706886425924,0.7747688147703115,Rsph4a
ENSMUSG00000046192,0.7716226651022187,0.0,0.0,0.7689549967871555,0.7742634627961352,Iqub
ENSMUSG00000061802,0.7714543445197926,0.0,0.0,0.7687849666599186,0.7740968403745281,Armc4
ENSMUSG00000109228,0.7694580601594968,0.0,0.0,0.7667684358553079,0.7721206683043432,Fam81b
ENSMUSG00000046637,0.7693581697523794,0.0,0.0,0.7666675337478123,0.7720217829264097,Ttc34
ENSMUSG00000031786,0.7693010606683252,0.0,0.0,0.7666098463167608,0.7719652483770961,Drc7
ENSMUSG00000026546,0.7690617308142846,0.0,0.0,0.7663680932279534,0.7717283257957028,Cfap45
ENSMUSG00000067101,0.7650449683658352,0.0,0.0,0.7623107745788728,0.7677518550389862,1700010H22Rik
ENSMUSG00000035984,0.764998624028263,0.0,0.0,0.7622639635686624,0.767705974359481,Nme5
ENSMUSG00000021879,0.7648888917469007,0.0,0.0,0.7621531264324217,0.7675973397985983,Dnah12
ENSMUSG00000074673,0.7641358141836972,0.0,0.0,0.7613924707291103,0.766851791541399,Ttll9
ENSMUSG00000028523,0.7641179756740644,0.0,0.0,0.761374452804016,0.7668341312931851,Tctex1d1
ENSMUSG00000034227,0.7608010462669363,0.0,0.0,0.7580242361733905,0.7635502767037667,Foxj1
ENSMUSG00000035394,0.7603140709292902,0.0,0.0,0.7575323861038119,0.7630681452780279,Cfap53
ENSMUSG00000048038,0.7598555650369646,0.0,0.0,0.7570692933517348,0.7626141973123305,Ccdc187
ENSMUSG00000024175,0.7595030761210825,0.0,0.0,0.7567132800657869,0.7622652105794766,Tekt4
ENSMUSG00000052273,0.7589867710591804,0.0,0.0,0.7561918157004662,0.7617540324106864,Dnah3
ENSMUSG00000019767,0.7557062760055897,0.0,0.0,0.752878622440187,0.7585060320734635,Ccdc170
ENSMUSG00000044772,0.7534220688522153,0.0,0.0,0.7505717321740765,0.7562443688240112,Sntn
ENSMUSG00000052221,0.7529102524177966,0.0,0.0,0.7500548427207768,0.75573759449493,Ppp1r36
ENSMUSG00000035032,0.7525028263390094,0.0,0.0,0.7496433808123054,0.7553341797102407,Nek11
ENSMUSG00000049154,0.7505504406402831,0.0,0.0,0.74767168609248,0.7534009863526888,Fam183b
ENSMUSG00000045655,0.7485951543765116,0.0,0.0,0.7456971129890728,0.7514648715560361,Fam216b
ENSMUSG00000019892,0.7483540351276122,0.0,0.0,0.7454536188784595,0.7512261130439514,Lrriq1
ENSMUSG00000023949,0.7457348142488041,0.0,0.0,0.7428086503180544,0.7486324878574692,Tcte1
ENSMUSG00000108022,0.7454474103801084,0.0,0.0,0.7425184267492155,0.7483478871723469,Gm7298
ENSMUSG00000073650,0.7450132929665785,0.0,0.0,0.7420800523238661,0.7479180018829965,Catip
ENSMUSG00000032595,0.7441373364717785,0.0,0.0,0.7411955137249024,0.7470505774951169,Cdhr4
ENSMUSG00000072663,0.74072964992043,0.0,0.0,0.737754537842891,0.7436759885744478,Spef2
ENSMUSG00000041986,0.7392613013162442,0.0,0.0,0.736271892753677,0.7422218552236851,Elmod1
ENSMUSG00000009114,0.7390655655349432,0.0,0.0,0.7360742533711361,0.7420280122773899,2610028H24Rik
ENSMUSG00000064280,0.7379600542523473,0.0,0.0,0.7349580001665992,0.7409331823837003,Ccdc146
ENSMUSG00000020930,0.7355883488162402,0.0,0.0,0.7325633044697013,0.7385843389145584,Ccdc103
ENSMUSG00000051590,0.7348941026317444,0.0,0.0,0.7318623427373183,0.7378967711283423,Map3k19
ENSMUSG00000049571,0.7339190384849393,0.0,0.0,0.7308778574812388,0.7369310762232612,Cfap46
ENSMUSG00000061322,0.7326761662678543,0.0,0.0,0.7296229949287244,0.7357001287506045,Dnaic1
ENSMUSG00000026173,0.7323426330881767,0.0,0.0,0.7292862475605264,0.7353697922571693,Plcd4
ENSMUSG00000052861,0.7312032361844593,0.0,0.0,0.7281358816994767,0.734241304837744,Dnah6
ENSMUSG00000070577,0.7311877998175214,0.0,0.0,0.7281202968454962,0.7342260161554849,Gm572
ENSMUSG00000028801,0.731057583888129,0.0,0.0,0.7279888284562507,0.734097045921059,Stpg1
ENSMUSG00000022431,0.7285647266920632,0.0,0.0,0.7254720376516701,0.7316279940593384,Ribc2
ENSMUSG00000035095,0.7284206233739797,0.0,0.0,0.7253265533445289,0.7314852643867961,Fam167a
ENSMUSG00000032057,0.7281910807013179,0.0,0.0,0.7250948114603855,0.7312579092442337,4833427G06Rik
ENSMUSG00000054320,0.7278685606243975,0.0,0.0,0.7247692025552701,0.7309384616160012,Lrrc36
ENSMUSG00000030125,0.7272508449724061,0.0,0.0,0.7241455748031324,0.7303266268019861,Lrrc23
ENSMUSG00000038570,0.7269238024424884,0.0,0.0,0.7238154042350858,0.7300026958168251,Saxo2
ENSMUSG00000034730,0.7256852478318591,0.0,0.0,0.7225650162213965,0.7287759125104192,Adgrb1
ENSMUSG00000062778,0.724946891688741,0.0,0.0,0.7218196153863452,0.7280445643129968,Chia1
ENSMUSG00000029477,0.7231613155507379,0.0,0.0,0.7200170329675158,0.7262759064351126,Morn3
ENSMUSG00000006784,0.722925401429769,0.0,0.0,0.7197788751138122,0.7260422245065087,Ttc25
ENSMUSG00000020904,0.7228251691513521,0.0,0.0,0.719677689770128,0.7259429403965189,Cfap52
ENSMUSG00000107538,0.7221768377134627,0.0,0.0,0.7190231968590131,0.7253007388482305,Gm44127
ENSMUSG00000030708,0.7217997897444169,0.0,0.0,0.7186425681548633,0.7249272533184075,Dnajb13
ENSMUSG00000053368,0.7192098264650381,0.0,0.0,0.7160280597386514,0.7223617109311746,Rxfp2
ENSMUSG00000079416,0.7179277297845936,0.0,0.0,0.714733845631171,0.7210916710960081,Gm11111
ENSMUSG00000011154,0.7173313796210986,0.0,0.0,0.714131866661291,0.720500921767828,Cfap161
ENSMUSG00000026301,0.7170677295344375,0.0,0.0,0.7138657295531421,0.7202397463784757,Iqca
ENSMUSG00000071398,0.7168568655936973,0.0,0.0,0.7136528771903764,0.7200308610215677,2410004P03Rik
ENSMUSG00000055809,0.7165344098892129,0.0,0.0,0.7133273819108827,0.7197114298792382,Dnaaf3
ENSMUSG00000023999,0.7163529140507217,0.0,0.0,0.7131441758406154,0.7195316358393847,Kif6
ENSMUSG00000046634,0.7161303360457472,0.0,0.0,0.712919501085768,0.7193111442589126,Pkd1l1
ENSMUSG00000090439,0.7157156231367183,0.0,0.0,0.7125008832182513,0.718900317118749,Gm17455
ENSMUSG00000035694,0.7151724148985672,0.0,0.0,0.711952563564741,0.7183621952567478,Caps2
ENSMUSG00000070306,0.7142520487226086,0.0,0.0,0.7110235459997665,0.7174504382941862,Ccdc153
ENSMUSG00000022388,0.7128740057080688,0.0,0.0,0.7096325705316745,0.7160852651686291,Ttll8
ENSMUSG00000014725,0.7128414997877638,0.0,0.0,0.709599759859666,0.7160530625326705,Adam28
ENSMUSG00000048029,0.7124196702819868,0.0,0.0,0.7091739768643476,0.7156351675098042,Eno4
ENSMUSG00000028294,0.7105080238963484,0.0,0.0,0.7072444437354181,0.7137413225532361,Cfap206
ENSMUSG00000042707,0.710479390893231,0.0,0.0,0.707215543190838,0.71371295582393,Dnali1
ENSMUSG00000048794,0.7098893593711819,0.0,0.0,0.7066200009521308,0.7131284089633847,Cfap100
ENSMUSG00000041673,0.709794421925954,0.0,0.0,0.7065241772523561,0.7130343535922912,Lrrc18
ENSMUSG00000049811,0.7095022961256815,0.0,0.0,0.7062293251683831,0.712744941233167,Fam161a
ENSMUSG00000099553,0.7087410485158113,0.0,0.0,0.7054609784981482,0.7119907593642589,Gm29538
ENSMUSG00000073795,0.7079010014973761,0.0,0.0,0.7046131065188344,0.7111585007844516,6430531B16Rik
ENSMUSG00000008028,0.7037319014334209,0.0,0.0,0.7004053105844219,0.7070279191445981,1700008O03Rik
ENSMUSG00000097796,0.703661500110573,0.0,0.0,0.7003342578107546,0.7069581663304693,Gm16702
ENSMUSG00000066129,0.7025959092045367,0.0,0.0,0.6992588146291432,0.7059023833883571,Kndc1
ENSMUSG00000040189,0.7010276624467798,0.0,0.0,0.6976760955967307,0.7043485444402708,Ccdc114
ENSMUSG00000031927,0.7004435493175694,0.0,0.0,0.6970866004496283,0.7037697895458396,1700012B09Rik
ENSMUSG00000078639,0.7002905944085484,0.0,0.0,0.6969322369640226,0.7036182370059904,Gm12695
ENSMUSG00000010044,0.7000738644433694,0.0,0.0,0.6967135116444707,0.7034034936140573,Zmynd10
ENSMUSG00000026650,0.7000480457330924,0.0,0.0,0.69668745527232,0.703377911520704,Meig1
ENSMUSG00000038370,0.6976047319204055,0.0,0.0,0.6942216908183808,0.7009569505512577,Pcp4l1
ENSMUSG00000021363,0.6970354481808059,0.0,0.0,0.6936471875624358,0.7003928638506014,Mak
ENSMUSG00000037738,0.69547542600289,0.0,0.0,0.6920728843073564,0.6988470617520425,Nek5
ENSMUSG00000073102,0.6932532915055071,0.0,0.0,0.6898304633796286,0.69664512830698,Drc1
ENSMUSG00000034035,0.6931549052803057,0.0,0.0,0.6897311804798547,0.6965476350171017,Ccdc17
ENSMUSG00000040296,0.692781541931417,0.0,0.0,0.6893544155350463,0.696177659105672,Ddx58
ENSMUSG00000104445,0.6921319903398861,0.0,0.0,0.6886989505019446,0.6955339964426457,Rhbg
ENSMUSG00000031022,0.6919776139623037,0.0,0.0,0.6885431695252147,0.6953810188604718,BC051019
ENSMUSG00000110332,0.6910833597506891,0.0,0.0,0.6876407851446034,0.6944948613660935,Gm45396
ENSMUSG00000036095,0.6908204129633769,0.0,0.0,0.6873754497832717,0.6942342933709482,Dgkb
ENSMUSG00000028845,0.6904550634010336,0.0,0.0,0.6870067829599996,0.6938722475191513,Tekt2
ENSMUSG00000098040,0.690108966029215,0.0,0.0,0.6866575447685288,0.6935292781745421,Gm20757
