,Cardiomyocytes_1_corr,Cardiomyocytes_1_pval,Cardiomyocytes_1_qval,Cardiomyocytes_1_ci_low,Cardiomyocytes_1_ci_high,gene_annotation
ENSMUSG00000068614,0.9260271586239376,0.0,0.0,0.9250868191514077,0.9269561424508149,Actc1
ENSMUSG00000091898,0.9070912665298039,0.0,0.0,0.9059219725805663,0.9082467269892261,Tnnc1
ENSMUSG00000031972,0.8893774344882206,0.0,0.0,0.8879982976146803,0.8907405720716371,Acta1
ENSMUSG00000002100,0.8866444093467395,0.0,0.0,0.8852332694030522,0.888039228749694,Mybpc3
ENSMUSG00000059741,0.8661029465344888,0.0,0.0,0.8644544621173202,0.8677328046115648,Myl3
ENSMUSG00000068745,0.8629990796245878,0.0,0.0,0.8613152216448122,0.8646639793759727,Mybphl
ENSMUSG00000035458,0.8616675586766229,0.0,0.0,0.8599685652774502,0.8633474527883466,Tnni3
ENSMUSG00000032034,0.8591842781027272,0.0,0.0,0.8574571204214771,0.8608920755288523,Kcnj5
ENSMUSG00000040752,0.8570267642425833,0.0,0.0,0.8552752037858381,0.8587587399329516,Myh6
ENSMUSG00000007877,0.8529122870849245,0.0,0.0,0.8511143615893942,0.8546902053673937,Tcap
ENSMUSG00000020469,0.8508084223856796,0.0,0.0,0.8489868762280981,0.8526097482031249,Myl7
ENSMUSG00000061816,0.8485298026985185,0.0,0.0,0.8466827404715509,0.8503564159488417,Myl1
ENSMUSG00000061086,0.8474851930530125,0.0,0.0,0.8456264564043843,0.8493233766699382,Myl4
ENSMUSG00000026418,0.8457179618844458,0.0,0.0,0.8438395080358743,0.8475756877520149,Tnni1
ENSMUSG00000062077,0.8426381073714052,0.0,0.0,0.8407253908071098,0.8445297943189171,Trim54
ENSMUSG00000024803,0.8331188207687501,0.0,0.0,0.8311010040952245,0.8351147015518534,Ankrd1
ENSMUSG00000007122,0.8313071372553505,0.0,0.0,0.8292694551262326,0.8333227154443563,Casq1
