,Endothelium_corr,Endothelium_pval,Endothelium_qval,Endothelium_ci_low,Endothelium_ci_high,gene_annotation
ENSMUSG00000040181,0.5526324896573451,0.0,0.0,0.5480593538977792,0.5571725875038549,Fmo1
ENSMUSG00000026712,0.5350072352932544,0.0,0.0,0.5303084325641264,0.5396731711028943,Mrc1
ENSMUSG00000062082,0.527036787416172,0.0,0.0,0.5222825084065268,0.5317583051838458,Cd200r4
ENSMUSG00000028073,0.5207216867674365,0.0,0.0,0.5159240510715608,0.5254866572405361,Pear1
ENSMUSG00000054435,0.5193091113159873,0.0,0.0,0.5145018498487536,0.5240837305104857,Gimap4
ENSMUSG00000001029,0.513669140360559,0.0,0.0,0.5088237098036466,0.5184820255959973,Icam2
ENSMUSG00000027435,0.5126199520232658,0.0,0.0,0.507767467482491,0.5174399102117352,Cd93
ENSMUSG00000045092,0.5092473589004002,0.0,0.0,0.5043722982979363,0.5140899560974022,S1pr1
ENSMUSG00000030787,0.5061655109526995,0.0,0.0,0.5012699523301534,0.5110286663060911,Lyve1
ENSMUSG00000033538,0.5029348986489752,0.0,0.0,0.49801798765760225,0.5078194720753021,Casp4
ENSMUSG00000018008,0.5016836543003851,0.0,0.0,0.49675851050337316,0.5065764867093094,Cyth4
ENSMUSG00000001946,0.4961255471213387,0.0,0.0,0.4911640834032565,0.5010548206195293,Esam
ENSMUSG00000109827,0.4930623028791456,0.0,0.0,0.48808099707560804,0.49801148863100586,Gm6213
ENSMUSG00000047261,0.49271822103740676,0.0,0.0,0.48773469421848076,0.4976696358358978,Gap43
ENSMUSG00000090019,0.49187097476394853,0.0,0.0,0.4868819857369734,0.4968278716744984,Gimap1
ENSMUSG00000074874,0.4915760473594301,0.0,0.0,0.4865851591627676,0.49653485041107337,Ctla2b
ENSMUSG00000022912,0.48338944015283114,0.0,0.0,0.47834629460953204,0.4884007028295315,Pros1
ENSMUSG00000031871,0.4794605196177148,0.0,0.0,0.4743926099499394,0.48449664945499943,Cdh5
ENSMUSG00000058396,0.47815810929007635,0.0,0.0,0.4730820356028785,0.483202438147555,Gpr182
ENSMUSG00000066189,0.4762111717555043,0.0,0.0,0.47112293579060077,0.4812677159930738,Cacng3
ENSMUSG00000033191,0.473133743119193,0.0,0.0,0.4680263852215791,0.4782094951254819,Tie1
ENSMUSG00000028978,0.46511120956544416,0.0,0.0,0.45995459239095915,0.4702364554547165,Nos3
ENSMUSG00000028581,0.46036037114598166,0.0,0.0,0.45517498502423853,0.46551453221786765,Laptm5
ENSMUSG00000044250,0.45918804703980415,0.0,0.0,0.4539956078149777,0.4643492981275477,Pced1b
ENSMUSG00000027474,0.45741231448731423,0.0,0.0,0.45220922649957157,0.4625842708705627,Ccm2l
ENSMUSG00000046410,0.4568543188148862,0.0,0.0,0.45164789324255716,0.462029630701118,Kcnk6
ENSMUSG00000002699,0.45382714616455194,0.0,0.0,0.4486026857547952,0.45902059137488854,Lcp2
ENSMUSG00000022220,0.4472862154478504,0.0,0.0,0.44202320067145723,0.4525184351433786,Adcy4
ENSMUSG00000024349,0.446955803646163,0.0,0.0,0.4416908563409524,0.4521899672531009,Tmem173
ENSMUSG00000034911,0.4450109854968283,0.0,0.0,0.43973469252610065,0.45025656227774674,Ushbp1
ENSMUSG00000041992,0.4427914803243713,0.0,0.0,0.43750230038474763,0.4480500221793553,Rapgef5
ENSMUSG00000064262,0.4408689552245969,0.0,0.0,0.4355686653462041,0.44613867558329895,Gimap8
ENSMUSG00000030219,0.4402040856351192,0.0,0.0,0.4348999649739202,0.4454776606845492,Erp27
ENSMUSG00000046280,0.4398024783604252,0.0,0.0,0.43449604659040514,0.445078379008688,She
ENSMUSG00000059588,0.43975422665585917,0.0,0.0,0.4344475173578535,0.44503040657549725,Calcrl
ENSMUSG00000020154,0.43885014303654385,0.0,0.0,0.4335382394429427,0.4441315500150556,Ptprb
ENSMUSG00000048120,0.4387879144967037,0.0,0.0,0.4334756537749476,0.44406968086530146,Entpd1
ENSMUSG00000111531,0.43737499955988257,0.0,0.0,0.43205464394261817,0.4426649124176068,RP23-381H23.2
ENSMUSG00000050147,0.43432950355966926,0.0,0.0,0.42899178947500777,0.4396368876247466,F2rl3
ENSMUSG00000001227,0.4322709794815447,0.0,0.0,0.4269216019050146,0.4375901044212892,Sema6b
ENSMUSG00000050234,0.4312574738324827,0.0,0.0,0.4259023743835968,0.4365823590914613,Gja4
ENSMUSG00000030411,0.43106482007733116,0.0,0.0,0.42570863451498614,0.43639079878389264,Nova2
ENSMUSG00000022667,0.43064419308205454,0.0,0.0,0.42528563788067164,0.43597255746918295,Cd200r1
ENSMUSG00000031805,0.42954901715432864,0.0,0.0,0.4241843031657434,0.43488358228007395,Jak3
