,Erythroid3_1_corr,Erythroid3_1_pval,Erythroid3_1_qval,Erythroid3_1_ci_low,Erythroid3_1_ci_high,gene_annotation
ENSMUSG00000055609,0.4306448511466598,0.0,0.0,0.42528629965071324,0.43597321180322446,Hba-x
ENSMUSG00000052187,0.42068834150058243,0.0,0.0,0.41527438253227594,0.4260725007447782,Hbb-y
ENSMUSG00000069919,0.41072972913493727,0.0,0.0,0.4052616627919129,0.4161684084940442,Hba-a1
ENSMUSG00000073940,0.40229872202367367,0.0,0.0,0.3967858734416511,0.40778254951207016,Hbb-bt
ENSMUSG00000069917,0.3902713320615671,0.0,0.0,0.38469622554937905,0.39581796492956567,Hba-a2
ENSMUSG00000052305,0.3822349493472493,0.0,0.0,0.3766193096216349,0.38782249752284514,Hbb-bs
ENSMUSG00000052217,0.3080598054384559,0.0,0.0,0.30211033390927977,0.3139852792275955,Hbb-bh1
ENSMUSG00000073400,0.28714163547354515,0.0,0.0,0.28111115233707207,0.29314944270270504,Trim10
ENSMUSG00000027078,0.26849655953515444,0.0,0.0,0.26239873435736294,0.2745729418330503,Ube2l6
ENSMUSG00000006574,0.2608823077888708,0.0,0.0,0.2547583001899142,0.2669853901008631,Slc4a1
ENSMUSG00000027869,0.24583367485340465,0.0,0.0,0.23966016949283997,0.2519873006397334,Hsd3b6
ENSMUSG00000018659,0.2430824084102534,0.0,0.0,0.23690017645042635,0.24924495513850262,Pnpo
ENSMUSG00000001014,0.2422864492428538,0.0,0.0,0.23610171123157914,0.24845155842481853,Icam4
ENSMUSG00000063856,0.23403927496293175,0.0,0.0,0.22782906253435828,0.2402304475808512,Gpx1
ENSMUSG00000071715,0.2335253557679899,0.0,0.0,0.22731358558486361,0.23971812311998142,Ncf4
ENSMUSG00000034248,0.22922442731409826,0.0,0.0,0.22299975693236393,0.23543040558373174,Slc25a37
ENSMUSG00000051839,0.2275978685828903,0.0,0.0,0.22136838303540365,0.23380878010126424,Gypa
ENSMUSG00000073063,0.22668881402878216,0.0,0.0,0.2204566525595785,0.2329024675989351,Hbq1b
ENSMUSG00000023216,0.22656719510007473,0.0,0.0,0.22033467645548854,0.2327812147002431,Epb42
ENSMUSG00000041237,0.22497539151071552,0.0,0.0,0.21873821596406526,0.2311941840655958,Pklr
ENSMUSG00000054342,0.22354205404071256,0.0,0.0,0.21730071376223695,0.22976511607880057,Kcnn4
ENSMUSG00000040466,0.2214669345592557,0.0,0.0,0.21521961274359985,0.22769613020851792,Blvrb
ENSMUSG00000024588,0.2188674647146927,0.0,0.0,0.2126127299788323,0.2251042644791667,Fech
ENSMUSG00000008843,0.21531428595627458,0.0,0.0,0.20904956262760335,0.22156133688891813,Cldn13
ENSMUSG00000104818,0.21497774908431722,0.0,0.0,0.2087120883165303,0.22122576239885489,Gm43661
ENSMUSG00000026688,0.21263753647793474,0.0,0.0,0.20636539820396507,0.2188922010925492,Mgst3
ENSMUSG00000027495,0.2099016483264992,0.0,0.0,0.20362202883168712,0.21616399810233405,Fam210b
ENSMUSG00000096982,0.20868470474509523,0.0,0.0,0.2024017892328125,0.21495044151393794,Redrum
ENSMUSG00000021991,0.20797847313578133,0.0,0.0,0.2016936537844297,0.2142461666129722,Cacna2d3
ENSMUSG00000038725,0.20282789853660801,0.0,0.0,0.19652939309904016,0.20910966528604702,Pkhd1l1
ENSMUSG00000058794,0.2012372216136813,0.0,0.0,0.1949345600597687,0.20752326462084528,Nfe2
ENSMUSG00000042066,0.201132189087406,0.0,0.0,0.19482925427776038,0.20741851329252478,Tmcc2
ENSMUSG00000059895,0.20091509944984323,0.0,0.0,0.1946116003139001,0.20720200440051043,Ptp4a3
ENSMUSG00000001348,0.19780340451592993,0.0,0.0,0.191491884718095,0.20409856601163867,Acp5
ENSMUSG00000070803,0.19144663716990745,0.0,0.0,0.1851191286103191,0.19775827236150229,Cited4
ENSMUSG00000028332,0.19131969306686522,0.0,0.0,0.18499187063277797,0.19763165185817783,Hemgn
ENSMUSG00000023328,0.18601668279682812,0.0,0.0,0.17967593804667487,0.1923419715786943,Ache
ENSMUSG00000031765,0.1832925889786548,0.0,0.0,0.17694535015457424,0.18962458230708382,Mt1
ENSMUSG00000036718,0.1805057527639801,0.0,0.0,0.17415197140065475,0.18684450467870878,Micall2
ENSMUSG00000018654,0.17862687171587177,0.0,0.0,0.17226873709152965,0.18497012295947732,Ikzf1
ENSMUSG00000025573,0.1776260070514158,0.0,0.0,0.17126557245368504,0.18397163621071824,6030468B19Rik
ENSMUSG00000029866,0.17739339159074485,0.0,0.0,0.17103242433460955,0.18373957153655235,Kel
ENSMUSG00000026614,0.17356010961199916,0.0,0.0,0.16719046724428085,0.17991526411229666,Slc30a10
ENSMUSG00000001763,0.17298258447913373,0.0,0.0,0.16661165188007743,0.17933907443992678,Tspan33
ENSMUSG00000028644,0.1723207539238239,0.0,0.0,0.16594834814816828,0.1786787689294217,Ermap
ENSMUSG00000026532,0.16960638610459886,0.0,0.0,0.16322799870329108,0.17597059586920355,Spta1
ENSMUSG00000054191,0.16917522821826522,0.0,0.0,0.16279589960486665,0.17554041310932403,Klf1
ENSMUSG00000023926,0.16916255196049992,0.0,0.0,0.16278319571202382,0.17552776548398152,Rhag
ENSMUSG00000034059,0.16799308808873,0.0,0.0,0.16161119143072059,0.17436093409330752,Ypel4
ENSMUSG00000045648,0.16769384817399605,0.0,0.0,0.16131130437395738,0.17406236489877308,Vwc2l
ENSMUSG00000034041,0.16645209918131973,0.0,0.0,0.1600668825444785,0.17282338666738506,Lyl1
ENSMUSG00000001542,0.1656071242130918,0.0,0.0,0.159220100390905,0.1719802855951753,Ell2
ENSMUSG00000020334,0.16545337898329357,0.0,0.0,0.15906602734991096,0.171826880321315,Slc22a4
ENSMUSG00000000253,0.16406308913206044,0.0,0.0,0.15767278728958334,0.17043965059332045,Gmpr
ENSMUSG00000069814,0.16403515367061275,0.0,0.0,0.15764479280953572,0.17041177636068952,Ccdc92b
ENSMUSG00000062729,0.16330968625043418,0.0,0.0,0.15691779630812625,0.16968789544288218,Ppox
ENSMUSG00000033685,0.1625551547640434,0.0,0.0,0.15616168183049353,0.16893500671639353,Ucp2
ENSMUSG00000031974,0.16243725132184678,0.0,0.0,0.15604353170626528,0.16881735930003014,Abcb10
ENSMUSG00000028825,0.1619988110344716,0.0,0.0,0.1556041757027647,0.16837986948522468,Rhd
ENSMUSG00000028132,0.15979213141942358,0.0,0.0,0.15339292567880256,0.16617793545229095,Tmem56
ENSMUSG00000025889,0.1596271101936377,0.0,0.0,0.15322756524145525,0.16601326655418877,Snca
ENSMUSG00000000244,0.15946936594411995,0.0,0.0,0.15306949707369616,0.16585585876274858,Tspan32
ENSMUSG00000026686,0.15919094079434443,0.0,0.0,0.15279050099389596,0.16557802668132826,Lmx1a
ENSMUSG00000027562,0.15864104645383872,0.0,0.0,0.15223948205426377,0.16502930068223376,Car2
ENSMUSG00000082101,0.15722653734634912,0.0,0.0,0.1508220983921165,0.16361777876255199,Slfn14
ENSMUSG00000086804,0.15695492666129895,0.0,0.0,0.1505499387553745,0.16334673867538016,Gm43154
ENSMUSG00000039910,0.1563922627595312,0.0,0.0,0.1499861407437316,0.16278525374435646,Cited2
ENSMUSG00000042453,0.15616464430111912,0.0,0.0,0.1497580646793505,0.16255811104707077,Reln
ENSMUSG00000079557,0.15584525759602716,0.0,0.0,0.14943803702622396,0.16223939077177352,March2
ENSMUSG00000090523,0.15480777065750911,0.0,0.0,0.14839847731254074,0.16120405943922286,Gypc
ENSMUSG00000034663,0.15435138463090936,0.0,0.0,0.1479411839670627,0.1607486171956988,Bmp2k
ENSMUSG00000032028,0.1536742427944687,0.0,0.0,0.14726270098813493,0.1600728706344001,Nxpe2
ENSMUSG00000031543,0.14937793701455795,0.0,0.0,0.14295802656021736,0.15578527780261456,Ank1
ENSMUSG00000026459,0.14848732375811236,0.0,0.0,0.1420657088971314,0.15489644050486842,Myog
ENSMUSG00000056738,0.14848629337720243,0.0,0.0,0.14206467655037955,0.15489541217261682,A730036I17Rik
ENSMUSG00000030000,0.14726651208453506,0.0,0.0,0.14084257785948928,0.15367804637437554,Add2
ENSMUSG00000037820,0.1472571938639491,0.0,0.0,0.1408332420110542,0.1536687465314573,Tgm2
ENSMUSG00000084796,0.14656026110920517,0.0,0.0,0.14013499406400837,0.15297318506848712,Mir142hg
ENSMUSG00000020481,0.14562247942782086,0.0,0.0,0.1391954527658068,0.15203723854845927,Ankrd36
ENSMUSG00000105283,0.145270884753746,0.0,0.0,0.13884320135557376,0.151686328950895,Gm33370
ENSMUSG00000042770,0.14484109092249012,0.0,0.0,0.138412606930927,0.1512573703692339,Hebp1
ENSMUSG00000024661,0.14479745041868708,0.0,0.0,0.13836888527220723,0.15121381454005042,Fth1
ENSMUSG00000022742,0.14365226494061772,0.0,0.0,0.1372215791360418,0.15007084213257912,Cpox
ENSMUSG00000021361,0.14341202335841777,0.0,0.0,0.13698089486323317,0.14983106264002227,Tmem14c
ENSMUSG00000040435,0.1428203263277319,0.0,0.0,0.13638811075690124,0.14924050048156415,Ppp1r15a
ENSMUSG00000026815,0.1419686386533633,0.0,0.0,0.13553486643438023,0.1483904382989676,Gfi1b
