,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000002477,0.2005526360642259,0.0,0.0,0.1942481960851718,0.20684050928327602,Snrpd1
ENSMUSG00000041453,0.20007983467066512,0.0,0.0,0.19377417004585157,0.20636896832975904,Rpl21
ENSMUSG00000002416,0.18983468325631242,0.0,0.0,0.18350320483615368,0.19615041191862828,Ndufb2
ENSMUSG00000058558,0.1847316966397941,0.0,0.0,0.17838787638618145,0.19106016011928822,Rpl5
ENSMUSG00000029614,0.1801567868551091,0.0,0.0,0.17380219344295555,0.18649637792317364,Rpl6
ENSMUSG00000029545,0.1698491103123663,0.0,0.0,0.16347125385140976,0.17621277005138414,Acads
ENSMUSG00000034330,0.16558633807682563,0.0,0.0,0.15919926991684336,0.1719595454385383,Plcg2
ENSMUSG00000029863,0.16393989302067746,0.0,0.0,0.15754933098187215,0.17031672442587634,Casp2
ENSMUSG00000093674,0.16287709773285086,0.0,0.0,0.1564842993124018,0.16925624966419187,Rpl41
ENSMUSG00000049517,0.16106483400885885,0.0,0.0,0.15466825642971033,0.16744790879970384,Rps23
ENSMUSG00000026360,0.1607259262937243,0.0,0.0,0.15432864677946165,0.16710972992328593,Rgs2
ENSMUSG00000024608,0.16012107250980162,0.0,0.0,0.15372254399759797,0.16650617317625072,Rps14
ENSMUSG00000024312,0.16009494968137503,0.0,0.0,0.15369636733508066,0.16648010625733517,Wdr46
ENSMUSG00000030246,0.16004358190991327,0.0,0.0,0.15364489373078274,0.16642884839996805,Ldhb
ENSMUSG00000029713,0.15888873672970447,0.0,0.0,0.15248767839355873,0.16527646518865305,Gnb2
ENSMUSG00000050377,0.15734626091380466,0.0,0.0,0.15094206424086962,0.16373725050916535,Il31ra
ENSMUSG00000062328,0.15652386492490136,0.0,0.0,0.15011800779420903,0.16291658052976046,Rpl17
ENSMUSG00000067722,0.15590116569256895,0.0,0.0,0.14949405722269746,0.1622951823072519,BC003965
ENSMUSG00000024790,0.1550625496225795,0.0,0.0,0.1486537639834698,0.16145831034941832,Sac3d1
ENSMUSG00000039771,0.1548397527215139,0.0,0.0,0.14843052306130142,0.1612359752638019,Polr2j
ENSMUSG00000074576,0.15394790598677033,0.0,0.0,0.14753690546937712,0.16034597065595288,Mocs3
ENSMUSG00000034875,0.1485704741315995,0.0,0.0,0.14214901795751048,0.15497942550856522,Nudt19
ENSMUSG00000021661,0.14628579279574436,0.0,0.0,0.13986000955126052,0.15269925505768767,Ankra2
ENSMUSG00000062190,0.1462226712234414,0.0,0.0,0.1397967694048545,0.15263625714357465,Lancl2
ENSMUSG00000075266,0.14562976347368325,0.0,0.0,0.13920275043457928,0.15204450838437794,Cenpw
ENSMUSG00000026248,0.14222029685096893,0.0,0.0,0.13578698359985442,0.14864161718111946,Mrpl44
ENSMUSG00000031546,0.13956863966901942,0.0,0.0,0.13313053225459293,0.1459949687918069,Gins4
ENSMUSG00000025508,0.13882339699443472,0.0,0.0,0.13238395884241175,0.14525111726757858,Rplp2
ENSMUSG00000061479,0.13881517255568102,0.0,0.0,0.132375719758505,0.14524290814091084,Snrpa
ENSMUSG00000030224,0.13821378951003999,0.0,0.0,0.1317732682491689,0.14464264233919985,Strap
ENSMUSG00000052031,0.13802180336184505,0.0,0.0,0.1315809420053884,0.14445101186468426,Tagap1
ENSMUSG00000079426,0.13747878755852416,0.0,0.0,0.1310369668970649,0.1439089994418342,Arpc4
ENSMUSG00000032604,0.13446660046473602,0.0,0.0,0.1280195288367027,0.14090230818545513,Qars
ENSMUSG00000029832,0.13290231947013637,0.0,0.0,0.12645256800926705,0.13934083443879722,Nfe2l3
ENSMUSG00000039067,0.13273466532995437,0.0,0.0,0.1262846285637455,0.13917347926985663,Psmd7
ENSMUSG00000028010,0.13185731872352316,0.0,0.0,0.12540579496305548,0.1382976912037314,Gar1
ENSMUSG00000044155,0.13148028728861108,0.0,0.0,0.1250281276168021,0.13792132644252136,Lsm8
ENSMUSG00000027466,0.1313775468602274,0.0,0.0,0.1249252142278333,0.13781876735908855,Rbck1
ENSMUSG00000053656,0.13124978252270394,0.0,0.0,0.12479723499637223,0.13769122834300027,Dancr
ENSMUSG00000017404,0.1286219955400913,0.0,0.0,0.12216507581386982,0.13506802827116252,Rpl19
ENSMUSG00000024944,0.12861155763855342,0.0,0.0,0.1221546207265017,0.13505760840923436,Arl2
ENSMUSG00000029265,0.12809440490385693,0.0,0.0,0.12163661830279626,0.13454134767366163,Dr1
ENSMUSG00000017715,0.12718754398934878,0.0,0.0,0.12072827589588471,0.13363604248775807,Pgs1
ENSMUSG00000049252,0.12662156314439135,0.0,0.0,0.12016137591880259,0.13307102713386973,Lrp1b
ENSMUSG00000021018,0.1258389795354809,0.0,0.0,0.11937752836298705,0.13228977160701494,Polr2h
ENSMUSG00000022437,0.1257321579909328,0.0,0.0,0.11927053491626396,0.13218313072209062,Samm50
ENSMUSG00000029703,0.1254922554385187,0.0,0.0,0.11903024684854478,0.131943633355383,Lrwd1
ENSMUSG00000039983,0.12536751716974973,2.78652619590075e-310,1.0365877448750784e-308,0.11890530842869255,0.13181910546687353,Ccdc32
ENSMUSG00000060938,0.12533290618909976,4.1396377387835e-310,1.532977160823717e-308,0.1188706419486248,0.13178455282409735,Rpl26
ENSMUSG00000063457,0.12527391725554932,8.12500105121824e-310,2.9729512043146097e-308,0.11881155846141689,0.13172566328208174,Rps15
ENSMUSG00000043323,0.12410083786351515,5.058110567458513e-304,1.67142302358333e-302,0.11763660823873208,0.13055455097542445,Fbrsl1
ENSMUSG00000003546,0.12285087030166061,6.5393671616611725e-298,1.9895234517113397e-296,0.11638466714093466,0.1293066596101725,Klc4
ENSMUSG00000071172,0.12266127582464442,5.456510136435636e-297,1.6238574166032453e-295,0.11619477511364927,0.1291173782636269,Srsf3
ENSMUSG00000005763,0.1222476395457269,5.520089589056671e-295,1.5907187745366128e-293,0.11578049131315803,0.12870442350534228,Cd247
ENSMUSG00000066900,0.12202983811780818,6.23552917356827e-294,1.763763966237882e-292,0.11556234983512512,0.1284869800341879,Suds3
ENSMUSG00000053907,0.12169628541847688,2.5328040052079427e-292,6.94808982523636e-291,0.11522827757421923,0.12815397432542075,Mat2a
ENSMUSG00000019471,0.12168540536117783,2.8575852635142903e-292,7.812854497750875e-291,0.11521738059413536,0.12814311208572252,Cdc37
ENSMUSG00000011179,0.1211965247447065,6.388438573661869e-290,1.6686057857504914e-288,0.11472774118181336,0.1276550304801106,Odc1
ENSMUSG00000000740,0.12062713384578541,3.383130539683018e-287,8.449910580905135e-286,0.1141574704884625,0.12708656623220402,Rpl13
ENSMUSG00000011254,0.12062638283945332,3.411164965923292e-287,8.511272585706164e-286,0.1141567183245283,0.12708581644528957,Thg1l
ENSMUSG00000041623,0.12028556387677822,1.4354102153041154e-285,3.4687196462742754e-284,0.11381537478852508,0.1267455501124613,D11Wsu47e
ENSMUSG00000086212,0.12026004065467329,1.898486843853285e-285,4.560826711378263e-284,0.11378981234369683,0.12672006821446455,Mkln1os
ENSMUSG00000003970,0.11944749976371523,1.3497510993221555e-281,3.076981336170618e-280,0.11297602726081259,0.1259088384348685,Rpl8
ENSMUSG00000032300,0.11907966539864275,7.329363163134423e-280,1.637402405653106e-278,0.11260763250931816,0.12554159476381493,1700017B05Rik
ENSMUSG00000024571,0.11873592784400465,3.0284297844786225e-278,6.585828881179728e-277,0.1122633728873771,0.12519840760614828,Gm16286
ENSMUSG00000054766,0.11832601653247612,2.524455447072856e-276,5.3202085954105374e-275,0.11185284103532242,0.12478915062809706,Set
ENSMUSG00000039629,0.11700230415968874,3.6177066878314215e-270,6.744262308248827e-269,0.11052713986092752,0.12346753625324935,Strip2
ENSMUSG00000045598,0.11636232239364691,3.2293734024199176e-267,5.6959465356475446e-266,0.10988620482196816,0.12282856059185404,Zfp553
ENSMUSG00000067847,0.11627331027469195,8.283016793552837e-267,1.4484660136418037e-265,0.10979706054330267,0.1227396879826843,Romo1
ENSMUSG00000021040,0.11600952571547617,1.344475116000394e-265,2.2907392816128854e-264,0.10953288494488472,0.12247631624717356,Slirp
ENSMUSG00000030697,0.11573901743644127,2.3270971711265443e-264,3.873551847152469e-263,0.10926197660952634,0.12220623036856879,Ppp4c
ENSMUSG00000001056,0.11558403413540405,1.188252848293811e-263,1.948829921931172e-262,0.10910676453631313,0.1220514886433698,Nhp2
ENSMUSG00000021660,0.11536824884919684,1.1459440129656873e-262,1.8317198832248407e-261,0.10889066125361434,0.12183603918274853,Btf3
ENSMUSG00000006412,0.11478165886062011,5.3106147860143914e-260,8.073449797289494e-259,0.10830320991889912,0.12125035902086444,Pfdn2
ENSMUSG00000020812,0.11454482983553531,6.273687262889785e-259,9.267844144312275e-258,0.10806603441722777,0.12101389605162269,1810032O08Rik
ENSMUSG00000022762,0.11373028444305809,2.94011274305966e-255,4.0125429720734174e-254,0.10725030298990253,0.12020060405981292,Ncam2
