,Mesenchyme_3_corr,Mesenchyme_3_pval,Mesenchyme_3_qval,Mesenchyme_3_ci_low,Mesenchyme_3_ci_high,gene_annotation
ENSMUSG00000022193,0.13629404204079226,0.0,0.0,0.1298501418427141,0.14272642969660673,Psmb5
ENSMUSG00000063268,0.12901444293187242,0.0,0.0,0.1225581704035134,0.13545979636967878,Parp10
ENSMUSG00000029561,0.12533268658000915,4.15004582490674e-310,3.3963975031036725e-306,0.11887042198743683,0.13178433358511457,Oasl2
ENSMUSG00000059005,0.12367553860356652,6.175220686713813e-302,3.7903504575049383e-298,0.11721063518035994,0.1301299604328204,Hnrnpa3
ENSMUSG00000062825,0.1184268244120608,8.519112218556831e-277,4.183224863800147e-273,0.11195380131712399,0.12488979779394369,Actg1
ENSMUSG00000020000,0.11761658526560224,5.1343021957051875e-273,2.1009564584825626e-269,0.1111423410235374,0.12408084661564987,Moxd1
ENSMUSG00000030934,0.11582958390505056,8.965533928755874e-265,3.14459698598306e-261,0.10935267691028586,0.12229665552370894,Oat
ENSMUSG00000018736,0.11497897631872375,6.759724504700668e-261,2.074559450492635e-257,0.10850081661208744,0.12144737093368684,Ndel1
ENSMUSG00000015837,0.11471686585581442,1.0441418627837429e-259,2.8484190016740505e-256,0.1082383220498129,0.12118566623661135,Sqstm1
ENSMUSG00000022686,0.11427183474942365,1.0735509091137394e-257,2.6357821920560532e-254,0.10779264085927417,0.12074132201066524,B3gnt5
ENSMUSG00000022889,0.11383030084705144,1.0449287182647333e-255,2.332280899166885e-252,0.10735046455490792,0.12030046702897551,Mrpl39
ENSMUSG00000040972,0.11329725123069638,2.5636434122283872e-253,5.2452144214192805e-250,0.10681664280280313,0.11976823365146698,Igsf21
ENSMUSG00000019789,0.11223702339261317,1.341664631181423e-248,2.5338884634435613e-245,0.10575489030370303,0.11870961824414823,Hey2
ENSMUSG00000078816,0.1103377073485343,2.927703018578956e-240,5.134354608010752e-237,0.10385287990175522,0.116813153953128,Prkcg
ENSMUSG00000021835,0.10791922716829057,7.455825698641446e-230,1.2203695503536318e-226,0.10143103752922772,0.1143982366802019,Bmp4
ENSMUSG00000028037,0.10636434584401301,2.737095257008525e-223,4.200072671879582e-220,0.099874035208383,0.11284560556814534,Ifi44
ENSMUSG00000039831,0.10625380739480661,7.947999434017422e-223,1.1478781300235044e-219,0.09976334718502994,0.11273522588426582,Arhgap29
ENSMUSG00000043943,0.10563520776099122,3.0338964042462453e-220,4.138234695391879e-217,0.09914391346337885,0.11211751178668582,Naalad2
ENSMUSG00000015671,0.10497659402751704,1.6357284167135196e-217,2.11370547827107e-214,0.09848441721857565,0.11145983536381833,Psma2
ENSMUSG00000026124,0.10487633384325577,4.246362818273499e-217,5.2128349957125475e-214,0.09838402319052707,0.11135971736745566,Cfc1
ENSMUSG00000033967,0.10478202791115797,1.040751175526752e-216,1.216786802930134e-213,0.09828959148396851,0.11126554505888664,Rnf225
ENSMUSG00000107961,0.10472227179995645,1.8359294686825354e-216,2.0488972870497094e-213,0.09822975573741824,0.1112058735567748,Gm44036
ENSMUSG00000034903,0.10422590834515107,2.022537926525738e-214,2.159015268350431e-211,0.09773273260695713,0.11071021109940037,Cobll1
ENSMUSG00000095315,0.10371020218672905,2.611908343438573e-212,2.67198223533766e-209,0.09721634449683775,0.1101952298387566,Gm10130
ENSMUSG00000049792,0.10340018344255678,4.79573763623408e-211,4.709798017792765e-208,0.09690591747743213,0.10988564519387883,Bag5
ENSMUSG00000079614,0.10336092340412573,6.928436573895842e-211,6.542575952395796e-208,0.09686660582612877,0.10984644003898437,Seh1l
ENSMUSG00000021606,0.10319597189922909,3.245423160712026e-210,2.9511714608074685e-207,0.09670143769056694,0.10968171890738519,Ndufs6
ENSMUSG00000021550,0.10308988204644334,8.750143033671281e-210,7.672625420096332e-207,0.09659520869907809,0.10957577703275043,2210016F16Rik
ENSMUSG00000022109,0.10278277896810128,1.535836785756063e-208,1.3002711987545812e-205,0.09628770368373193,0.109269101482736,Med4
ENSMUSG00000049382,0.10271181291319079,2.974031606833925e-208,2.433947467032884e-205,0.09621664492468877,0.10919823404637007,Krt8
ENSMUSG00000028494,0.10270057181520606,3.3020838633058015e-208,2.6152504197381946e-205,0.0962053891483457,0.1091870085636173,Plin2
ENSMUSG00000000275,0.10195439226127566,3.3406531027565683e-205,2.563116093089977e-202,0.09545823896575537,0.10844186184258903,Trim25
ENSMUSG00000008348,0.10083435653409437,9.824166482968926e-201,7.309179863328881e-198,0.09433676003747146,0.10732336274171851,Ubc
