,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000026036,0.5080472370634294,0.0,0.0,0.503164179234899,0.51289785460845,Nif3l1
ENSMUSG00000009927,0.49117946860478384,0.0,0.0,0.48618602847627895,0.4961408329972847,Rps25
ENSMUSG00000045948,0.4837819005259582,0.0,0.0,0.4787412399055431,0.48879066819864364,Mrps12
ENSMUSG00000026254,0.46878949551590443,0.0,0.0,0.4636553576456526,0.4738921526003049,Eif4e2
ENSMUSG00000015937,0.46718516466543364,0.0,0.0,0.4620412001348204,0.47229769576905417,H2afy
ENSMUSG00000010097,0.45993986484622584,0.0,0.0,0.45475194672195723,0.4650965711235143,Nxf1
ENSMUSG00000030725,0.45985392052866464,0.0,0.0,0.4546654851943759,0.4650111467195866,Lipt2
ENSMUSG00000001525,0.4585726503105769,0.0,0.0,0.453376515930749,0.4637376160607055,Tubb5
ENSMUSG00000033126,0.4559839400014878,0.0,0.0,0.45077231659102135,0.46116447782214,Ybey
ENSMUSG00000109511,0.453737967126444,0.0,0.0,0.44851297725857037,0.4589319447289026,Nup62
ENSMUSG00000024369,0.45319201355873523,0.0,0.0,0.447963784646286,0.45838924820834226,Nelfe
ENSMUSG00000030822,0.4523187967986131,0.0,0.0,0.447085395449778,0.4575212328235078,Prr14
ENSMUSG00000029249,0.45152096420150445,0.0,0.0,0.4462828457727729,0.4567281439026355,Rest
ENSMUSG00000012405,0.45145826958099683,0.0,0.0,0.44621978083566344,0.45666582169499437,Rpl15
ENSMUSG00000004865,0.45098719788030533,0.0,0.0,0.4457459283327556,0.45619754657662787,Srpk1
ENSMUSG00000026434,0.44988784357887135,0.0,0.0,0.4446400958150466,0.4551047075189285,Nucks1
ENSMUSG00000031939,0.44984855842771365,0.0,0.0,0.4446005794624918,0.4550656548975351,Taf1d
ENSMUSG00000010936,0.44940992873722296,0.0,0.0,0.4441593697311356,0.454629620103841,Vac14
ENSMUSG00000032480,0.4488034000934295,0.0,0.0,0.4435492776521009,0.45402667551133136,Dhx30
ENSMUSG00000039148,0.44762099282202455,0.0,0.0,0.4423599375817436,0.4528512414741736,Sart1
ENSMUSG00000005732,0.4475611425999601,0.0,0.0,0.44229973693239427,0.45279174373471814,Ranbp1
ENSMUSG00000040952,0.44662083825012344,0.0,0.0,0.44135393325776284,0.4518569711093945,Rps19
ENSMUSG00000059920,0.4426755616489369,0.0,0.0,0.43738571044965924,0.44793477887379357,4930453N24Rik
ENSMUSG00000028936,0.4424506735704141,0.0,0.0,0.43715952060070623,0.4477112005484923,Rpl22
ENSMUSG00000032481,0.44008196625200147,0.0,0.0,0.434777142610802,0.4453562486836279,Smarcc1
ENSMUSG00000036160,0.44002482348275657,0.0,0.0,0.43471967096709296,0.44529943684991086,Surf6
ENSMUSG00000056167,0.4389794978955045,0.0,0.0,0.433668336830432,0.4442601576464051,Cnot10
ENSMUSG00000045817,0.4382887566571467,0.0,0.0,0.43297363313418835,0.44357340400245965,Zfp36l2
ENSMUSG00000047407,0.436941126531456,0.0,0.0,0.43161829046334704,0.44223353577376884,Tgif1
ENSMUSG00000033918,0.43662601852665706,0.0,0.0,0.4313013825485474,0.44192023927776397,Parl
ENSMUSG00000076431,0.43646529659957584,0.0,0.0,0.43113974307714736,0.44176044081962884,Sox4
ENSMUSG00000024217,0.43516438362452997,0.0,0.0,0.4298314159095428,0.44046699020626645,Snrpc
ENSMUSG00000030744,0.43413785689278095,0.0,0.0,0.4287990545808512,0.4394463363493395,Rps3
ENSMUSG00000061315,0.43317827366183653,0.0,0.0,0.4278340298572025,0.43849223060638315,Naca
ENSMUSG00000071659,0.43116564854469625,0.0,0.0,0.4258100313561934,0.4364910550379522,Hnrnpul2
ENSMUSG00000031889,0.43102370685612623,0.0,0.0,0.4256672895756224,0.43634991884705304,D230025D16Rik
ENSMUSG00000074754,0.43062849552153226,0.0,0.0,0.4252698519318787,0.435956948896354,Gm561
ENSMUSG00000025362,0.43016893257657873,0.0,0.0,0.42480770277029023,0.43549998974105103,Rps26
