,Notochord_corr,Notochord_pval,Notochord_qval,Notochord_ci_low,Notochord_ci_high,gene_annotation
ENSMUSG00000004865,0.658960705588056,0.0,0.0,0.6552331370380933,0.662656185925308,Srpk1
ENSMUSG00000029405,0.6484165967361778,0.0,0.0,0.6445984704098051,0.6522023789903052,G3bp2
ENSMUSG00000030822,0.6448146145556427,0.0,0.0,0.6409658912694216,0.6486309149266365,Prr14
ENSMUSG00000010097,0.6417950731167059,0.0,0.0,0.6379208332346951,0.6456368273193165,Nxf1
ENSMUSG00000058655,0.6402724906674002,0.0,0.0,0.6363854301658435,0.644127034988102,Eif4b
ENSMUSG00000031889,0.6359070126066881,0.0,0.0,0.6319833641686511,0.6397980616546846,D230025D16Rik
ENSMUSG00000020869,0.6342291175051075,0.0,0.0,0.630291473652903,0.6381341316526735,Lrrc59
ENSMUSG00000029817,0.6316214907712876,0.0,0.0,0.6276621707901476,0.6355481357648373,Tra2a
ENSMUSG00000032103,0.6311787860791571,0.0,0.0,0.6272157950452963,0.6351090946580885,Pus3
ENSMUSG00000056167,0.6283256144398356,0.0,0.0,0.6243390264268031,0.6322794734025555,Cnot10
ENSMUSG00000024217,0.6282809621894927,0.0,0.0,0.6242940057421806,0.6322351888782963,Snrpc
ENSMUSG00000053453,0.6279727542638529,0.0,0.0,0.6239832554561381,0.631929518442445,Thoc7
ENSMUSG00000022191,0.6250777177496925,0.0,0.0,0.6210643998137032,0.6290582568078504,Drosha
ENSMUSG00000032481,0.6241976435427651,0.0,0.0,0.6201771067952276,0.6281853884979236,Smarcc1
ENSMUSG00000015961,0.6225465992080949,0.0,0.0,0.6185125475163864,0.626547835552618,Adss
ENSMUSG00000096740,0.620871256106572,0.0,0.0,0.6168235275762156,0.6248861462840668,Lbhd1
ENSMUSG00000109511,0.6191075959570067,0.0,0.0,0.6150455098788463,0.6231368204361492,Nup62
ENSMUSG00000033883,0.6184986258844691,0.0,0.0,0.6144315919167062,0.6225327904577173,D3Ertd254e
ENSMUSG00000036160,0.6175668719678106,0.0,0.0,0.6134922770201041,0.6216085858227318,Surf6
ENSMUSG00000007656,0.6161952850821361,0.0,0.0,0.6121095809833375,0.6202480913713759,Arpp19
ENSMUSG00000026254,0.6156035436439197,0.0,0.0,0.6115130544568016,0.619661127994312,Eif4e2
ENSMUSG00000031819,0.6153911157722632,0.0,0.0,0.6112989099317793,0.6194504142805141,Emc8
ENSMUSG00000015937,0.6140706052948806,0.0,0.0,0.6099677417022873,0.6181405463639316,H2afy
ENSMUSG00000092416,0.6138365615568717,0.0,0.0,0.6097318114285967,0.6179083865268595,Zfp141
ENSMUSG00000060373,0.6132394535870465,0.0,0.0,0.609129893698454,0.6173160816740584,Hnrnpc
ENSMUSG00000039221,0.612550742860287,0.0,0.0,0.6084356412223106,0.6166329051744504,Rpl22l1
ENSMUSG00000064326,0.6106702059591811,0.0,0.0,0.6065400045544453,0.6147674482641939,Siva1
ENSMUSG00000029249,0.6106214473424666,0.0,0.0,0.6064908550550835,0.6147190800322241,Rest
