,Blood_1_corr,Blood_1_pval,Blood_1_qval,Blood_1_ci_low,Blood_1_ci_high,gene_annotation
ENSMUSG00000073400,0.5239971127712434,0.0,0.0,0.5152813038619403,0.5326045423813994,Trim10
ENSMUSG00000027333,0.49136737057883434,0.0,0.0,0.48225707229434417,0.500371397358654,Smox
ENSMUSG00000034796,0.474995676852492,0.0,0.0,0.46569719634625883,0.4841892842924059,Cpne7
ENSMUSG00000022742,0.45412162645487136,0.0,0.0,0.44459265252618846,0.46354782519348947,Cpox
ENSMUSG00000031974,0.45313215909808924,0.0,0.0,0.4435925219325192,0.4625691290417272,Abcb10
ENSMUSG00000023328,0.44663351639062193,0.0,0.0,0.4370244354324223,0.4561406580250336,Ache
ENSMUSG00000071713,0.44513354965483776,0.0,0.0,0.4355085857653687,0.45465674682852253,Csf2rb
ENSMUSG00000051839,0.44413298287271435,0.0,0.0,0.4344974544754468,0.45366686064685474,Gypa
ENSMUSG00000026532,0.4410847626815332,0.0,0.0,0.4314171992774089,0.450651033818886,Spta1
ENSMUSG00000032596,0.44044010092006314,0.0,0.0,0.43076579137342363,0.4500131948877064,Uba7
ENSMUSG00000004897,0.43950617414662435,0.0,0.0,0.429822109288432,0.4490891350792672,Hdgf
ENSMUSG00000078621,0.4387567252618864,0.0,0.0,0.4290648473523575,0.4483475893187887,Hbb-bh2
ENSMUSG00000031543,0.4273311631043556,0.0,0.0,0.4175218597867838,0.4370408775339708,Ank1
ENSMUSG00000025648,0.4261163056558024,0.0,0.0,0.41629470290574283,0.43583847668877695,Pfkfb4
ENSMUSG00000023216,0.4191569976489168,0.0,0.0,0.40926562715645587,0.4289498574160766,Epb42
ENSMUSG00000025573,0.41865338823934234,0.0,0.0,0.40875701456451174,0.4284513191905929,6030468B19Rik
ENSMUSG00000021061,0.41823921800401437,0.0,0.0,0.40833873430007644,0.42804131504535314,Sptb
ENSMUSG00000001542,0.4178143004768866,0.0,0.0,0.40790960441357793,0.42762066752083855,Ell2
ENSMUSG00000050549,0.4146807950094411,0.0,0.0,0.4047451705049795,0.4245185195538966,5730508B09Rik
ENSMUSG00000024588,0.41171993060300266,0.0,0.0,0.4017553003114873,0.4215870727553936,Fech
ENSMUSG00000028132,0.41157949407561606,0.0,0.0,0.40161349328987206,0.42144802640899504,Tmem56
ENSMUSG00000073938,0.4110071746842422,0.0,0.0,0.40103559368108815,0.42088136760780226,Olfr632
