,Endothelial_1_corr,Endothelial_1_pval,Endothelial_1_qval,Endothelial_1_ci_low,Endothelial_1_ci_high,gene_annotation
ENSMUSG00000032388,0.7575299549468069,0.0,0.0,0.7523954914746762,0.7625723728509004,Spg21
ENSMUSG00000031513,0.73449524715131,0.0,0.0,0.7289482347269761,0.7399458157301911,Leprotl1
ENSMUSG00000004937,0.7219599364087566,0.0,0.0,0.7161938841077768,0.727627432837881,Sgta
ENSMUSG00000062963,0.7212539911181791,0.0,0.0,0.7154757177927312,0.7269335954341096,Ufc1
ENSMUSG00000032312,0.717641481809899,0.0,0.0,0.7118008613852757,0.7233828638816032,Csk
ENSMUSG00000014856,0.7146328974444581,0.0,0.0,0.7087405968851549,0.7204254977198996,Tmem208
ENSMUSG00000045969,0.7127534159590176,0.0,0.0,0.7068289430270074,0.7185779056550058,Ing1
ENSMUSG00000042364,0.7070972257947225,0.0,0.0,0.7010764539996952,0.7130171887667455,Snx18
ENSMUSG00000032786,0.7063164030180562,0.0,0.0,0.7002823989590189,0.712249487330962,Alas1
ENSMUSG00000037406,0.70321545795502,0.0,0.0,0.6971290509199386,0.7092005119905942,Htra4
ENSMUSG00000031652,0.7031310663591702,0.0,0.0,0.697043236479052,0.7091175316108095,N4bp1
ENSMUSG00000001729,0.7017796717710879,0.0,0.0,0.6956690810906184,0.7077887127702629,Akt1
ENSMUSG00000093661,0.7015364469719826,0.0,0.0,0.6954217645377105,0.7075495466519943,Eif4e3
ENSMUSG00000109336,0.6999229117317539,0.0,0.0,0.6937811215854416,0.7059629015168822,Samd4b
ENSMUSG00000018476,0.6978408237597716,0.0,0.0,0.6916641483211905,0.7039154226454307,Kdm6b
ENSMUSG00000095253,0.6954427128691278,0.0,0.0,0.6892259887083558,0.7015570487768278,Zfp799
ENSMUSG00000094372,0.6952390173269545,0.0,0.0,0.689018897914875,0.7013567223257533,Gm21839
ENSMUSG00000023791,0.695014746975015,0.0,0.0,0.6887908905400532,0.7011361602511852,Pigx
ENSMUSG00000016528,0.6941774073717532,0.0,0.0,0.6879396092049921,0.7003126555833155,Mapkapk2
ENSMUSG00000036398,0.6936625567168386,0.0,0.0,0.687416194790826,0.6998063034357495,Ppp1r11
ENSMUSG00000057177,0.6918561849477035,0.0,0.0,0.6855798280879566,0.6980297001481156,Gsk3a
ENSMUSG00000072423,0.6917205582605546,0.0,0.0,0.685441952533433,0.6978963054817692,Psmb11
ENSMUSG00000058239,0.6917039576001067,0.0,0.0,0.68542507664331,0.6978799779904771,Usf2
ENSMUSG00000046229,0.691462745534282,0.0,0.0,0.6851798661772898,0.6976427344217375,Scand1
ENSMUSG00000019470,0.6910323716270063,0.0,0.0,0.6847423618063467,0.6972194377955249,Xab2
ENSMUSG00000045757,0.6905528381968515,0.0,0.0,0.6842548887742037,0.6967477849678736,Zfp764
ENSMUSG00000022472,0.6901907211121756,0.0,0.0,0.683886779871765,0.6963916153278567,Desi1
ENSMUSG00000000628,0.6848673011611813,0.0,0.0,0.6784756456321714,0.6911552751701989,Hk2
ENSMUSG00000000724,0.6848043203084946,0.0,0.0,0.678411631191505,0.6910933205980865,Cryba1
ENSMUSG00000042688,0.6832856656764451,0.0,0.0,0.6768680830850267,0.6895993846433138,Mapk6
ENSMUSG00000031819,0.682124280661238,0.0,0.0,0.6756876989673651,0.688456866874667,Emc8
ENSMUSG00000040699,0.6819140275395842,0.0,0.0,0.6754740098423102,0.6882500260540286,Limd2
ENSMUSG00000085991,0.681719921514497,0.0,0.0,0.6752767326535241,0.6880590693563418,Gm11479
ENSMUSG00000032733,0.680563578186856,0.0,0.0,0.6741015169302799,0.6869214692496105,Snx33
ENSMUSG00000045231,0.679240673861631,0.0,0.0,0.6727570619322677,0.6856199697251749,BC106179
ENSMUSG00000014077,0.6791468157513336,0.0,0.0,0.6726616764602411,0.68552762870451,Chp1
ENSMUSG00000024767,0.6790006078697071,0.0,0.0,0.6725130897535776,0.685383783666907,Otub1
ENSMUSG00000050721,0.6775547646379432,0.0,0.0,0.6710437505850358,0.6839612796724696,Plekho2
ENSMUSG00000048895,0.6773713683673732,0.0,0.0,0.6708573776552545,0.6837808403580357,Cdk5r1
ENSMUSG00000006418,0.676635560456292,0.0,0.0,0.6701096353024688,0.6830568882293324,Rnf114
ENSMUSG00000008482,0.6765260400548476,0.0,0.0,0.6699983396665344,0.6829491314080304,Rnf151
ENSMUSG00000047654,0.676337771461408,0.0,0.0,0.6698070200817717,0.682763893804211,Tssk6
ENSMUSG00000078134,0.6759081422204904,0.0,0.0,0.6693704317207477,0.6823411781930423,Gm12355
ENSMUSG00000018199,0.6751761742188439,0.0,0.0,0.668626617725747,0.681620979173419,Trove2
ENSMUSG00000040596,0.6751613445277096,0.0,0.0,0.668611548169933,0.6816063877931112,Pogk
ENSMUSG00000024146,0.675045969237321,0.0,0.0,0.6684943069113342,0.6814928663905988,Cript
ENSMUSG00000111514,0.6745224385657547,0.0,0.0,0.667962313252869,0.6809777440829162,RP23-269O24.7
ENSMUSG00000003379,0.674373575286488,0.0,0.0,0.6678110447906573,0.6808312705125813,Cd79a
ENSMUSG00000061374,0.6743037355757453,0.0,0.0,0.6677400768670217,0.6807625517638569,Fiz1
ENSMUSG00000025575,0.6740338947979697,0.0,0.0,0.6674658781166032,0.6804970409962707,Cant1
ENSMUSG00000033684,0.6739192131214319,0.0,0.0,0.6673493448516044,0.6803841990496455,Qsox1
ENSMUSG00000005514,0.6737456292135925,0.0,0.0,0.6671729589636681,0.6802133992014703,Por
ENSMUSG00000024962,0.6733427096658129,0.0,0.0,0.6667635383558613,0.679816939251015,Vegfb
ENSMUSG00000026471,0.6730189274612626,0.0,0.0,0.666434534840858,0.6794983451734213,Mr1
ENSMUSG00000021135,0.6724114624039077,0.0,0.0,0.6658172807232481,0.6789006072446155,Slc10a1
ENSMUSG00000060376,0.671253853833363,0.0,0.0,0.6646410427353922,0.6777615112468612,Bckdha
ENSMUSG00000105039,0.6710652272227268,0.0,0.0,0.664449383658587,0.6775758982090294,Gm42637
ENSMUSG00000037826,0.670589005375767,0.0,0.0,0.6639655096767122,0.6771072809790001,Ppm1k
ENSMUSG00000028961,0.6703234749631705,0.0,0.0,0.6636957150173135,0.6768459884312522,Pgd
ENSMUSG00000091685,0.6699676834055271,0.0,0.0,0.6633342123806023,0.676495872729513,Gm17359
ENSMUSG00000016982,0.6694092967991331,0.0,0.0,0.662766868931416,0.6759463879784575,Pom121l2
ENSMUSG00000078520,0.6692084979245152,0.0,0.0,0.6625628509913911,0.6757487884827624,Cela3a
ENSMUSG00000033152,0.6686100262874195,0.0,0.0,0.6619547909301149,0.6751598468689642,Podxl2
ENSMUSG00000054381,0.6684009185180382,0.0,0.0,0.6617423350018468,0.6749540669496261,Zfp747
ENSMUSG00000045440,0.6681923438151276,0.0,0.0,0.6615304217406233,0.6747488105977655,Insm2
ENSMUSG00000045326,0.666994203509604,0.0,0.0,0.6603131239698597,0.6735697126413652,Fndc7
ENSMUSG00000038406,0.6668928952092542,0.0,0.0,0.6602101974270145,0.6734700129250599,Scaf1
ENSMUSG00000097120,0.6668518843120453,0.0,0.0,0.6601685315158905,0.6734296531352312,Gm26887
ENSMUSG00000076431,0.665590667889205,0.0,0.0,0.658887191399746,0.6721884412034973,Sox4
ENSMUSG00000108724,0.6654738580939024,0.0,0.0,0.6587685197810842,0.6720734822831271,Gm44734
ENSMUSG00000104000,0.6648009582931351,0.0,0.0,0.6580849011736201,0.671411238521455,Gm38335
ENSMUSG00000040712,0.6646251018536914,0.0,0.0,0.6579062452933621,0.6712381652039636,Camta2
ENSMUSG00000025465,0.6642092364362854,0.0,0.0,0.6574837627652542,0.6708288784462835,Echs1
ENSMUSG00000097429,0.6640319096045261,0.0,0.0,0.6573036156546571,0.6706543555574677,Gm26520
ENSMUSG00000036622,0.6638552302640969,0.0,0.0,0.6571241270980632,0.6704804691924836,Atp13a2
ENSMUSG00000032959,0.6636734807617003,0.0,0.0,0.6569394885599783,0.670301592055988,Pebp1
ENSMUSG00000025173,0.663236682802792,0.0,0.0,0.6564957506947274,0.6698716940943388,Wdr45b
ENSMUSG00000063765,0.6631924501089242,0.0,0.0,0.6564508154858434,0.6698281598861353,Chadl
ENSMUSG00000039191,0.6627188291458487,0.0,0.0,0.6559696753514722,0.6693620150892297,Rbpj
ENSMUSG00000103655,0.6626944588858288,0.0,0.0,0.6559449183393862,0.6693380293753199,Gm37202
ENSMUSG00000079559,0.6625773999890359,0.0,0.0,0.6558260019393277,0.6692228173951972,Gm684
ENSMUSG00000035764,0.6625592276131523,0.0,0.0,0.6558075412322578,0.6692049317084159,Fbxo45
ENSMUSG00000048668,0.6624733773861935,0.0,0.0,0.6557203289757062,0.6691204357585513,Rhno1
ENSMUSG00000058093,0.6620110880435672,0.0,0.0,0.655250708425851,0.6686654360207905,Zfp729b
ENSMUSG00000037451,0.6615653781419006,0.0,0.0,0.6547979351894219,0.6682267495727136,Slc22a20
ENSMUSG00000022500,0.6609838331555326,0.0,0.0,0.654207181541213,0.6676543615508136,Litaf
ENSMUSG00000029249,0.6607106548837872,0.0,0.0,0.6539296803943786,0.6673854820015716,Rest
ENSMUSG00000020941,0.6602544100665032,0.0,0.0,0.6534662198569376,0.6669364127544095,Map3k14
ENSMUSG00000097076,0.6599602463741868,0.0,0.0,0.6531674065299997,0.6666468729346712,Platr7
ENSMUSG00000051081,0.6599345167581868,0.0,0.0,0.6531412703250207,0.6666215476589686,Gm4847
ENSMUSG00000061479,0.6594613597368365,0.0,0.0,0.6526606391857269,0.6661558235364519,Snrpa
ENSMUSG00000072476,0.6594063692483358,0.0,0.0,0.6526047804074382,0.6661016965636248,Gm9008
ENSMUSG00000059518,0.659364493106471,0.0,0.0,0.6525622430985147,0.666060477955542,Znhit1
ENSMUSG00000111059,0.6593412397968013,0.0,0.0,0.6525386226693728,0.6660375897486841,RP23-456L15.4
ENSMUSG00000002458,0.6590237698133686,0.0,0.0,0.652216141843753,0.6657251031356219,Rgs19
ENSMUSG00000035946,0.6590004943031842,0.0,0.0,0.6521924990574933,0.6657021928918708,Gsx2
ENSMUSG00000079700,0.6581370108837303,0.0,0.0,0.6513153996553502,0.6648522513321075,Fpr3
ENSMUSG00000050304,0.658092866315527,0.0,0.0,0.6512705594759137,0.6648087986082519,Slc25a2
ENSMUSG00000024033,0.657657395011818,0.0,0.0,0.6508282287545978,0.664380149680639,Rsph1
ENSMUSG00000039615,0.6569482244665955,0.0,0.0,0.6501078974831267,0.6636820799956725,Stub1
ENSMUSG00000025489,0.6568456383184749,0.0,0.0,0.6500036978810052,0.6635810986883556,Ifitm5
ENSMUSG00000073982,0.6566448796930324,0.0,0.0,0.649799782509255,0.6633834799876159,Rhog
ENSMUSG00000066900,0.6558373238807467,0.0,0.0,0.6489795385710861,0.6625885450931657,Suds3
ENSMUSG00000029126,0.6554587269393989,0.0,0.0,0.6485949986931012,0.6622158598320711,Nsg1
ENSMUSG00000001521,0.6550876952951924,0.0,0.0,0.648218146266272,0.6618506184946231,Tulp3
ENSMUSG00000090210,0.6547531716197682,0.0,0.0,0.6478783774337927,0.6615213126313454,Itga10
ENSMUSG00000022587,0.6544279642702516,0.0,0.0,0.6475480736246404,0.6612011752782593,Ly6e
ENSMUSG00000029510,0.6542523559169262,0.0,0.0,0.6473697143146763,0.6610283036409705,Gpc2
ENSMUSG00000071230,0.6541846854676623,0.0,0.0,0.647300983989079,0.6609616875896563,Npw
ENSMUSG00000028931,0.6541800828492987,0.0,0.0,0.6472963092870925,0.6609571566824887,Kcnab2
ENSMUSG00000073043,0.6534884613954183,0.0,0.0,0.6465938619316982,0.6602763054359762,Atoh1
ENSMUSG00000020033,0.6533703416411196,0.0,0.0,0.6464738944262425,0.660160023974494,4930463O16Rik
ENSMUSG00000021127,0.6533450065281812,0.0,0.0,0.6464481630397276,0.6601350831084754,Zfp36l1
ENSMUSG00000028300,0.6531465506270199,0.0,0.0,0.6462466035771908,0.6599397149182289,3110043O21Rik
ENSMUSG00000028656,0.6530675787782946,0.0,0.0,0.6461663969914835,0.6598619715113293,Cap1
ENSMUSG00000060257,0.6528205651018211,0.0,0.0,0.6459155222023562,0.6596187993020565,Scrt2
ENSMUSG00000103906,0.6525761644209552,0.0,0.0,0.6456673027208302,0.6593781980512797,Tigd5
ENSMUSG00000103308,0.6525517280418075,0.0,0.0,0.6456424845995435,0.6593541414811734,Gm37800
ENSMUSG00000074215,0.6523362195026899,0.0,0.0,0.6454236100442393,0.6591419819387923,Gm10643
ENSMUSG00000048546,0.6517466838771505,0.0,0.0,0.644824872293914,0.6585616021451557,Tob2
ENSMUSG00000101355,0.6515359562082613,0.0,0.0,0.6446108574151674,0.6583541452329084,Hist1h3h
ENSMUSG00000003123,0.6514063717337896,0.0,0.0,0.644479252049008,0.6582265715569928,Lipe
ENSMUSG00000087495,0.65132338013565,0.0,0.0,0.644394966398528,0.6581448675569385,Gm14152
ENSMUSG00000053030,0.6506142134471851,0.0,0.0,0.6436747488437431,0.6574466968957868,Spink2
ENSMUSG00000025153,0.6501406417668711,0.0,0.0,0.6431938043929734,0.6569804616769487,Fasn
ENSMUSG00000028437,0.6494840020557671,0.0,0.0,0.6425269508975919,0.6563339858178971,Ubap1
ENSMUSG00000006050,0.6490040801722948,0.0,0.0,0.6420395706748437,0.6558614860825177,Sra1
ENSMUSG00000046671,0.6489489593188074,0.0,0.0,0.6419835935631122,0.655807217346955,Mtfr1l
ENSMUSG00000028148,0.6483869693915842,0.0,0.0,0.6414128778110567,0.6552539112240037,Them5
ENSMUSG00000047767,0.6482367243223348,0.0,0.0,0.6412603012457605,0.655105986476185,Atg16l2
ENSMUSG00000030272,0.6476472816975934,0.0,0.0,0.6406617170052554,0.6545256418685677,Camk1
ENSMUSG00000078787,0.6474137027241607,0.0,0.0,0.6404245178243212,0.6542956659322793,Cyp2t4
ENSMUSG00000001588,0.6473757108430832,0.0,0.0,0.6403859372385177,0.6542582599688643,Acap1
ENSMUSG00000003500,0.6471149796485949,0.0,0.0,0.640121166824978,0.6540015489094538,Impdh1
ENSMUSG00000004207,0.6470546728995381,0.0,0.0,0.6400599260469507,0.6539421717859897,Psap
ENSMUSG00000060621,0.6467933498730448,0.0,0.0,0.639794556684896,0.6536848760607218,Nkpd1
ENSMUSG00000087045,0.6464824919932484,0.0,0.0,0.6394788876433194,0.6533788067987344,4930515B02Rik
ENSMUSG00000048796,0.6464071732261615,0.0,0.0,0.6394024035195874,0.6533046479421265,Cyb561d1
ENSMUSG00000046160,0.6461341097229586,0.0,0.0,0.6391251162507416,0.6530357885124245,Olig1
ENSMUSG00000003344,0.6460349299978333,0.0,0.0,0.6390244028576849,0.6529381353232302,Btbd2
ENSMUSG00000012705,0.6458594510869116,0.0,0.0,0.6388462110135278,0.6527653567535115,Retn
ENSMUSG00000015745,0.6455091912581759,0.0,0.0,0.6384905383593552,0.6524204847179562,Plekho1
ENSMUSG00000030499,0.645411563131624,0.0,0.0,0.6383914020470689,0.6523243578240296,Kctd15
ENSMUSG00000028800,0.644429176834871,0.0,0.0,0.6373938525440042,0.6513570653531634,Hdac1
ENSMUSG00000056216,0.6442812504526255,0.0,0.0,0.6372436449497921,0.6512114098278811,Cebpg
ENSMUSG00000027239,0.6439114957482295,0.0,0.0,0.6368681904986855,0.6508473290924506,Mdk
ENSMUSG00000035342,0.6432896179759112,0.0,0.0,0.6362367340517887,0.6502349869796116,Lzts2
ENSMUSG00000050022,0.6428557744038806,0.0,0.0,0.635796213658798,0.6498077904717589,Amz1
ENSMUSG00000039759,0.6427973835986396,0.0,0.0,0.6357369245744617,0.649750293956469,Thap3
ENSMUSG00000050914,0.6425673726691447,0.0,0.0,0.6355033759871499,0.6495238050073707,Ankrd37
ENSMUSG00000109149,0.6421165344033125,0.0,0.0,0.6350456074029284,0.6490798664997268,Gm44653
ENSMUSG00000095280,0.6420564055752873,0.0,0.0,0.6349845546455608,0.6490206575420723,Gm21738
ENSMUSG00000034362,0.6420143110490466,0.0,0.0,0.6349418133545599,0.6489792069413816,Csta1
ENSMUSG00000033319,0.6417990637315492,0.0,0.0,0.6347232595289115,0.6487672516443547,Fem1c
ENSMUSG00000056271,0.6416846901438444,0.0,0.0,0.6346071294590852,0.6486546268613104,Lman1l
ENSMUSG00000034659,0.6415572875529425,0.0,0.0,0.6344777706706166,0.6485291719328334,Tmem109
ENSMUSG00000027301,0.6414398763467659,0.0,0.0,0.6343585570303057,0.6484135553107808,Oxt
ENSMUSG00000106219,0.641429965745663,0.0,0.0,0.6343484943023625,0.6484037961745965,5830416I19Rik
ENSMUSG00000020572,0.6412855766710186,0.0,0.0,0.6342018891405101,0.6482616135557429,Nampt
ENSMUSG00000054134,0.6412585940301485,0.0,0.0,0.6341744924258675,0.6482350431913154,Umodl1
