,Extra-Embryonic endoderm_3_corr,Extra-Embryonic endoderm_3_pval,Extra-Embryonic endoderm_3_qval,Extra-Embryonic endoderm_3_ci_low,Extra-Embryonic endoderm_3_ci_high,gene_annotation
ENSMUSG00000024194,0.8067248936783133,0.0,0.0,0.802515110937612,0.8108543533276064,Cuta
ENSMUSG00000036880,0.8041946632388836,0.0,0.0,0.7999358714804327,0.8083724492450027,Acaa2
ENSMUSG00000029455,0.7746496733649524,0.0,0.0,0.769830254702524,0.779380759626647,Aldh2
ENSMUSG00000006589,0.7678204794909197,0.0,0.0,0.7628745244993524,0.772676574779956,Aprt
ENSMUSG00000025068,0.7629361466876057,0.0,0.0,0.7579003933319952,0.7678809856038874,Gsto1
ENSMUSG00000005681,0.7590732930688348,0.0,0.0,0.7539669358257789,0.7640879237789021,Apoa2
ENSMUSG00000030934,0.7550052765119518,0.0,0.0,0.7498249612986955,0.7600930309143823,Oat
ENSMUSG00000058135,0.7461478642855826,0.0,0.0,0.7408079224781466,0.7513935025690905,Gstm1
ENSMUSG00000034371,0.742727094783344,0.0,0.0,0.7373260195967279,0.7480332202760738,Tkfc
ENSMUSG00000018770,0.7404912242148045,0.0,0.0,0.7350503463330064,0.7458367380953276,Atp5g3
ENSMUSG00000027984,0.7362624002948662,0.0,0.0,0.7307465765666459,0.7416820937208766,Hadh
ENSMUSG00000026664,0.7358719162175035,0.0,0.0,0.7303491941998449,0.7412984383117324,Phyh
ENSMUSG00000031765,0.7347068210530884,0.0,0.0,0.7291635386874332,0.7401536969055488,Mt1
ENSMUSG00000061808,0.7343037339254778,0.0,0.0,0.7287533460594432,0.7397576442020151,Ttr
ENSMUSG00000024029,0.7339892195366671,0.0,0.0,0.7284332902706896,0.7394486158966381,Tff3
ENSMUSG00000030538,0.732730099230968,0.0,0.0,0.7271520099269859,0.7382114354195076,Cib1
ENSMUSG00000068877,0.7320732080122033,0.0,0.0,0.7264835730994412,0.7375659757139329,Selenbp2
ENSMUSG00000093989,0.7288892800825677,0.0,0.0,0.7232438339006725,0.7344373136854757,Rnasek
ENSMUSG00000021456,0.7284383185990819,0.0,0.0,0.7227849875745729,0.7339941608237294,Fbp2
ENSMUSG00000031633,0.7268705108278467,0.0,0.0,0.7211898062321188,0.7324534636062303,Slc25a4
ENSMUSG00000085962,0.7252364194513562,0.0,0.0,0.7195272481035792,0.7308475680976231,Gm16984
ENSMUSG00000024990,0.7231594898778783,0.0,0.0,0.7174142317411798,0.7288063857999695,Rbp4
ENSMUSG00000017664,0.7222095401830084,0.0,0.0,0.7164478118385383,0.7278727528054036,Slc35c2
ENSMUSG00000026473,0.7202420020144794,0.0,0.0,0.7144462308641041,0.7259389430423134,Glul
ENSMUSG00000033831,0.7198520793569938,0.0,0.0,0.7140495729353941,0.7255556939155662,Fgb
