,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000109336,0.7821997346215042,0.0,0.0,0.7775215417221925,0.786791355603127,Samd4b
ENSMUSG00000030663,0.7701357781070127,0.0,0.0,0.7652325943998076,0.7749496130204289,1110004F10Rik
ENSMUSG00000024767,0.7598446938320244,0.0,0.0,0.7547524067236121,0.764845415028564,Otub1
ENSMUSG00000029581,0.7558240395574761,0.0,0.0,0.7506585771084203,0.760897107387527,Fscn1
ENSMUSG00000018199,0.7527711680704333,0.0,0.0,0.7475504086939254,0.7578989175609506,Trove2
ENSMUSG00000030499,0.7527249925236057,0.0,0.0,0.7475033985206674,0.7578535674267367,Kctd15
ENSMUSG00000028800,0.7511879639810939,0.0,0.0,0.7459386179202889,0.7563439858109946,Hdac1
ENSMUSG00000062963,0.7509730999759926,0.0,0.0,0.7457198790215471,0.7561329542867282,Ufc1
ENSMUSG00000061374,0.7476730266993736,0.0,0.0,0.7423604339289936,0.7528916088536608,Fiz1
ENSMUSG00000045231,0.7475123978707092,0.0,0.0,0.7421969220347711,0.7527338321016671,BC106179
ENSMUSG00000024962,0.7465669268464856,0.0,0.0,0.7412344939365194,0.7518051364174847,Vegfb
ENSMUSG00000022472,0.7454305631508199,0.0,0.0,0.7400777785068832,0.750688907540006,Desi1
ENSMUSG00000029126,0.744773152400611,0.0,0.0,0.739408608302868,0.7500431315052912,Nsg1
ENSMUSG00000045969,0.741560954450851,0.0,0.0,0.7361391044816227,0.7468876378487378,Ing1
ENSMUSG00000026273,0.7359343420458806,0.0,0.0,0.7304127225915035,0.7413597726941249,Mterf4
ENSMUSG00000058239,0.7353601142335898,0.0,0.0,0.7298283563857567,0.7407955811971121,Usf2
ENSMUSG00000040699,0.7338028521306456,0.0,0.0,0.7282436404187652,0.7392654982170003,Limd2
ENSMUSG00000069310,0.7322641506423521,0.0,0.0,0.7266778706725856,0.7377535965102198,Hist1h3c
ENSMUSG00000111514,0.731238066805098,0.0,0.0,0.7256337686098925,0.7367453535136491,RP23-269O24.7
ENSMUSG00000078926,0.7308615183546603,0.0,0.0,0.7252506143709518,0.7363753460861805,Cdc20b
ENSMUSG00000003500,0.7305287240997071,0.0,0.0,0.72491198480043,0.7360483300544791,Impdh1
ENSMUSG00000025580,0.7265162491978961,0.0,0.0,0.7208293676179087,0.7321053199527556,Eif4a3
ENSMUSG00000040596,0.7260035044791529,0.0,0.0,0.7203076880161952,0.7316014249876321,Pogk
ENSMUSG00000055652,0.7230472893741906,0.0,0.0,0.7173000847558563,0.7286961135887193,Klhl25
ENSMUSG00000040997,0.7226156000035172,0.0,0.0,0.7168609092097119,0.7282718405561085,Abhd4
ENSMUSG00000046562,0.7225751872925754,0.0,0.0,0.7168197959122979,0.7282321219055873,Unc119b
ENSMUSG00000000711,0.7224935293439789,0.0,0.0,0.7167367224803757,0.728151866259934,Rab5b
ENSMUSG00000097261,0.7211820429788575,0.0,0.0,0.7154025248035436,0.7268628806484932,4930532G15Rik
ENSMUSG00000062944,0.7205337841517128,0.0,0.0,0.7147430554937089,0.7262257290106006,9130023H24Rik
ENSMUSG00000025066,0.7196666578090368,0.0,0.0,0.7138609498427726,0.7253734446182598,Sfr1
ENSMUSG00000031513,0.7179466008931125,0.0,0.0,0.7121112340547774,0.7236827768456856,Leprotl1
ENSMUSG00000054381,0.7178927577295677,0.0,0.0,0.7120564636458024,0.7236298525429212,Zfp747
ENSMUSG00000105552,0.7172096594315631,0.0,0.0,0.7113616077225527,0.7229584058046971,Gm19710
ENSMUSG00000034748,0.716871716496483,0.0,0.0,0.7110178522726075,0.7226262231234168,Sirt6
ENSMUSG00000027239,0.7162636248301733,0.0,0.0,0.7103993086630285,0.7220284897149809,Mdk
ENSMUSG00000103906,0.7158871839038652,0.0,0.0,0.7100164019705223,0.7216584567857532,Tigd5
ENSMUSG00000021417,0.7148822278412098,0.0,0.0,0.7089942017424087,0.7206705915165569,Eci2
ENSMUSG00000021494,0.7141774521722747,0.0,0.0,0.7082773475001649,0.7199777875981132,Ddx41
ENSMUSG00000025153,0.7140766459700467,0.0,0.0,0.7081748146576311,0.719878692806624,Fasn
ENSMUSG00000062380,0.7139619373228717,0.0,0.0,0.7080581415475045,0.7197659313075847,Tubb3
ENSMUSG00000074212,0.7134099702975589,0.0,0.0,0.7074967262217818,0.7192233294901368,Dnajb14
ENSMUSG00000020823,0.7132871350697414,0.0,0.0,0.7073717893761228,0.7191025774392664,Sec14l1
ENSMUSG00000050304,0.713206960703149,0.0,0.0,0.7072902434861106,0.7190237625696811,Slc25a2
