,Blood_3_corr,Blood_3_pval,Blood_3_qval,Blood_3_ci_low,Blood_3_ci_high,gene_annotation
ENSMUSG00000073400,0.4408136977661473,0.0,0.0,0.4311432965415584,0.45038283893117037,Trim10
ENSMUSG00000027333,0.42664587473981797,0.0,0.0,0.41682962904194776,0.43636262007573406,Smox
ENSMUSG00000034796,0.4182053806366446,0.0,0.0,0.40830456133042103,0.4280078178658292,Cpne7
ENSMUSG00000071713,0.37376292638337233,0.0,0.0,0.3634452635811665,0.38398891181459627,Csf2rb
ENSMUSG00000032596,0.3714439636971561,0.0,0.0,0.3611058630863659,0.38169077274770463,Uba7
ENSMUSG00000031974,0.364805535720181,0.0,0.0,0.354409647733278,0.3751112554130658,Abcb10
ENSMUSG00000023328,0.36379601359337754,0.0,0.0,0.35339143112832305,0.37411060100355564,Ache
ENSMUSG00000022742,0.359722581630831,0.0,0.0,0.34928316727276515,0.3700727063797245,Cpox
ENSMUSG00000078621,0.3588897266061846,0.0,0.0,0.34844323992632414,0.36924706917340944,Hbb-bh2
ENSMUSG00000004897,0.35749072133300885,0.0,0.0,0.3470323925334956,0.36786015137855266,Hdgf
ENSMUSG00000026532,0.35455231049309416,0.0,0.0,0.34406926312344005,0.36494697834076767,Spta1
ENSMUSG00000051839,0.35183014512202826,0.0,0.0,0.34132438459481745,0.3622480118210146,Gypa
ENSMUSG00000025648,0.34618743096003257,0.0,0.0,0.33563515946492284,0.3566528295738096,Pfkfb4
ENSMUSG00000028132,0.345715906629521,0.0,0.0,0.33515978336968544,0.35618524317964745,Tmem56
ENSMUSG00000031543,0.3380060094866974,0.0,0.0,0.32738766835013833,0.3485389914264708,Ank1
ENSMUSG00000025573,0.33766601109237165,0.0,0.0,0.3270449592876225,0.3482017674491027,6030468B19Rik
ENSMUSG00000054362,0.3367061924075867,0.0,0.0,0.3260775034359064,0.3472497662546892,Lexm
ENSMUSG00000027634,0.33493194020986744,0.0,0.0,0.32428919233065084,0.34548990769330035,Ndrg3
ENSMUSG00000050549,0.33397970715627784,0.0,0.0,0.32332944529436414,0.3445453690141221,5730508B09Rik
ENSMUSG00000073938,0.33246236437297055,0.0,0.0,0.3218001745724878,0.34304024268561195,Olfr632
ENSMUSG00000023216,0.3286724185752321,0.0,0.0,0.3179806787415015,0.33928057326926436,Epb42
ENSMUSG00000001542,0.32598389016886437,0.0,0.0,0.3152713984010545,0.3366133169584558,Ell2
ENSMUSG00000036533,0.325630129767298,0.0,0.0,0.3149149204299833,0.3362623428707501,Cdc42ep3
ENSMUSG00000034663,0.32536236142839364,0.0,0.0,0.31464509711837146,0.3359966815848864,Bmp2k
ENSMUSG00000021061,0.32400462679010505,0.0,0.0,0.31327696927971144,0.3346496048367102,Sptb
ENSMUSG00000020834,0.3238606991670372,0.0,0.0,0.31313194252842097,0.33450680446045356,Dhrs13
ENSMUSG00000024588,0.3231993648543526,0.0,0.0,0.3124655642534685,0.3338506434598149,Fech
