,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000026273,0.7747826720080998,0.0,0.0,0.7699657290079599,0.7795113129635644,Mterf4
ENSMUSG00000032959,0.7669635343021665,0.0,0.0,0.762001782038073,0.7718352395513308,Pebp1
ENSMUSG00000045136,0.7654367144117226,0.0,0.0,0.7604468607994694,0.7703361896615951,Tubb2b
ENSMUSG00000061374,0.7642203626697249,0.0,0.0,0.7592081628670677,0.7691419223248164,Fiz1
ENSMUSG00000024767,0.7557002848420468,0.0,0.0,0.7505325763665307,0.7607755735233447,Otub1
ENSMUSG00000029126,0.7524699926794339,0.0,0.0,0.7472437904774083,0.7576031249487163,Nsg1
ENSMUSG00000006050,0.747920175787915,0.0,0.0,0.7426120202381523,0.7531343684666225,Sra1
ENSMUSG00000025580,0.7415128748453282,0.0,0.0,0.7360901690540097,0.7468404051605659,Eif4a3
ENSMUSG00000029581,0.738503950357123,0.0,0.0,0.7330277981628376,0.7438843756244693,Fscn1
ENSMUSG00000019470,0.7383627325758936,0.0,0.0,0.7328840774366626,0.7437456351883482,Xab2
ENSMUSG00000025153,0.7380901326548926,0.0,0.0,0.7326066473356699,0.7434778161019069,Fasn
ENSMUSG00000045969,0.7344376841850974,0.0,0.0,0.7288896571126312,0.7398892572648483,Ing1
ENSMUSG00000090733,0.7342941369888293,0.0,0.0,0.7287435799993865,0.7397482146990363,Rps27
ENSMUSG00000057177,0.7316529608516734,0.0,0.0,0.7260559451661313,0.7371530366168558,Gsk3a
ENSMUSG00000026238,0.7304416880740123,0.0,0.0,0.7248234231064504,0.7359628047884931,Ptma
ENSMUSG00000030663,0.7301578477969658,0.0,0.0,0.7245346086383672,0.7356838901486809,1110004F10Rik
ENSMUSG00000019362,0.7297547840345031,0.0,0.0,0.7241244847325686,0.7352878177542643,D8Ertd738e
ENSMUSG00000000486,0.7288027566849589,0.0,0.0,0.7231557972970319,0.7343522888501802,Sept1
ENSMUSG00000049932,0.7261990648482634,0.0,0.0,0.7205066553814484,0.7317936107903225,H2afx
ENSMUSG00000059518,0.7255484343687157,0.0,0.0,0.7198446934341326,0.7311542040685234,Znhit1
ENSMUSG00000029624,0.7232393319655571,0.0,0.0,0.7174954591366894,0.72888485553277,Ptcd1
ENSMUSG00000105552,0.7200922704639658,0.0,0.0,0.7142939125072462,0.7257917745674477,Gm19710
ENSMUSG00000024146,0.7193755957251765,0.0,0.0,0.7135648638917633,0.725087360503178,Cript
ENSMUSG00000097261,0.7191129659698346,0.0,0.0,0.7132977028059728,0.7248292207529697,4930532G15Rik
ENSMUSG00000024962,0.7182692279400648,0.0,0.0,0.7124394186237779,0.723999896685829,Vegfb
ENSMUSG00000049401,0.7166968160373435,0.0,0.0,0.7108399446779572,0.7224543028073764,Ogfr
ENSMUSG00000029510,0.7144356890455413,0.0,0.0,0.7085400086713998,0.7202316392438858,Gpc2
ENSMUSG00000033152,0.7139451534060873,0.0,0.0,0.7080410702218566,0.719749432267546,Podxl2
ENSMUSG00000036850,0.7129833918553344,0.0,0.0,0.707062850932044,0.7188039839334991,Mrpl41
ENSMUSG00000018199,0.7126056896022439,0.0,0.0,0.7066786916049169,0.7184326823063761,Trove2
ENSMUSG00000036114,0.7125363355858453,0.0,0.0,0.7066081523147117,0.718364503217643,Rpp25l
ENSMUSG00000021417,0.710112662585411,0.0,0.0,0.7041431322676588,0.7159818193822175,Eci2
ENSMUSG00000063457,0.7096289278480447,0.0,0.0,0.7036511624026593,0.7155062491988817,Rps15
ENSMUSG00000103906,0.7078188692399183,0.0,0.0,0.7018103400995013,0.7137266927292731,Tigd5
ENSMUSG00000025066,0.7067414659871871,0.0,0.0,0.7007146634336979,0.7126674090872707,Sfr1
ENSMUSG00000040699,0.7063910379285677,0.0,0.0,0.7003582980295022,0.7123228686522268,Limd2
ENSMUSG00000045757,0.7050248110229854,0.0,0.0,0.6989689516924176,0.7109795687416177,Zfp764
ENSMUSG00000060591,0.7016723253025993,0.0,0.0,0.6955599285614132,0.7076831577570912,Ifitm2
ENSMUSG00000030499,0.7013941691505748,0.0,0.0,0.6952770938579604,0.7074096423753409,Kctd15
ENSMUSG00000020572,0.7013154172190923,0.0,0.0,0.695197017673027,0.7073322040175248,Nampt
ENSMUSG00000044927,0.7011955107844027,0.0,0.0,0.6950750952427855,0.7072142973318071,H1fx
ENSMUSG00000062380,0.7011213682331248,0.0,0.0,0.6949997063035754,0.7071413911312343,Tubb3
ENSMUSG00000021039,0.7007388325537937,0.0,0.0,0.6946107420717608,0.7067652323224505,Snw1
ENSMUSG00000048856,0.7006852057550627,0.0,0.0,0.6945562143553695,0.7067124992102299,Slc25a47
ENSMUSG00000032388,0.7004552216615797,0.0,0.0,0.6943223673815055,0.7064863470246829,Spg21
ENSMUSG00000046562,0.6986215109313868,0.0,0.0,0.692457903434556,0.7046831448271849,Unc119b
ENSMUSG00000037172,0.698406833215579,0.0,0.0,0.6922396307357284,0.7044720337115323,E330009J07Rik
ENSMUSG00000027239,0.6980003345893254,0.0,0.0,0.6918263279935053,0.7040722856082896,Mdk
