,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000026726,0.32520390749467776,0.0,0.0,0.3144854279547728,0.3358394737187781,Cubn
ENSMUSG00000029470,0.3122775371122255,0.0,0.0,0.30146196398314135,0.32301275903496723,P2rx4
ENSMUSG00000021278,0.3067872896746952,0.0,0.0,0.29593169852883255,0.3175636450433463,Amn
ENSMUSG00000021953,0.303095437016994,0.0,0.0,0.29221334539346216,0.3138990518322125,Tdh
ENSMUSG00000042684,0.2958066881453306,0.0,0.0,0.2848732430244424,0.30666317553897515,Npl
ENSMUSG00000024503,0.28738988457131787,0.0,0.0,0.27639873303787066,0.2983058659610732,Spink1
ENSMUSG00000032359,0.28640468140861686,0.0,0.0,0.27540688696292914,0.29732751724703044,Ctsh
ENSMUSG00000029843,0.28407993315558744,0.0,0.0,0.2730665564770903,0.2950188522634819,Slc13a4
ENSMUSG00000063354,0.28395300372828713,0.0,0.0,0.27293878002522715,0.2948927972927526,Slc39a4
ENSMUSG00000021190,0.2838325821303882,0.0,0.0,0.27281755518999407,0.2947732049649564,Lgmn
ENSMUSG00000013483,0.27635150453371504,0.0,0.0,0.26528726299891786,0.28734297290852195,Card14
ENSMUSG00000029188,0.27579200468786963,0.0,0.0,0.26472413670349126,0.2867872225606444,Slc34a2
ENSMUSG00000034738,0.27532049544266685,0.0,0.0,0.26424957718892744,0.2863188673964696,Nostrin
ENSMUSG00000035473,0.27498256235366547,0.0,0.0,0.26390946125413617,0.28598319162002894,Galm
ENSMUSG00000085940,0.2744482513928865,0.0,0.0,0.26337170458266207,0.2854524442200242,4930405D11Rik
ENSMUSG00000002847,0.2734277690322824,0.0,0.0,0.2623446603756162,0.28443874916032647,Pla1a
ENSMUSG00000059412,0.27274832078351713,0.0,0.0,0.2616608571025494,0.2837638063161005,Fxyd2
ENSMUSG00000074063,0.2716387273523243,0.0,0.0,0.2605441754985842,0.28266154710346375,Osgin1
ENSMUSG00000046312,0.2703338615598154,0.0,0.0,0.25923101209663757,0.2813652689984045,AI464131
ENSMUSG00000102106,0.2694792089151086,0.0,0.0,0.2583709469846297,0.2805162192413806,2310043O21Rik
ENSMUSG00000026576,0.268525307538981,0.0,0.0,0.25741102539958083,0.27956855100515804,Atp1b1
ENSMUSG00000038298,0.267672572098678,0.0,0.0,0.25655292679246233,0.2787213694341146,Pdzk1
ENSMUSG00000027690,0.2675247708405519,0.0,0.0,0.2564041977402906,0.27857452905761637,Slc2a2
ENSMUSG00000023045,0.2667765657945104,0.0,0.0,0.25565130406081993,0.27783118029546644,Soat2
ENSMUSG00000024738,0.26655965948416055,0.0,0.0,0.25543304102829484,0.2776156793573276,Pga5
ENSMUSG00000002985,0.26585821165872126,0.0,0.0,0.25472721349731114,0.2769187687123153,Apoe
ENSMUSG00000021895,0.26475238019018765,0.0,0.0,0.25361450151630044,0.27582006646935686,Arhgef3
ENSMUSG00000021477,0.26337845948210453,0.0,0.0,0.252232073297539,0.2744549630522911,Ctsl
ENSMUSG00000026175,0.26244271026747606,0.0,0.0,0.25129055583791654,0.2735251935547837,Vil1
ENSMUSG00000038178,0.26162862897984485,0.0,0.0,0.2504714734701093,0.2727162976432154,Slc43a2
ENSMUSG00000052396,0.25890028683024047,0.0,0.0,0.24772648697944075,0.27000521964799823,Mogat2
ENSMUSG00000034918,0.25881139314524115,0.0,0.0,0.2476370540132345,0.2699168854943394,Cdhr2
ENSMUSG00000011008,0.2584718979438034,0.0,0.0,0.24729550098726016,0.2695795254872064,Mcoln2
ENSMUSG00000022150,0.25825708593678703,0.0,0.0,0.2470793883481853,0.26936606309347844,Dab2
ENSMUSG00000039131,0.25773306130788887,0.0,0.0,0.24655219554842758,0.26884532620851687,Gipc2
ENSMUSG00000020609,0.2567666984836624,0.0,0.0,0.2455800075990463,0.2678850093334903,Apob
ENSMUSG00000019893,0.2564892830883206,0.0,0.0,0.24530092413249324,0.2676093254775252,Ros1
ENSMUSG00000029103,0.2562684573582361,0.0,0.0,0.24507877192483118,0.2673898767705179,Lrpap1
ENSMUSG00000021612,0.25618555628715295,0.0,0.0,0.2449953731788553,0.2673074923553353,Slc6a18
ENSMUSG00000021208,0.2558590684583215,0.0,0.0,0.24466692697610218,0.2669830376822693,Ifi27l2b
ENSMUSG00000024130,0.25496300343537254,0.0,0.0,0.24376550027916258,0.2660925398160066,Abca3
ENSMUSG00000026295,0.25460416312213774,0.0,0.0,0.24340451824248505,0.265735923612559,Spp2
ENSMUSG00000030674,0.2540194951702021,0.0,0.0,0.24281636737005827,0.2651548729354306,Qprt
ENSMUSG00000039395,0.25384723314839025,0.0,0.0,0.24264308073845697,0.2649836751368616,Mreg
ENSMUSG00000021876,0.25321822895284674,0.0,0.0,0.2420103413148649,0.26435855092481,Rnase4
ENSMUSG00000029695,0.2530443640627429,0.0,0.0,0.24183544564107712,0.26418575686091333,Aass
ENSMUSG00000040498,0.2524531791165624,0.0,0.0,0.2412407612161484,0.26359820764609243,Igsf23
ENSMUSG00000018339,0.25243727858666626,0.0,0.0,0.24122476668044102,0.26358240478874806,Gpx3
ENSMUSG00000004654,0.2523891598958007,0.0,0.0,0.24117636354329955,0.26353458164123034,Ghrhr
ENSMUSG00000022824,0.2520241002085999,0.0,0.0,0.24080914767864875,0.26317176235362916,Muc13
ENSMUSG00000021939,0.25199032823132966,0.0,0.0,0.24077517639385354,0.26313819747824985,Ctsb
ENSMUSG00000026958,0.25072809530247214,0.0,0.0,0.2395055140208075,0.2618836856611954,Dpp7
ENSMUSG00000032080,0.25069658019078284,0.0,0.0,0.23947381390378214,0.2618523628458822,Apoa4
ENSMUSG00000015653,0.2506245275303468,0.0,0.0,0.23940133835752794,0.26178074974229076,Steap2
ENSMUSG00000023990,0.25042536132256676,0.0,0.0,0.23920100386975418,0.2615827979077255,Tfeb
ENSMUSG00000021728,0.2500625130403529,0.0,0.0,0.23883602962871855,0.26122215960231443,Emb
ENSMUSG00000026956,0.2499191443880101,0.0,0.0,0.23869182184150403,0.26107966329756266,Uap1l1
ENSMUSG00000038917,0.2494462489204929,0.0,0.0,0.238216162033268,0.26060964178378293,3930402G23Rik
ENSMUSG00000029082,0.24939931695726208,0.0,0.0,0.23816895602010416,0.26056299475410977,Bst1
ENSMUSG00000107985,0.24925259263709243,0.0,0.0,0.23802137527448744,0.26041716089113676,Gm44160
ENSMUSG00000025243,0.24917926617443373,0.0,0.0,0.237947621001824,0.2603442792495176,Slc6a20b
ENSMUSG00000018919,0.24905708064586243,0.0,0.0,0.23782472289159198,0.2602228346535664,Tm4sf5
ENSMUSG00000034854,0.24891885166025732,0.0,0.0,0.23768568819303626,0.2600854434621346,Mfsd12
ENSMUSG00000038528,0.24865763140509503,0.0,0.0,0.23742294658681262,0.25982580520620446,Mfsd4b5
ENSMUSG00000000278,0.2486196083590921,0.0,0.0,0.2373847022310126,0.2597880123003263,Scpep1
ENSMUSG00000031788,0.24824615666010721,0.0,0.0,0.2370090787401079,0.2594168191549225,Kifc3
ENSMUSG00000039878,0.24776849631827466,0.0,0.0,0.23652864548223132,0.2589420427872265,Slc39a5
ENSMUSG00000015766,0.24726786246999857,0.0,0.0,0.23602511125097153,0.25844442582524313,Eps8
ENSMUSG00000030492,0.2471208805964438,0.0,0.0,0.23587727899591296,0.25829832855771945,Slc7a9
ENSMUSG00000038167,0.24697223986734576,0.0,0.0,0.2357277788170396,0.25815058189847306,Plekhg6
ENSMUSG00000046761,0.24675954326819938,0.0,0.0,0.23551385331881486,0.2579391637540363,Fam83h
ENSMUSG00000035041,0.24671228241208512,0.0,0.0,0.23546631955119232,0.25789218682320847,Creb3l3
ENSMUSG00000028158,0.24642634427138452,0.0,0.0,0.23517873138582304,0.2576079653629513,Mttp
ENSMUSG00000061322,0.24641829233965196,0.0,0.0,0.23517063301840405,0.25759996174441074,Dnaic1
ENSMUSG00000036813,0.2448144333626383,0.0,0.0,0.23355755568370162,0.256005695647834,Entpd8
ENSMUSG00000043501,0.24477165398035067,0.0,0.0,0.23351453127052266,0.2559631713007815,Lgals2
ENSMUSG00000029195,0.2439119793321732,0.0,0.0,0.23264994193824529,0.2551086125415865,Klb
ENSMUSG00000020774,0.2438666511616992,0.0,0.0,0.2326043551246454,0.2550635536317596,Aspa
ENSMUSG00000031844,0.2435101851654654,0.0,0.0,0.23224585685366267,0.25470920343755266,Hsd17b2
ENSMUSG00000054932,0.24341279655689324,0.0,0.0,0.23214791354795317,0.25461239235547006,Afp
ENSMUSG00000032081,0.24297344454145545,0.0,0.0,0.2317060619512932,0.2541756429610317,Apoc3
ENSMUSG00000028435,0.24251815739305116,0.0,0.0,0.231248189467858,0.2537230480092869,Aqp3
ENSMUSG00000016256,0.2424968759377927,0.0,0.0,0.23122678728859858,0.2537018922751598,Ctsz
ENSMUSG00000003420,0.2420394331953985,0.0,0.0,0.23076675223301849,0.2532471493041558,Fcgrt
ENSMUSG00000072941,0.24201806321041064,0.0,0.0,0.23074526126823533,0.2532259053211211,Sod3
ENSMUSG00000026307,0.24190971603348238,0.0,0.0,0.23063630088532835,0.25311819681573866,Scly
ENSMUSG00000079262,0.24181750151217704,0.0,0.0,0.23054356468577314,0.2530265256503099,Slco1a6
ENSMUSG00000055435,0.24164815507570597,0.0,0.0,0.23037326075187803,0.25285817653008336,Maf
ENSMUSG00000026380,0.24152750231448314,0.0,0.0,0.23025192623224755,0.25273823390386324,Tfcp2l1
ENSMUSG00000034435,0.24066212011088167,0.0,0.0,0.22938166439000593,0.25187793504616984,Tmem30b
ENSMUSG00000049404,0.2404268729969628,0.0,0.0,0.22914509390377957,0.25164406673405965,Rarres1
ENSMUSG00000040966,0.24032649538675965,0.0,0.0,0.22904415202939982,0.25154427704617993,Slc22a2
ENSMUSG00000026205,0.2394768739377554,0.0,0.0,0.22818976422472081,0.25069962236710175,Slc23a3
ENSMUSG00000023057,0.2389208371294834,0.0,0.0,0.22763061747460356,0.2501468268224065,Fabp2
ENSMUSG00000029994,0.23816797403186796,0.0,0.0,0.22687355544085952,0.24939834066930328,Anxa4
ENSMUSG00000027227,0.2380825717736662,0.0,0.0,0.22678767773143044,0.2493134340695968,Sord
ENSMUSG00000032083,0.23793984757049552,0.0,0.0,0.22664415934647114,0.2491715378252178,Apoa1
ENSMUSG00000033187,0.23777919669779274,0.0,0.0,0.22648261512671927,0.24901181832899677,BC016579
ENSMUSG00000025232,0.23766442352539466,0.0,0.0,0.22636720410449923,0.2488977101820676,Hexa
