,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000073209,0.7802241097982359,0.0,0.0,0.7755088271385523,0.784852352535378,Klf14
ENSMUSG00000029661,0.7748842924618555,0.0,0.0,0.7700692413370308,0.7796110647520018,Col1a2
ENSMUSG00000022676,0.7678815533440989,0.0,0.0,0.7629367249005865,0.7727365354715103,Snai2
ENSMUSG00000026837,0.7475532799935237,0.0,0.0,0.7422385378751745,0.7527739883908364,Col5a1
ENSMUSG00000054675,0.7449677073315216,0.0,0.0,0.73960664223651,0.7502342442912842,Tmem119
ENSMUSG00000058914,0.7447707301308489,0.0,0.0,0.7394061427242841,0.7500407520857637,C1qtnf3
ENSMUSG00000026042,0.7359924196632458,0.0,0.0,0.730471826059955,0.741416834807742,Col5a2
ENSMUSG00000037335,0.7343447230274273,0.0,0.0,0.7287950575232028,0.7397979181604329,Hand1
ENSMUSG00000070436,0.7316275099548274,0.0,0.0,0.7260300474159143,0.7371280281770786,Serpinh1
ENSMUSG00000026043,0.7292598291596809,0.0,0.0,0.7236208655790627,0.7348014429807876,Col3a1
ENSMUSG00000001473,0.7282775004563808,0.0,0.0,0.7226213588104172,0.7338361261825405,Tubb6
ENSMUSG00000045954,0.7279692691538072,0.0,0.0,0.7223077423157891,0.7335332281827786,Sdpr
ENSMUSG00000029718,0.7231445862101499,0.0,0.0,0.7173990695032306,0.7287917382854816,Pcolce
ENSMUSG00000016262,0.7177796840009426,0.0,0.0,0.7119414428798517,0.7235187082549663,Sertad4
ENSMUSG00000036655,0.7175816581300549,0.0,0.0,0.7117400079197567,0.7233240606941109,Colec11
ENSMUSG00000005124,0.7173802375985284,0.0,0.0,0.7115351208442711,0.7231260754491223,Wisp1
ENSMUSG00000018217,0.7161426055289974,0.0,0.0,0.7102762103502798,0.7219095308346629,Pmp22
ENSMUSG00000056481,0.7155799616978806,0.0,0.0,0.7097039054749757,0.7213564618512335,Cd248
ENSMUSG00000111195,0.714539161411534,0.0,0.0,0.708645254258063,0.7203333540671414,RP23-55G19.2
ENSMUSG00000021760,0.7143983394311929,0.0,0.0,0.7085020190558152,0.7201949239748463,Gpx8
ENSMUSG00000022639,0.7115759032531969,0.0,0.0,0.7056313181176758,0.7174203300759213,Dubr
ENSMUSG00000023885,0.7099851395404778,0.0,0.0,0.7040134377068628,0.715856449220819,Thbs2
ENSMUSG00000001506,0.7091587505770723,0.0,0.0,0.7031729862997872,0.7150440024364023,Col1a1
ENSMUSG00000027750,0.7064147120408423,0.0,0.0,0.700382373160441,0.712346145100266,Postn
ENSMUSG00000069833,0.704685185160673,0.0,0.0,0.6986235857404538,0.7106456354813551,Ahnak
ENSMUSG00000041559,0.6980643058478245,0.0,0.0,0.6918913697570369,0.7041351947826694,Fmod
ENSMUSG00000032816,0.6920282817254417,0.0,0.0,0.685754779102878,0.6981989640966371,Igdcc4
ENSMUSG00000063160,0.6919552516147092,0.0,0.0,0.6856805376940688,0.6981271361951235,Numbl
ENSMUSG00000027327,0.6897128019887463,0.0,0.0,0.683400957710115,0.695921540916401,1700037H04Rik
ENSMUSG00000033585,0.689404105603738,0.0,0.0,0.6830871595850622,0.6956179087407587,Ndn
ENSMUSG00000006931,0.6874740669031673,0.0,0.0,0.6811252765426209,0.6937194822779233,P3h4
ENSMUSG00000004665,0.6853156348118123,0.0,0.0,0.678931339756765,0.691596300499469,Cnn2
ENSMUSG00000017466,0.6839337931057653,0.0,0.0,0.6775268275826422,0.6902369692736916,Timp2
