,Blood_4_corr,Blood_4_pval,Blood_4_qval,Blood_4_ci_low,Blood_4_ci_high,gene_annotation
ENSMUSG00000052217,0.7975413310318162,0.0,0.0,0.7931544190958002,0.8018454840971032,Hbb-bh1
ENSMUSG00000055609,0.7943097130297245,0.0,0.0,0.7898609637712253,0.7986748737285689,Hba-x
ENSMUSG00000052187,0.7796834470623,0.0,0.0,0.7749580308738758,0.7843216961594187,Hbb-y
ENSMUSG00000069919,0.7472979103680478,0.0,0.0,0.7419785857644375,0.7525231520386965,Hba-a1
ENSMUSG00000063856,0.7195082384099326,0.0,0.0,0.7136997957936154,0.7252177348746901,Gpx1
ENSMUSG00000073063,0.7012557610568343,0.0,0.0,0.6951363584633974,0.7072735428174415,Hbq1b
ENSMUSG00000028684,0.6982920836131714,0.0,0.0,0.6921229600045802,0.7043591900892318,Urod
ENSMUSG00000005161,0.6962335081152812,0.0,0.0,0.6900299747656162,0.7023347552400823,Prdx2
ENSMUSG00000027078,0.6955223108426589,0.0,0.0,0.6893069137180272,0.7016353299502396,Ube2l6
ENSMUSG00000051839,0.6943463029871201,0.0,0.0,0.6881113155560399,0.7004787619373046,Gypa
ENSMUSG00000058794,0.6933064892422952,0.0,0.0,0.6870542084697795,0.6994561098639198,Nfe2
ENSMUSG00000070803,0.6793029142953241,0.0,0.0,0.6728203153291598,0.6856812040130824,Cited4
ENSMUSG00000000253,0.6792079230891156,0.0,0.0,0.672723778178913,0.6855877483479988,Gmpr
ENSMUSG00000040466,0.678806337070497,0.0,0.0,0.6723156589473156,0.6851926516787132,Blvrb
ENSMUSG00000032126,0.6736771373706729,0.0,0.0,0.6671033617326831,0.6801460056852201,Hmbs
ENSMUSG00000071714,0.6734953743133295,0.0,0.0,0.6669186657624352,0.6799671568275202,Csf2rb2
ENSMUSG00000028332,0.6693872484745843,0.0,0.0,0.6627444670955415,0.6759246910013424,Hemgn
ENSMUSG00000028644,0.6589310795341048,0.0,0.0,0.6521219890362321,0.6656338673852261,Ermap
ENSMUSG00000018659,0.657088896100318,0.0,0.0,0.6502507819898673,0.6638205505864845,Pnpo
ENSMUSG00000090523,0.6561580118608611,0.0,0.0,0.6493052632164851,0.6629042230093027,Gypc
ENSMUSG00000027562,0.6546883666289997,0.0,0.0,0.6478125566508056,0.6614575181499481,Car2
ENSMUSG00000006574,0.6422449656055471,0.0,0.0,0.6351760123530196,0.6492063326371013,Slc4a1
ENSMUSG00000054191,0.6370134641352626,0.0,0.0,0.629864438596001,0.6440545643865179,Klf1
ENSMUSG00000069917,0.6351014213654875,0.0,0.0,0.6279232973332184,0.6421715036406292,Hba-a2
ENSMUSG00000042770,0.6325845398155766,0.0,0.0,0.625368248674088,0.6396926419416243,Hebp1
ENSMUSG00000025573,0.6298399739991646,0.0,0.0,0.6225822393957614,0.6369893668199783,6030468B19Rik
ENSMUSG00000028124,0.6286209766713872,0.0,0.0,0.6213448939789961,0.6357886523348052,Gclm
ENSMUSG00000038871,0.6257657069815931,0.0,0.0,0.6184467894223669,0.6329760709342401,Bpgm
ENSMUSG00000023216,0.6213431812561336,0.0,0.0,0.6139583097640708,0.6286192893210132,Epb42
ENSMUSG00000039956,0.6207170086935727,0.0,0.0,0.6133228375699998,0.6280023883656564,Mrap
ENSMUSG00000008843,0.6191533141072678,0.0,0.0,0.6117359615000314,0.6264618070971284,Cldn13
ENSMUSG00000096982,0.6181504154575803,0.0,0.0,0.6107182264832736,0.6254737024589169,Redrum
ENSMUSG00000031974,0.6175030166616939,0.0,0.0,0.6100612634434959,0.6248358411302255,Abcb10
ENSMUSG00000023926,0.6132307477066702,0.0,0.0,0.6057261353306279,0.6206262657098207,Rhag
ENSMUSG00000033386,0.6068782525970821,0.0,0.0,0.5992809977507177,0.6143662021653509,Frrs1
ENSMUSG00000027495,0.6063645456132007,0.0,0.0,0.5987598420908306,0.6138599286390328,Fam210b
ENSMUSG00000026532,0.6058826283673695,0.0,0.0,0.5982709429696544,0.6133849792407249,Spta1
ENSMUSG00000028393,0.6001188633609308,0.0,0.0,0.5924241134124505,0.6077041296129732,Alad
ENSMUSG00000000244,0.5977516861343867,0.0,0.0,0.5900230563830215,0.605370780822841,Tspan32
ENSMUSG00000110206,0.5947605617743178,0.0,0.0,0.5869893175741957,0.6024222141973823,Flt3l
ENSMUSG00000030000,0.5880635226098868,0.0,0.0,0.5801976571715806,0.5958197022282165,Add2
ENSMUSG00000047181,0.5871002222617288,0.0,0.0,0.579220836509511,0.5948699123906159,Samd14
ENSMUSG00000032456,0.5864383119852479,0.0,0.0,0.5785496491679096,0.5942172729833972,Nmnat3
ENSMUSG00000021361,0.5843616920063921,0.0,0.0,0.5764439934626756,0.5921696721428302,Tmem14c
ENSMUSG00000059895,0.5824163517826297,0.0,0.0,0.5744715484785377,0.5902514250509866,Ptp4a3
ENSMUSG00000034248,0.5820256131922334,0.0,0.0,0.5740753767876272,0.5898661176805512,Slc25a37
ENSMUSG00000024588,0.5809862762615532,0.0,0.0,0.5730216063135837,0.588841210030756,Fech
ENSMUSG00000029866,0.5779431522116113,0.0,0.0,0.5699363730405218,0.5858401888901894,Kel
ENSMUSG00000020029,0.5756880262648284,0.0,0.0,0.5676501874243541,0.5836161238430435,Nudt4
ENSMUSG00000029752,0.5735805015187672,0.0,0.0,0.5655137479648237,0.5815375194879266,Asns
ENSMUSG00000025648,0.5709360884358293,0.0,0.0,0.5628332073303095,0.5789292472433761,Pfkfb4
ENSMUSG00000026815,0.5704145094733176,0.0,0.0,0.562304522761219,0.5784147773155086,Gfi1b
ENSMUSG00000032028,0.5677579218526051,0.0,0.0,0.5596118466300983,0.5757942997797326,Nxpe2
ENSMUSG00000021102,0.563599787337636,0.0,0.0,0.5553975710316885,0.5716923538656369,Glrx5
ENSMUSG00000006235,0.5612549999942955,0.0,0.0,0.553021311281794,0.5693790730824492,Epor
ENSMUSG00000026688,0.5568854753689585,0.0,0.0,0.5485934950116346,0.565067917814452,Mgst3
ENSMUSG00000078350,0.5535934162618918,0.0,0.0,0.5452578253809492,0.5618195398022668,Smim1
ENSMUSG00000038683,0.5514985243940012,0.0,0.0,0.5431353195168258,0.5597523121857597,Pak1ip1
ENSMUSG00000027961,0.5456110147759993,0.0,0.0,0.5371707754288818,0.5539420003931618,Lrrc39
ENSMUSG00000031543,0.5394531262148461,0.0,0.0,0.5309332176657419,0.547863986500642,Ank1
ENSMUSG00000034041,0.5385413401218642,0.0,0.0,0.530009713578326,0.5469639518089826,Lyl1
ENSMUSG00000030217,0.5348123744659711,0.0,0.0,0.5262330350195085,0.5432828436386733,Art4
ENSMUSG00000022742,0.5328465054028118,0.0,0.0,0.5242421484906353,0.5413420733903087,Cpox
ENSMUSG00000021061,0.5290041192950734,0.0,0.0,0.5203511361049661,0.5375484827204988,Sptb
ENSMUSG00000024014,0.5289806417867433,0.0,0.0,0.5203273625877137,0.5375253022958467,Pim1
ENSMUSG00000071713,0.5289327120577502,0.0,0.0,0.5202788285931578,0.5374779790280964,Csf2rb
ENSMUSG00000001763,0.5280947617199391,0.0,0.0,0.5194303229766928,0.5366506226914435,Tspan33
ENSMUSG00000054342,0.5275616494194819,0.0,0.0,0.5188905041963935,0.5361242418366824,Kcnn4
ENSMUSG00000001014,0.525016855654884,0.0,0.0,0.5163137925662308,0.533611488641137,Icam4
