,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000061086,0.7283154348242248,0.0,0.0,0.7226599561007365,0.7338734040221553,Myl4
ENSMUSG00000026414,0.7154613243659242,0.0,0.0,0.709583232035274,0.7212398425013804,Tnnt2
ENSMUSG00000039103,0.7145109762284465,0.0,0.0,0.7086165860354879,0.7203056476516799,Nexn
ENSMUSG00000068614,0.6997054974449098,0.0,0.0,0.6935600595688575,0.7057491058770283,Actc1
ENSMUSG00000026208,0.6895932399083506,0.0,0.0,0.6832794193834477,0.695803940532824,Des
ENSMUSG00000039376,0.6870782850513084,0.0,0.0,0.6807229758204294,0.6933301722418673,Synpo2l
ENSMUSG00000030785,0.6839297776710773,0.0,0.0,0.6775227463388984,0.6902330191864152,Cox6a2
ENSMUSG00000018830,0.6728972736274724,0.0,0.0,0.6663109198806126,0.6793786400293379,Myh11
ENSMUSG00000097487,0.6726777624477427,0.0,0.0,0.6660878709763134,0.6791626441765138,Ptges3l
ENSMUSG00000026418,0.6686006538642091,0.0,0.0,0.6619452684161213,0.6751506236252034,Tnni1
ENSMUSG00000015579,0.6679835209665442,0.0,0.0,0.6613182574276105,0.6745433090321257,Nkx2-5
ENSMUSG00000006221,0.6661665341715873,0.0,0.0,0.6594722412527813,0.6727551781175602,Hspb7
ENSMUSG00000001349,0.6572310434564781,0.0,0.0,0.6503951659246954,0.6639604733407843,Cnn1
ENSMUSG00000038086,0.6566249874959674,0.0,0.0,0.6497795775791814,0.6633638988592537,Hspb2
ENSMUSG00000002930,0.6507297112725559,0.0,0.0,0.6437920456210601,0.6575604046623443,Ppp1r17
ENSMUSG00000035458,0.650342269186282,0.0,0.0,0.6433985701659265,0.6571789661711906,Tnni3
ENSMUSG00000035783,0.6494193571854646,0.0,0.0,0.6424613010703798,0.656270341014688,Acta2
ENSMUSG00000040666,0.6454518476789544,0.0,0.0,0.6384323088927698,0.6523640229407935,Sh3bgr
ENSMUSG00000044086,0.6349234585487626,0.0,0.0,0.6277426307257019,0.6419962339766057,Lmod3
ENSMUSG00000033910,0.6345361161336117,0.0,0.0,0.6273494060878475,0.6416147507488804,Gucy1a3
ENSMUSG00000020908,0.6298330069573619,0.0,0.0,0.6225751673844109,0.6369825043702689,Myh3
ENSMUSG00000030470,0.6267419420085645,0.0,0.0,0.6194376475672879,0.6339377319752251,Csrp3
ENSMUSG00000020469,0.6145220818176595,0.0,0.0,0.6070364222417947,0.6218986950566227,Myl7
ENSMUSG00000062694,0.6123666941989466,0.0,0.0,0.604849422911969,0.6197748399484286,Cav3
ENSMUSG00000067818,0.605124930962057,0.0,0.0,0.5975022797266718,0.6126382261044357,Myl9
ENSMUSG00000031972,0.6048778274979338,0.0,0.0,0.5972516030667054,0.6123946889306469,Acta1
ENSMUSG00000021798,0.6022960108493736,0.0,0.0,0.5946325416214986,0.6098500487016972,Ldb3
ENSMUSG00000109697,0.6004978489449965,0.0,0.0,0.5928085358552966,0.6080776870956797,Gm45357
