,Endothelial_2_corr,Endothelial_2_pval,Endothelial_2_qval,Endothelial_2_ci_low,Endothelial_2_ci_high,gene_annotation
ENSMUSG00000022205,0.7321613110291043,0.0,0.0,0.7265732240126664,0.7376525461057514,Sub1
ENSMUSG00000034892,0.7297358335673194,0.0,0.0,0.7241052024233238,0.7352691959005923,Rps29
ENSMUSG00000026238,0.7251734264889543,0.0,0.0,0.7194631590798072,0.7307856608205844,Ptma
ENSMUSG00000062006,0.7190367298976791,0.0,0.0,0.713220151697306,0.7247542877373202,Rpl34
ENSMUSG00000039001,0.7077768581944442,0.0,0.0,0.7017676159885426,0.7136853887257659,Rps21
ENSMUSG00000090862,0.7069603989415919,0.0,0.0,0.7009373073223897,0.7128826622469907,Rps13
ENSMUSG00000025362,0.6740391446934775,0.0,0.0,0.6674712127817914,0.6805022066653214,Rps26
ENSMUSG00000049760,0.6521779699422542,0.0,0.0,0.6452628895153486,0.658986190882304,2410015M20Rik
ENSMUSG00000049401,0.6393991957671235,0.0,0.0,0.6322866028116771,0.646404014345899,Ogfr
ENSMUSG00000024309,0.6375841728968801,0.0,0.0,0.6304438500165408,0.6446166060245618,Pfdn6
ENSMUSG00000047675,0.6367788240254119,0.0,0.0,0.6296262227997259,0.6438234854561381,Rps8
ENSMUSG00000070493,0.6331034883627182,0.0,0.0,0.6258950541247218,0.6402037633861306,Chchd2
ENSMUSG00000026095,0.6325833029718657,0.0,0.0,0.6253669931123672,0.6396914237452455,Asnsd1
ENSMUSG00000036114,0.6200094402491676,0.0,0.0,0.6126047721594241,0.6273052857212751,Rpp25l
ENSMUSG00000027285,0.6194339426363101,0.0,0.0,0.6120207458999714,0.6267382917977897,Haus2
ENSMUSG00000027523,0.6069159519158953,0.0,0.0,0.5993192439577627,0.6144033557235534,Gnas
ENSMUSG00000045948,0.6009043173468986,0.0,0.0,0.593220839273999,0.6084783300372485,Mrps12
ENSMUSG00000030663,0.5982383255676164,0.0,0.0,0.5905166495940273,0.6058504765694671,1110004F10Rik
ENSMUSG00000060743,0.5979794271032396,0.0,0.0,0.5902540509108801,0.6055952729250684,H3f3a
ENSMUSG00000061983,0.5891198993798572,0.0,0.0,0.5812688866351067,0.5968612381284207,Rps12
ENSMUSG00000021039,0.5874937019374269,0.0,0.0,0.5796198360994494,0.5952578760437743,Snw1
ENSMUSG00000038544,0.58592884670311,0.0,0.0,0.578033050703665,0.5937149364138498,Inip
ENSMUSG00000019362,0.5820360943796524,0.0,0.0,0.5740860036641645,0.5898764532273114,D8Ertd738e
ENSMUSG00000059291,0.5802920749622911,0.0,0.0,0.5723177791291328,0.5881566323678027,Rpl11
ENSMUSG00000029726,0.5782593110862653,0.0,0.0,0.5702568962542518,0.5861519836547026,Mepce
ENSMUSG00000071415,0.5774673441285317,0.0,0.0,0.569454001372191,0.5853709442340812,Rpl23
ENSMUSG00000067795,0.5756573536451228,0.0,0.0,0.5676190932076115,0.5835858728716757,4930444P10Rik
ENSMUSG00000005732,0.5749315331585881,0.0,0.0,0.5668833029658176,0.5828700236245966,Ranbp1
ENSMUSG00000029581,0.573623811120517,0.0,0.0,0.5655576506739922,0.581580235821671,Fscn1
ENSMUSG00000005057,0.5724274767063375,0.0,0.0,0.5643449497554449,0.5804002730240222,Sh2b2
ENSMUSG00000029346,0.5692826023100936,0.0,0.0,0.5611572181361905,0.5772982759663313,Srrd
ENSMUSG00000062997,0.5689533754949903,0.0,0.0,0.5608235186727041,0.5769735244632885,Rpl35
ENSMUSG00000037085,0.5671471696149871,0.0,0.0,0.5589928219207856,0.5751918259440502,Trmt12
ENSMUSG00000045757,0.5666437706608961,0.0,0.0,0.5584826113991925,0.5746952437174199,Zfp764
ENSMUSG00000046562,0.563322344900558,0.0,0.0,0.5551163976957687,0.5714186460924925,Unc119b
ENSMUSG00000074129,0.5622656135791979,0.0,0.0,0.5540454731865044,0.570376122978628,Rpl13a
ENSMUSG00000035242,0.5613403939747903,0.0,0.0,0.5531078490944522,0.5694633218941979,Oaz1
ENSMUSG00000090733,0.5591764022552678,0.0,0.0,0.5509149260079985,0.5673282975690725,Rps27
ENSMUSG00000054717,0.5546807543151633,0.0,0.0,0.5463595384101282,0.5628924784324604,Hmgb2
ENSMUSG00000034932,0.5544593012760911,0.0,0.0,0.5461351553519951,0.5626739603005877,Mrpl54
ENSMUSG00000025134,0.5511653360397455,0.0,0.0,0.5427977490631499,0.5594235143059273,Alyref
ENSMUSG00000026049,0.5492401832354293,0.0,0.0,0.5408473295523343,0.557523678646248,Tex30
ENSMUSG00000024962,0.5481027943870993,0.0,0.0,0.5396950554337769,0.5564012065043741,Vegfb
ENSMUSG00000061374,0.5475466195544366,0.0,0.0,0.5391316132810172,0.555852314805624,Fiz1
ENSMUSG00000071984,0.5430880395956246,0.0,0.0,0.534615046999091,0.5514518583877935,Fndc1
ENSMUSG00000036850,0.5409265977317946,0.0,0.0,0.5324256685639047,0.5493184262721337,Mrpl41
ENSMUSG00000026047,0.5383086072382988,0.0,0.0,0.5297739929253382,0.5467342153446751,Kdelc1
ENSMUSG00000062352,0.5374655178474725,0.0,0.0,0.5289200911925911,0.5459019700477915,Itgb1bp1
ENSMUSG00000020163,0.5369560126154919,0.0,0.0,0.5284040601124237,0.5453990101696061,Uqcr11
ENSMUSG00000015749,0.5349831905782391,0.0,0.0,0.5264060293631645,0.5434514746178261,Anp32e
ENSMUSG00000010376,0.5323995635423747,0.0,0.0,0.5237895320126372,0.5409008251341515,Nedd8
ENSMUSG00000053565,0.5323465400952476,0.0,0.0,0.523735835673499,0.5408484768436207,Eif3k
ENSMUSG00000022051,0.528274511890492,0.0,0.0,0.5196123359387925,0.5368281017105445,Bnip3l
ENSMUSG00000025200,0.5275454793310391,0.0,0.0,0.5188741307985104,0.5361082758189406,Cwf19l1
ENSMUSG00000003429,0.5269360417424488,0.0,0.0,0.5182570352797311,0.5355065250238051,Rps11
ENSMUSG00000005362,0.5210734268363075,0.0,0.0,0.5123212148691337,0.5297174103223535,Crbn
ENSMUSG00000029510,0.5204983107640172,0.0,0.0,0.5117389624548084,0.5291494611575462,Gpc2
ENSMUSG00000024767,0.5183170786684379,0.0,0.0,0.5095307376134353,0.5269953404065782,Otub1
ENSMUSG00000047714,0.5179760539928177,0.0,0.0,0.5091855032192943,0.5266585443735813,Ppp1r2
ENSMUSG00000060591,0.5168910766601812,0.0,0.0,0.5080871513935433,0.5255870024266142,Ifitm2
ENSMUSG00000029014,0.5147354470383994,0.0,0.0,0.5059050343246585,0.5234579843192518,Dnajc2
ENSMUSG00000035671,0.514035226559709,0.0,0.0,0.5051962341571825,0.522766384711774,Zswim4
ENSMUSG00000028234,0.5123670875363531,0.0,0.0,0.5035077037370735,0.5211187369301721,Rps20
ENSMUSG00000040699,0.5113451575755863,0.0,0.0,0.5024733150923477,0.5201093280253141,Limd2
ENSMUSG00000048668,0.5113226382896002,0.0,0.0,0.5024505215523373,0.5200870843780763,Rhno1
ENSMUSG00000032959,0.5108247229381936,0.0,0.0,0.5019465454255285,0.5195952605324685,Pebp1
ENSMUSG00000028961,0.5097597017788692,0.0,0.0,0.5008685807475716,0.5185432493498682,Pgd
ENSMUSG00000090553,0.5092795188979776,0.0,0.0,0.5003825710828791,0.5180689235401633,Snrpe
ENSMUSG00000093674,0.5074166209846225,0.0,0.0,0.49849712088595716,0.5162286973116664,Rpl41
ENSMUSG00000020922,0.5067983660253006,0.0,0.0,0.4978713999680285,0.5156179486039062,Lsm12
ENSMUSG00000037172,0.5054487883158225,0.0,0.0,0.4965055572369946,0.514284725021374,E330009J07Rik
ENSMUSG00000020659,0.5032742866452727,0.0,0.0,0.49430494177240675,0.5121364840266087,Cbll1
ENSMUSG00000030268,0.5029344924834755,0.0,0.0,0.49396107737606626,0.511800783419737,Bcat1
ENSMUSG00000034566,0.502518638688689,0.0,0.0,0.4935402460838811,0.511389935797939,Atp5h
ENSMUSG00000030695,0.5024950587507921,0.0,0.0,0.4935163840355325,0.5113666396009254,Aldoa
ENSMUSG00000035295,0.5007843448640579,0.0,0.0,0.49178523922511325,0.5096764761986398,Wdr38
ENSMUSG00000030521,0.4998766806343416,0.0,0.0,0.49086676371863036,0.50877968770029,Mphosph10
ENSMUSG00000024146,0.49961958229651643,0.0,0.0,0.49060660669724326,0.5085256664310531,Cript
ENSMUSG00000020572,0.49829774390440074,0.0,0.0,0.4892690678391891,0.5072196239203821,Nampt
ENSMUSG00000065990,0.49804537582349595,0.0,0.0,0.4890137070217104,0.5069702669624133,Aurkaip1
ENSMUSG00000025153,0.49534881398311986,0.0,0.0,0.48628526432605035,0.5043057858180605,Fasn
ENSMUSG00000040272,0.49509223395007224,0.0,0.0,0.4860256600121216,0.504052249402451,Accs
ENSMUSG00000020738,0.4940577396365237,0.0,0.0,0.48497898845715004,0.503030010857849,Sumo2
ENSMUSG00000040822,0.49220628760979473,0.0,0.0,0.483105807542686,0.5012004305175006,1700123O20Rik
ENSMUSG00000036751,0.4916487858402309,0.0,0.0,0.4825417791768158,0.500649498909068,Cox6b1
ENSMUSG00000026273,0.4909233591174828,0.0,0.0,0.4818078712916649,0.49993261042700277,Mterf4
ENSMUSG00000063445,0.49028987199398477,0.0,0.0,0.4811669883564061,0.49930656932100365,Nmral1
ENSMUSG00000079658,0.4894065595997354,0.0,0.0,0.48027337977827056,0.49843362367751665,Tceb1
