,Extra-Embryonic ectoderm_1_corr,Extra-Embryonic ectoderm_1_pval,Extra-Embryonic ectoderm_1_qval,Extra-Embryonic ectoderm_1_ci_low,Extra-Embryonic ectoderm_1_ci_high,gene_annotation
ENSMUSG00000028234,0.6850808405170057,0.0,0.0,0.6786926901360644,0.6913653341886291,Rps20
ENSMUSG00000003429,0.6273481704960523,0.0,0.0,0.6200529685226794,0.6345348990192671,Rps11
ENSMUSG00000003970,0.6213164080084399,0.0,0.0,0.6139311386963159,0.62859291268662,Rpl8
ENSMUSG00000047675,0.6009470262129595,0.0,0.0,0.5932641614769616,0.6085204265803927,Rps8
ENSMUSG00000090862,0.576793863678507,0.0,0.0,0.5687712399583578,0.5847067449060956,Rps13
ENSMUSG00000025794,0.5642162652636717,0.0,0.0,0.5560223457395073,0.5723005269095526,Rpl14
ENSMUSG00000012848,0.5602188808242089,0.0,0.0,0.5519713276951234,0.5683568351037569,Rps5
ENSMUSG00000067274,0.5577220158809142,0.0,0.0,0.5494411593949473,0.5658933181649427,Rplp0
ENSMUSG00000044533,0.5384569742600176,0.0,0.0,0.5299242644952579,0.5468806722981656,Rps2
ENSMUSG00000058546,0.5307893313971827,0.0,0.0,0.5221588957898516,0.5393110669787974,Rpl23a
ENSMUSG00000000740,0.5231689494327131,0.0,0.0,0.5144428078822977,0.5317867536287679,Rpl13
ENSMUSG00000034932,0.5204640743586382,0.0,0.0,0.5117043014798961,0.5291156511505389,Mrpl54
ENSMUSG00000057841,0.5184709458553739,0.0,0.0,0.509686505112649,0.5271472987766096,Rpl32
ENSMUSG00000030744,0.5177716161350819,0.0,0.0,0.5089785430709831,0.5264566402004713,Rps3
ENSMUSG00000006333,0.5052954774310275,0.0,0.0,0.4963504014605641,0.5141332692501984,Rps9
ENSMUSG00000039001,0.46785513352997604,0.0,0.0,0.45847661597833783,0.47712945659538314,Rps21
ENSMUSG00000061787,0.4672776990030018,0.0,0.0,0.45789276320172545,0.47655849698446207,Rps17
ENSMUSG00000007892,0.4647155842764925,0.0,0.0,0.4553022679319653,0.474025017444023,Rplp1
ENSMUSG00000061983,0.4628896236919278,0.0,0.0,0.45345617844551683,0.4722193704258011,Rps12
ENSMUSG00000049760,0.46029059523430305,0.0,0.0,0.4508286385860573,0.4696491207675728,2410015M20Rik
ENSMUSG00000024925,0.4565201140715533,0.0,0.0,0.4470170866345919,0.4659201077610531,Rnaseh2c
ENSMUSG00000062006,0.44225826544677466,0.0,0.0,0.4326030081848008,0.4518120916494787,Rpl34
ENSMUSG00000013822,0.4419439378707901,0.0,0.0,0.43228538108214837,0.45150110067427024,Elof1
ENSMUSG00000032518,0.44148122443797144,0.0,0.0,0.4318178148629979,0.45104329473949967,Rpsa
ENSMUSG00000026238,0.4400370670283958,0.0,0.0,0.4303585450051126,0.44961442157594417,Ptma
ENSMUSG00000093674,0.4380850933752708,0.0,0.0,0.42838622523643693,0.44768302874010585,Rpl41
ENSMUSG00000063457,0.42871437214446234,0.0,0.0,0.4189191162449972,0.4384098615183948,Rps15
ENSMUSG00000037531,0.42520932592169147,0.0,0.0,0.41537856407609036,0.43494077409126153,Mrpl47
ENSMUSG00000035530,0.4244273663481979,0.0,0.0,0.4145887239264559,0.4341667973442519,Eif1
ENSMUSG00000045136,0.4184326905010558,0.0,0.0,0.4085341262090257,0.4282328419272833,Tubb2b
ENSMUSG00000043866,0.4114793193337123,0.0,0.0,0.4015123412531199,0.42134884301318165,Taf10
ENSMUSG00000024309,0.4111904732934054,0.0,0.0,0.4012206786208728,0.4210628541200118,Pfdn6
ENSMUSG00000021039,0.40850321088373176,0.0,0.0,0.3985073091025221,0.4184020789290374,Snw1
ENSMUSG00000028081,0.40553667003864063,0.0,0.0,0.39551215110436894,0.41546458070914905,Rps3a1
ENSMUSG00000034892,0.40520184854527314,0.0,0.0,0.39517411309811157,0.41513302413421066,Rps29
ENSMUSG00000071415,0.4027757403014303,0.0,0.0,0.39272477921496846,0.41273049459234207,Rpl23
ENSMUSG00000053565,0.40263130696671706,0.0,0.0,0.3925789676867503,0.41258746059812645,Eif3k
ENSMUSG00000074129,0.40026570525223976,0.0,0.0,0.3901908651408922,0.4102447081120349,Rpl13a
ENSMUSG00000019362,0.3971683504914444,0.0,0.0,0.3870642542718168,0.4071770714153578,D8Ertd738e
ENSMUSG00000005779,0.3948216138609874,0.0,0.0,0.384695506215384,0.404852700558032,Psmb4
ENSMUSG00000059291,0.39411442431474725,0.0,0.0,0.38398170967242773,0.40415222552138136,Rpl11
ENSMUSG00000057388,0.3917322833781667,0.0,0.0,0.3815774024236331,0.4017926155270765,Mrpl18
ENSMUSG00000035242,0.3904667623649468,0.0,0.0,0.3803001613653752,0.4005390098179824,Oaz1
ENSMUSG00000043716,0.3893561631913771,0.0,0.0,0.3791793088324709,0.399438836241101,Rpl7
ENSMUSG00000036114,0.3890894224796912,0.0,0.0,0.3789101099442827,0.39917459519585025,Rpp25l
ENSMUSG00000022205,0.3875614584869209,0.0,0.0,0.3773680980384919,0.39766091769337714,Sub1
ENSMUSG00000002769,0.3821841220957035,0.0,0.0,0.3719417725461157,0.3923334222913108,Gnmt
ENSMUSG00000060743,0.3812257046838893,0.0,0.0,0.37097469716804055,0.3913838166725645,H3f3a
ENSMUSG00000038539,0.3804196922433861,0.0,0.0,0.37016142073933556,0.3905851980496913,Atf5
ENSMUSG00000045128,0.37359809112221914,0.0,0.0,0.363278971274692,0.3838255609095035,Rpl18a
ENSMUSG00000062997,0.37165407664800665,0.0,0.0,0.3613178224734772,0.38189900416427536,Rpl35
ENSMUSG00000007721,0.3687784448639402,0.0,0.0,0.35841701286467426,0.37904903299042253,Ccdc124
ENSMUSG00000025362,0.36628705163202013,0.0,0.0,0.35590396779297695,0.3765797140933019,Rps26
ENSMUSG00000078812,0.35909520216898727,0.0,0.0,0.348650458758872,0.3694507655310782,Eif5a
ENSMUSG00000070493,0.3571254009976996,0.0,0.0,0.3466639876756091,0.36749797983324906,Chchd2
ENSMUSG00000026273,0.3555884650283979,0.0,0.0,0.34511411019037636,0.36597425665080624,Mterf4
ENSMUSG00000023330,0.35516820661330023,0.0,0.0,0.3446903230040668,0.36555760143340954,Dtwd1
ENSMUSG00000025134,0.35253448521292136,0.0,0.0,0.34203458436385903,0.36294636613506315,Alyref
ENSMUSG00000020163,0.3429192355608418,0.0,0.0,0.33234037746427564,0.3534118207390139,Uqcr11
ENSMUSG00000023004,0.3423012442156075,0.0,0.0,0.3317173878175357,0.35279894184996097,Tuba1b
ENSMUSG00000004032,0.3401434652250672,0.0,0.0,0.329542229138486,0.35065894288127536,Gstm5
ENSMUSG00000038462,0.339834106178737,0.0,0.0,0.3292303876035985,0.3503521239414042,Uqcrfs1
ENSMUSG00000036751,0.3395187253755255,0.0,0.0,0.3289124783705161,0.35003933036477825,Cox6b1
ENSMUSG00000061477,0.3389759105931468,0.0,0.0,0.3283653174335245,0.3495009630696762,Rps7
ENSMUSG00000019505,0.3379994299026069,0.0,0.0,0.32738103628320564,0.3485324655582426,Ubb
ENSMUSG00000016554,0.3324949606105765,0.0,0.0,0.32183302646671075,0.3430725770547836,Eif3d
ENSMUSG00000029726,0.3322266877432015,0.0,0.0,0.32156265026347475,0.3428064586656112,Mepce
ENSMUSG00000020153,0.3235422454340771,0.0,0.0,0.3128110586467321,0.33419084313208575,Ndufs7
ENSMUSG00000026234,0.3205194814481701,0.0,0.0,0.30976534965340724,0.3311916178733416,Ncl
ENSMUSG00000051695,0.3184913355821663,0.0,0.0,0.3077219323723503,0.3291791445940393,Pcbp1
ENSMUSG00000040822,0.3166555622639505,0.0,0.0,0.30587242180690116,0.3273574735754963,1700123O20Rik
ENSMUSG00000020477,0.3159102725330525,0.0,0.0,0.3051215782367091,0.3266178864099248,Mrps24
ENSMUSG00000034566,0.3133042233584322,0.0,0.0,0.30249621444138153,0.32403167426028345,Atp5h
ENSMUSG00000097347,0.31267295896276626,0.0,0.0,0.30186029612959964,0.32340519087167335,Gm17275
ENSMUSG00000090733,0.31175845687450154,0.0,0.0,0.3009390690573089,0.3224975982598343,Rps27
ENSMUSG00000055762,0.31136017630472645,0.0,0.0,0.30053786595938503,0.3221023207071406,Eef1d
ENSMUSG00000058833,0.3104101541560298,0.0,0.0,0.29958088814169437,0.3211594465592867,2810428I15Rik
ENSMUSG00000034875,0.30871848628534493,0.0,0.0,0.29787688852472527,0.31948045409822734,Nudt19
ENSMUSG00000030045,0.3085089478143867,0.0,0.0,0.29766582739061276,0.3192724809636396,Mrpl19
ENSMUSG00000034880,0.30807555428859545,0.0,0.0,0.2972292878669303,0.31884232177129396,Mrpl34
ENSMUSG00000032959,0.3080115594471328,0.0,0.0,0.2971648288719684,0.31877880413533904,Pebp1
ENSMUSG00000064068,0.30307597674351344,0.0,0.0,0.2921937463039015,0.3138797343942408,Mtx1
ENSMUSG00000069272,0.30266308760849653,0.0,0.0,0.29177791405880477,0.3134698736958791,Hist1h2ae
ENSMUSG00000001525,0.3018331535528349,0.0,0.0,0.2909420766080155,0.3126460148141881,Tubb5
ENSMUSG00000048856,0.2971037197817057,0.0,0.0,0.28617931923298856,0.30795089029788764,Slc25a47
ENSMUSG00000059278,0.2965785146683482,0.0,0.0,0.28565044682334506,0.30742946264220716,Naa38
ENSMUSG00000070336,0.2963086438136077,0.0,0.0,0.2853786941577495,0.30716153025797677,Fbxo47
ENSMUSG00000045948,0.2959407830297724,0.0,0.0,0.28500827110929206,0.30679630903094524,Mrps12
ENSMUSG00000029715,0.28934612814067984,0.0,0.0,0.27836823634221414,0.30024843117943634,Pop7
ENSMUSG00000063445,0.28912678398558767,0.0,0.0,0.2781474008415852,0.300030625213236,Nmral1
ENSMUSG00000024767,0.2885797821261626,0.0,0.0,0.27759668491153267,0.2994874543463116,Otub1
ENSMUSG00000015749,0.28813968171675197,0.0,0.0,0.27715360151834784,0.2990504310995495,Anp32e
ENSMUSG00000020085,0.2864855514285791,0.0,0.0,0.2754883013816834,0.2974078254863801,Aifm2
ENSMUSG00000001383,0.28543614154108654,0.0,0.0,0.27443183936155574,0.2963656935354337,Zmat2
ENSMUSG00000010376,0.2851468063339623,0.0,0.0,0.27414056446649304,0.2960783603678024,Nedd8
ENSMUSG00000031546,0.2847393910613915,0.0,0.0,0.2737304213270704,0.2956737608290336,Gins4
ENSMUSG00000027285,0.28434150305480055,0.0,0.0,0.27332987310827006,0.29527861892489266,Haus2
ENSMUSG00000030695,0.28290168335505966,0.0,0.0,0.271880458927172,0.2938487051563702,Aldoa
ENSMUSG00000058773,0.2819057131078443,0.0,0.0,0.27087788112082456,0.2928595584955755,Hist1h1b
ENSMUSG00000022370,0.28181141096996726,0.0,0.0,0.27078295459475077,0.2927659012249705,Mrpl13
ENSMUSG00000024667,0.28005727725841484,0.0,0.0,0.2690172456082192,0.2910237245038707,Tmem216
ENSMUSG00000033751,0.27911246996897426,0.0,0.0,0.2680662344209605,0.2900853273222619,Gadd45gip1
ENSMUSG00000006050,0.27893074689389963,0.0,0.0,0.267883320564286,0.2899048347398795,Sra1
ENSMUSG00000001911,0.27860492817249816,0.0,0.0,0.2675553688359077,0.2895812202645354,Nfix
ENSMUSG00000044986,0.27806828697588154,0.0,0.0,0.2670152200412261,0.28904820411088444,Tst
ENSMUSG00000036850,0.27785563329980484,0.0,0.0,0.26680117833791794,0.28883698503959027,Mrpl41
ENSMUSG00000029580,0.2765048405489025,0.0,0.0,0.2654415941933994,0.28749528004770775,Actb
ENSMUSG00000068854,0.27598865687655405,0.0,0.0,0.26492206265107654,0.28698255772471526,Hist2h2be
ENSMUSG00000035295,0.27328137822735515,0.0,0.0,0.26219733031637593,0.28429332999171947,Wdr38
ENSMUSG00000026095,0.27255684291699656,0.0,0.0,0.2614681539406325,0.2835735961631193,Asnsd1
ENSMUSG00000020889,0.27141789192920657,0.0,0.0,0.2603219329026836,0.2824421678904078,Nr1d1
ENSMUSG00000059518,0.2706288453979835,0.0,0.0,0.2595278681387653,0.28165831498726196,Znhit1
ENSMUSG00000014294,0.27062694818951755,0.0,0.0,0.2595259588823905,0.28165643024877873,Ndufa2
ENSMUSG00000004393,0.26936632234224517,0.0,0.0,0.2582573468239846,0.2804040714331206,Ddx56
ENSMUSG00000074748,0.26602139401598796,0.0,0.0,0.25489141367525886,0.27708089659450497,Atxn7l3b
ENSMUSG00000021621,0.26384642612976894,0.0,0.0,0.2527029325513546,0.2749199314848164,Zcchc9
ENSMUSG00000071711,0.26323126701468613,0.0,0.0,0.2520839720918736,0.27430871256137696,Mpst
ENSMUSG00000005732,0.2623396502786967,0.0,0.0,0.2511868618459413,0.27342279088401983,Ranbp1
ENSMUSG00000023988,0.262191261821119,0.0,0.0,0.25103756098367785,0.2732753484087837,Bysl
ENSMUSG00000055302,0.25925206263367917,0.0,0.0,0.24808039872897422,0.27035477940454755,Mrfap1
ENSMUSG00000061374,0.2584402630020475,0.0,0.0,0.2472636744341576,0.269548089368886,Fiz1
ENSMUSG00000019470,0.25705040693899633,0.0,0.0,0.24586542388317678,0.2681669450870701,Xab2
ENSMUSG00000071654,0.2561417908501125,0.0,0.0,0.24495134507425284,0.26726399960759456,Uqcc3
ENSMUSG00000026049,0.2549740814004425,0.0,0.0,0.24377664441197489,0.26610354907083117,Tex30
ENSMUSG00000028394,0.25463382858076017,0.0,0.0,0.24343436064051513,0.26576540531873744,Pole3
ENSMUSG00000030663,0.25403283885587774,0.0,0.0,0.24282979045344763,0.2651681341554104,1110004F10Rik
ENSMUSG00000086290,0.2529254815597003,0.0,0.0,0.24171585874481086,0.264067606138251,Snhg12
ENSMUSG00000033938,0.2508735552483514,0.0,0.0,0.2396518281803405,0.2620282577466953,Ndufb7
ENSMUSG00000067795,0.2501585774370613,0.0,0.0,0.23893265656615764,0.26131763920897483,4930444P10Rik
ENSMUSG00000097861,0.24914816591712388,0.0,0.0,0.23791633933479786,0.2603133676175772,Gm26858
ENSMUSG00000029623,0.24801970529982834,0.0,0.0,0.2367813120981632,0.2591917357151629,Pdap1
ENSMUSG00000016559,0.2469614793571298,0.0,0.0,0.2357169561095548,0.25813988609213057,H3f3b
ENSMUSG00000105552,0.24629009764164195,0.0,0.0,0.2350416992288064,0.25747253603340975,Gm19710
ENSMUSG00000020922,0.24613545727441813,0.0,0.0,0.23488616782733981,0.25731882277227863,Lsm12
ENSMUSG00000032330,0.24596320998301993,0.0,0.0,0.2347129287291345,0.2571476074784306,Cox7a2
ENSMUSG00000023456,0.2458598455686643,0.0,0.0,0.23460896948144358,0.2570448620215917,Tpi1
ENSMUSG00000037172,0.24550251229102307,0.0,0.0,0.23424958183323588,0.2566896665469976,E330009J07Rik
ENSMUSG00000038690,0.2447985172120353,0.0,0.0,0.23354154836373997,0.2559898743886353,Atp5j2
ENSMUSG00000000486,0.24319659677441377,0.0,0.0,0.23193048317096557,0.2543974738620854,Sept1
ENSMUSG00000070697,0.2419234924213449,0.0,0.0,0.2306501552268931,0.253131892011672,Utp3
ENSMUSG00000054000,0.24187054283242657,0.0,0.0,0.2305969060476589,0.2530792544596336,Tusc1
ENSMUSG00000024146,0.23993152247595106,0.0,0.0,0.2286469611679082,0.2511516152179974,Cript
ENSMUSG00000025066,0.23523273231409805,0.0,0.0,0.22392207336603523,0.24648003552098882,Sfr1
ENSMUSG00000029624,0.23389495869219262,0.0,0.0,0.2225769668157759,0.2451499132876534,Ptcd1
ENSMUSG00000030034,0.23370595450557866,0.0,0.0,0.22238693008764554,0.24496198669327238,Ino80b
ENSMUSG00000054717,0.2333195115996523,0.0,0.0,0.22199837869736616,0.24457774442800703,Hmgb2
ENSMUSG00000048895,0.23274346621175565,0.0,0.0,0.22141919700293033,0.24400497282868555,Cdk5r1
ENSMUSG00000065990,0.2327363367286725,0.0,0.0,0.22141202875308802,0.24399788381474993,Aurkaip1
ENSMUSG00000090553,0.23191263465825768,0.0,0.0,0.22058385601831657,0.24317884922952818,Snrpe
ENSMUSG00000003865,0.23159269812134378,0.0,0.0,0.2202621874220251,0.24286072127237224,Gys1
ENSMUSG00000022013,0.23004370118263895,0.0,0.0,0.218704839434392,0.2413204464341748,Dnajc15
ENSMUSG00000025967,0.2294301725484343,0.0,0.0,0.2180880190765585,0.24071035675154964,Eef1b2
ENSMUSG00000049932,0.22875038829141933,0.0,0.0,0.21740459820127778,0.24003437241254572,H2afx
ENSMUSG00000111646,0.22845309304991332,0.0,0.0,0.21710571602603515,0.2397387355787602,RP23-331E5.11
ENSMUSG00000063800,0.22761262713338118,0.0,0.0,0.21626077529176077,0.23890294672655352,Prpf38a
ENSMUSG00000045608,0.22760976386978524,0.0,0.0,0.21625789681260837,0.23890009936798973,Dbx2
ENSMUSG00000032388,0.22745643570765822,0.0,0.0,0.2161037541435635,0.2387476226389597,Spg21
ENSMUSG00000061032,0.2272569687692843,0.0,0.0,0.21590322844771043,0.238549262509581,Rrp1
ENSMUSG00000022562,0.2263795794288002,0.0,0.0,0.21502119335329606,0.2376767304692616,Oplah
ENSMUSG00000059534,0.2258705858188645,0.0,0.0,0.21450951312810881,0.2371705463340757,Uqcr10
ENSMUSG00000031812,0.22558082143527625,1.1854327750083e-310,7.22384384526696e-310,0.21421822206995011,0.23688237861232322,Map1lc3b
ENSMUSG00000020297,0.2253426089570557,5.5985743911903e-310,3.397193198537797e-309,0.21397875604106173,0.23664547724488552,Nsg2
ENSMUSG00000062116,0.22363222944523664,3.6730953022825313e-305,2.1889721706093748e-304,0.21225941607124915,0.23494447211694258,Zfp954
ENSMUSG00000022436,0.22263219172986407,2.301908151657762e-302,1.3548605954430618e-301,0.21125417190573384,0.23394988338799627,Sh3bp1
ENSMUSG00000028860,0.2223829976451439,1.1398616177983328e-301,6.6775724534172984e-301,0.21100368419946286,0.23370204342049275,Sytl1
ENSMUSG00000049401,0.22195104975497795,1.8157101410465084e-300,1.0538073946874685e-299,0.2105694975128142,0.23327243924469038,Ogfr
ENSMUSG00000031851,0.221932576704473,2.0436256737097803e-300,1.1840241446754231e-299,0.21055092881616164,0.23325406632892065,Ntpcr
ENSMUSG00000036975,0.2218938594264478,2.6182981615010032e-300,1.5143424878548313e-299,0.21051201110203197,0.23321555889495654,Tmem177
