,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000050931,0.6372643855750559,0.0,0.0,0.6301191853219886,0.6443016761200736,Sgms2
ENSMUSG00000001827,0.6289717602066184,0.0,0.0,0.6217009537146151,0.6361341782813139,Folr1
ENSMUSG00000020609,0.6229407254722323,0.0,0.0,0.6155796233514657,0.6301931375528046,Apob
ENSMUSG00000064202,0.6103334289305382,0.0,0.0,0.602786440957653,0.6177712211139758,4430402I18Rik
ENSMUSG00000040693,0.5987501621636172,0.0,0.0,0.5910358062532854,0.6063550039773933,Slco4c1
ENSMUSG00000029843,0.5951806788918074,0.0,0.0,0.5874154069126587,0.6028363665091255,Slc13a4
ENSMUSG00000058952,0.5881103725612438,0.0,0.0,0.5802451652581719,0.5958658945449156,Cfi
ENSMUSG00000040170,0.5877282819698005,0.0,0.0,0.5798577087249729,0.5954891658771334,Fmo2
ENSMUSG00000021728,0.5877095330951393,0.0,0.0,0.5798386966395449,0.595470680019853,Emb
ENSMUSG00000020838,0.582327445420971,0.0,0.0,0.5743814055740045,0.5901637547909478,Slc6a4
ENSMUSG00000030494,0.5802354904958956,0.0,0.0,0.5722604105730396,0.5881008318288923,Rhpn2
ENSMUSG00000023045,0.5798000519157998,0.0,0.0,0.571818940741707,0.587671423358051,Soat2
ENSMUSG00000021190,0.5792560057245315,0.0,0.0,0.5712673654727701,0.587134905081888,Lgmn
ENSMUSG00000040703,0.5770163029045213,0.0,0.0,0.5689967433072597,0.5849261199074383,Cyp2s1
ENSMUSG00000022150,0.5745580078507022,0.0,0.0,0.5665046519779132,0.5825016249625067,Dab2
ENSMUSG00000035473,0.573168867206372,0.0,0.0,0.5650964787697484,0.581131521676357,Galm
ENSMUSG00000032359,0.5694894500274775,0.0,0.0,0.5613668772950631,0.5775023106226714,Ctsh
ENSMUSG00000027690,0.5679814436354709,0.0,0.0,0.5598383982262967,0.5760147896694662,Slc2a2
ENSMUSG00000022949,0.5676848231076698,0.0,0.0,0.5595377573038465,0.5757221923068051,Clic6
ENSMUSG00000021665,0.5661147689443128,0.0,0.0,0.5579464583341494,0.5741733990363818,Hexb
ENSMUSG00000000159,0.5597534186215087,0.0,0.0,0.551499645608555,0.5678976006557952,Igsf5
ENSMUSG00000039533,0.5541220045584299,0.0,0.0,0.5457933981963534,0.5623411315554373,Mmd2
ENSMUSG00000035041,0.5529503485304811,0.0,0.0,0.5446062696282444,0.5611849750776035,Creb3l3
ENSMUSG00000020078,0.5462824582440166,0.0,0.0,0.5378509616837627,0.554604680803405,Vps26a
ENSMUSG00000033022,0.5451839519605374,0.0,0.0,0.5367381575897796,0.5535205057133494,Cdo1
ENSMUSG00000072115,0.5442946124824952,0.0,0.0,0.53583726427243,0.5526427479255586,Ang
ENSMUSG00000025194,0.5435670335446788,0.0,0.0,0.5351002473262761,0.5519246303289972,Abcc2
ENSMUSG00000034435,0.5423846545040502,0.0,0.0,0.5339025581922441,0.5507576003494298,Tmem30b
ENSMUSG00000071551,0.5423105009527178,0.0,0.0,0.533827445594224,0.5506844083319182,Akr1c19
ENSMUSG00000034528,0.541969506243146,0.0,0.0,0.5334820424367978,0.5503478335729217,Hsd17b13
ENSMUSG00000027775,0.5419498325221903,0.0,0.0,0.5334621144564134,0.5503284147783349,Mfsd1
ENSMUSG00000028158,0.5411885391707685,0.0,0.0,0.5326909895315928,0.5495769790836751,Mttp
ENSMUSG00000002227,0.5394707857600798,0.0,0.0,0.5309511043657958,0.5478814182515974,Mov10
ENSMUSG00000031770,0.5388300499563846,0.0,0.0,0.5303021316333677,0.5472489427620334,Herpud1
ENSMUSG00000050390,0.5385236390087921,0.0,0.0,0.5299917851762462,0.5469464786410512,C77080
ENSMUSG00000017760,0.538112565012678,0.0,0.0,0.529575434979311,0.5465406961643412,Ctsa
ENSMUSG00000030894,0.5380852803609603,0.0,0.0,0.5295478002702732,0.5465137625922063,Tpp1
ENSMUSG00000046352,0.5344754133326024,0.0,0.0,0.5258917790709008,0.5429501910135245,Gjb2
ENSMUSG00000032357,0.5324761510359477,0.0,0.0,0.523867091557635,0.5409764373098348,Tinag
ENSMUSG00000010830,0.5314508693880815,0.0,0.0,0.522828808831373,0.5399642009114226,Kdelr3
