,Blood_6_corr,Blood_6_pval,Blood_6_qval,Blood_6_ci_low,Blood_6_ci_high,gene_annotation
ENSMUSG00000028332,0.5926453153526967,0.0,0.0,0.5848440670389371,0.6003369372801406,Hemgn
ENSMUSG00000023926,0.5882353993457573,0.0,0.0,0.5803719486465917,0.5959891660722036,Rhag
ENSMUSG00000026815,0.5823939494760102,0.0,0.0,0.5744488345741111,0.5902293342302461,Gfi1b
ENSMUSG00000006574,0.5823664026005605,0.0,0.0,0.5744209045608728,0.590202170355639,Slc4a1
ENSMUSG00000040466,0.5820688792394049,0.0,0.0,0.5741192442526769,0.5899087825105898,Blvrb
ENSMUSG00000008843,0.5813250746882216,0.0,0.0,0.5733651068292898,0.5891753076398132,Cldn13
ENSMUSG00000028644,0.580901058196907,0.0,0.0,0.5729352059716091,0.5887571739415945,Ermap
ENSMUSG00000054191,0.5806498875672937,0.0,0.0,0.5726805517428981,0.5885094860634061,Klf1
ENSMUSG00000073063,0.5763619978625051,0.0,0.0,0.5683334285909201,0.5842808249785331,Hbq1b
ENSMUSG00000028124,0.5733959489272135,0.0,0.0,0.565326668512903,0.5813554944616678,Gclm
ENSMUSG00000054342,0.5727219782645848,0.0,0.0,0.564643477018361,0.5806907474889895,Kcnn4
ENSMUSG00000030000,0.5717175595115442,0.0,0.0,0.5636253369991512,0.579700055087113,Add2
ENSMUSG00000005161,0.5694967296924832,0.0,0.0,0.5613742559231184,0.5775094912683891,Prdx2
ENSMUSG00000032126,0.5692150417139812,0.0,0.0,0.5610887394930252,0.5772316339552788,Hmbs
ENSMUSG00000001014,0.5682900764461984,0.0,0.0,0.5601512165221518,0.5763192342031286,Icam4
ENSMUSG00000028393,0.5662787463056647,0.0,0.0,0.5581126517062308,0.5743351585951545,Alad
ENSMUSG00000110206,0.5641200924537293,0.0,0.0,0.5559248779916859,0.572205650277033,Flt3l
ENSMUSG00000090523,0.5629891113165032,0.0,0.0,0.554778685442109,0.5710898957983074,Gypc
ENSMUSG00000063856,0.5606929503750037,0.0,0.0,0.5524517375734627,0.5688245565240128,Gpx1
ENSMUSG00000033386,0.5606156325968549,0.0,0.0,0.5523733853538968,0.568748274445194,Frrs1
ENSMUSG00000000244,0.5589662835106443,0.0,0.0,0.5507020041686769,0.5671209856561973,Tspan32
ENSMUSG00000047181,0.5578224963461481,0.0,0.0,0.5495429771427554,0.5659924594358218,Samd14
ENSMUSG00000048442,0.5553917173729176,0.0,0.0,0.5470799162094603,0.56359401137013,Smim5
ENSMUSG00000021361,0.5537425569609165,0.0,0.0,0.5454089360663557,0.561966707095401,Tmem14c
ENSMUSG00000059895,0.5530806788149919,0.0,0.0,0.5447383193629278,0.561313582843226,Ptp4a3
ENSMUSG00000043190,0.5522569161373247,0.0,0.0,0.5439036957230099,0.5605007007939338,Rfesd
ENSMUSG00000025573,0.5500757482133037,0.0,0.0,0.5416938498339771,0.5583482660005167,6030468B19Rik
ENSMUSG00000029866,0.5469732196716091,0.0,0.0,0.5385507288908414,0.5552864160370543,Kel
ENSMUSG00000096982,0.5464545571514483,0.0,0.0,0.538025303238338,0.5547745319358296,Redrum
ENSMUSG00000023216,0.5461670334958185,0.0,0.0,0.5377340332220852,0.5544907632233924,Epb42
ENSMUSG00000024588,0.5451526052380878,0.0,0.0,0.5367064032994767,0.5534895675278867,Fech
ENSMUSG00000032028,0.5433170232394059,0.0,0.0,0.5348469969126399,0.5516778682633965,Nxpe2
ENSMUSG00000070803,0.5427674287712804,0.0,0.0,0.5342902851051964,0.5511354092137243,Cited4
