,Cardiac_corr,Cardiac_pval,Cardiac_qval,Cardiac_ci_low,Cardiac_ci_high,gene_annotation
ENSMUSG00000033910,0.6744622796743686,0.0,0.0,0.6679011823094336,0.6809185509871152,Gucy1a3
ENSMUSG00000026208,0.6515199062733121,0.0,0.0,0.6445945571565126,0.6583383443705452,Des
ENSMUSG00000039103,0.6481452864101149,0.0,0.0,0.6411674446742774,0.6550159604347028,Nexn
ENSMUSG00000109697,0.6417039568150631,0.0,0.0,0.6346266919940947,0.6486735989610302,Gm45357
ENSMUSG00000018830,0.640556497938317,0.0,0.0,0.633461628268414,0.6475436686787366,Myh11
ENSMUSG00000049265,0.6298715829475037,0.0,0.0,0.6226143245979896,0.6370205012275687,Kcnk3
ENSMUSG00000061086,0.6282695673749656,0.0,0.0,0.6209882020830835,0.6354425071256882,Myl4
ENSMUSG00000035783,0.6248936455426294,0.0,0.0,0.6175616849712173,0.6321170094811307,Acta2
ENSMUSG00000097487,0.6201712254582992,0.0,0.0,0.6127689564173069,0.6274646789609315,Ptges3l
ENSMUSG00000030785,0.6197836768944628,0.0,0.0,0.6123756621174391,0.6270828592214659,Cox6a2
ENSMUSG00000026414,0.6181858143207226,0.0,0.0,0.6107541486009543,0.6255085795444085,Tnnt2
ENSMUSG00000068614,0.6066034210215175,0.0,0.0,0.5990021803565665,0.6140953482324917,Actc1
ENSMUSG00000041697,0.6044230021009847,0.0,0.0,0.5967902046427156,0.6119464240154265,Cox6a1
ENSMUSG00000026459,0.5982138982166267,0.0,0.0,0.590491873053522,0.6058263978956808,Myog
ENSMUSG00000039376,0.5978407162687398,0.0,0.0,0.5901133582713879,0.6054585410312447,Synpo2l
ENSMUSG00000040666,0.5972114722307085,0.0,0.0,0.5894751299213851,0.6048382685586147,Sh3bgr
ENSMUSG00000003500,0.5956637757958816,0.0,0.0,0.5879053766553849,0.6033125993235328,Impdh1
ENSMUSG00000020908,0.5921934939464072,0.0,0.0,0.5843858508309205,0.5998915038714591,Myh3
ENSMUSG00000067818,0.5919464373133076,0.0,0.0,0.5841352996160697,0.5996479381870762,Myl9
ENSMUSG00000038193,0.5877286355841069,0.0,0.0,0.5798580673036645,0.5954895145307053,Hand2
ENSMUSG00000001349,0.5867203376723688,0.0,0.0,0.5788356263060619,0.5944953498056392,Cnn1
ENSMUSG00000038086,0.5857349610880607,0.0,0.0,0.5778364520983441,0.593523762156478,Hspb2
ENSMUSG00000015579,0.5808361666865742,0.0,0.0,0.5728694143042129,0.5886931823633187,Nkx2-5
ENSMUSG00000035458,0.5797189921596787,0.0,0.0,0.5717367587388256,0.5875914856568701,Tnni3
ENSMUSG00000002930,0.5792003142183998,0.0,0.0,0.5712109036567083,0.5870799837832332,Ppp1r17
ENSMUSG00000026418,0.5763450093241435,0.0,0.0,0.5683162062621339,0.5842640702476131,Tnni1
ENSMUSG00000030470,0.5752812506060567,0.0,0.0,0.5672378224737727,0.5832149382317368,Csrp3
ENSMUSG00000006221,0.5721636317540783,0.0,0.0,0.5640774999558243,0.5801400342353151,Hspb7
ENSMUSG00000060600,0.5647455396330303,0.0,0.0,0.5565587506614141,0.5728226640644899,Eno3
ENSMUSG00000044086,0.5514875111420411,0.0,0.0,0.543124161375166,0.5597414440986546,Lmod3
ENSMUSG00000004951,0.550284963664945,0.0,0.0,0.5419058110238265,0.558554730228133,Hspb1
ENSMUSG00000098150,0.5500134924742652,0.0,0.0,0.541630777258006,0.5582868287387645,4921515E04Rik
ENSMUSG00000062694,0.5482497384339183,0.0,0.0,0.5398439207992091,0.5565462251029185,Cav3
ENSMUSG00000030996,0.5436340957137887,0.0,0.0,0.535168178873188,0.551990820949067,Art1
ENSMUSG00000068699,0.5421444199682657,0.0,0.0,0.5336592171279488,0.5505204804182023,Flnc
ENSMUSG00000023829,0.5395329346370292,0.0,0.0,0.5310140527244368,0.5479427653987119,Slc22a1
ENSMUSG00000037161,0.5392447662680716,0.0,0.0,0.5307221781571089,0.5476583136822376,Mgarp
ENSMUSG00000018893,0.5380172373138612,0.0,0.0,0.5294788843216994,0.5464465949989078,Mb
ENSMUSG00000034566,0.5339746606846986,0.0,0.0,0.5253846490704035,0.542455836258884,Atp5h
ENSMUSG00000020186,0.5289213537214865,0.0,0.0,0.5202673270668764,0.5374667644024852,Csrp2
ENSMUSG00000028949,0.520640504532718,0.0,0.0,0.5118829198896517,0.5292898836755756,Smarcd3
ENSMUSG00000042451,0.5182547446711638,0.0,0.0,0.5094676339339256,0.5269337795428715,Mybph
ENSMUSG00000007122,0.5173708258832821,0.0,0.0,0.5085728109440925,0.52606081426864,Casq1
ENSMUSG00000093658,0.5173158560589086,0.0,0.0,0.5085171636284708,0.5260065250249993,Gm20617
ENSMUSG00000006050,0.5173092616812375,0.0,0.0,0.5085104879814523,0.5260000122874807,Sra1
ENSMUSG00000031972,0.5169440027616088,0.0,0.0,0.50814072924962,0.5256392737788368,Acta1
ENSMUSG00000047819,0.5153570696682028,0.0,0.0,0.5065342835887404,0.5240719441166997,Tigd4
ENSMUSG00000097889,0.515021874012463,0.0,0.0,0.5061949742789431,0.5237408815917015,Gm26541
ENSMUSG00000021798,0.5132243711341758,0.0,0.0,0.5043754583503369,0.5219654978954668,Ldb3
ENSMUSG00000038216,0.512551669892143,0.0,0.0,0.5036945391049554,0.521301055105706,Pnmt
ENSMUSG00000022357,0.512128040963074,0.0,0.0,0.5032657405928773,0.5208826214357107,Klhl38
ENSMUSG00000055027,0.5114119146077329,0.0,0.0,0.5025408852060737,0.5201752678735594,Smyd1
ENSMUSG00000034842,0.5104179304435137,0.0,0.0,0.501534805805117,0.5191934404307907,Art3
ENSMUSG00000048015,0.5082186198227554,0.0,0.0,0.4993088183954559,0.5170209457049072,Neurod4
ENSMUSG00000033585,0.5076958935918714,0.0,0.0,0.4987797689966537,0.5165045763234526,Ndn
ENSMUSG00000106795,0.5067391242876425,0.0,0.0,0.49781144332355187,0.5155594256513771,Gm43050
ENSMUSG00000020469,0.5047469202802762,0.0,0.0,0.49579524783794854,0.5135913453126418,Myl7
ENSMUSG00000051616,0.5037884061056213,0.0,0.0,0.49482522496462406,0.512644404659598,C230029F24Rik
ENSMUSG00000015627,0.5036374744606011,0.0,0.0,0.49467248314737766,0.5124952934662869,Gata5
ENSMUSG00000032532,0.5023551838815898,0.0,0.0,0.4933748359808612,0.5112284475986459,Cck
ENSMUSG00000075217,0.49995436734140875,0.0,0.0,0.4909453749759188,0.5088564443129009,4833423E24Rik
ENSMUSG00000032959,0.49944392111709557,0.0,0.0,0.49042885661120933,0.5083521067522109,Pebp1
ENSMUSG00000097324,0.49722988917142086,0.0,0.0,0.4881885604085948,0.5061645000547444,Carmn
