,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000045757,0.8200224301088304,0.0,0.0,0.8160727994492378,0.8238954712741025,Zfp764
ENSMUSG00000111514,0.7767343294492091,0.0,0.0,0.7719537649194338,0.7814270400858382,RP23-269O24.7
ENSMUSG00000050721,0.7650637418234219,0.0,0.0,0.7600670322901214,0.7699699925167557,Plekho2
ENSMUSG00000045231,0.7625023518939092,0.0,0.0,0.7574586515378143,0.7674550456443434,BC106179
ENSMUSG00000062963,0.7484715726125182,0.0,0.0,0.7431733220311796,0.7536759671251201,Ufc1
ENSMUSG00000097429,0.7350261769731326,0.0,0.0,0.7294885269469842,0.7404674769430705,Gm26520
ENSMUSG00000054134,0.7321881370145027,0.0,0.0,0.7266005213459807,0.737678905395018,Umodl1
ENSMUSG00000047654,0.7293395142712092,0.0,0.0,0.7237019451880001,0.7348797471263642,Tssk6
ENSMUSG00000002458,0.7270280060260871,0.0,0.0,0.7213500485391978,0.7326082379790164,Rgs19
ENSMUSG00000033684,0.7266639520849222,0.0,0.0,0.7209796455113305,0.7322504724166337,Qsox1
ENSMUSG00000032312,0.7260549627625409,0.0,0.0,0.7203600427000362,0.7316519953992747,Csk
ENSMUSG00000087197,0.7251268299797321,0.0,0.0,0.7194157518658616,0.7307398673440195,Gm13780
ENSMUSG00000073982,0.7222329441068415,0.0,0.0,0.7164716212734221,0.7278957549867491,Rhog
ENSMUSG00000087318,0.7218569051674538,0.0,0.0,0.7160890684723954,0.7275261694401028,Gm12114
ENSMUSG00000032733,0.7202719190480178,0.0,0.0,0.7144766648189654,0.7259683478993393,Snx33
ENSMUSG00000078926,0.7200783812372034,0.0,0.0,0.714279783353955,0.725778123067334,Cdc20b
ENSMUSG00000037406,0.7192591303424006,0.0,0.0,0.7134463888436894,0.7249728864491668,Htra4
ENSMUSG00000031513,0.7181166678842262,0.0,0.0,0.7122842302749142,0.7238499411146038,Leprotl1
ENSMUSG00000000711,0.7176321252934613,0.0,0.0,0.7117913438029747,0.7233736669772489,Rab5b
ENSMUSG00000003379,0.7160151383263754,0.0,0.0,0.7101465537544527,0.7217842334634217,Cd79a
ENSMUSG00000001588,0.7153609268286429,0.0,0.0,0.7094811116992477,0.7211411524373718,Acap1
