,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000038539,0.34334076312477635,0.0,0.0,0.3327653196303952,0.35382985596514593,Atf5
ENSMUSG00000029580,0.3351395490158752,0.0,0.0,0.3244984422677838,0.3456958361075451,Actb
ENSMUSG00000028063,0.30389702612716646,0.0,0.0,0.2930206604266445,0.314694749625633,Lmna
ENSMUSG00000030493,0.301508129158363,0.0,0.0,0.2906147448161478,0.31232336518726195,Faap24
ENSMUSG00000036752,0.26281142182714223,0.0,0.0,0.25166153772912014,0.27389155140993143,Tubb4b
ENSMUSG00000004951,0.26137546991218613,0.0,0.0,0.2502167624465144,0.27246474790343445,Hspb1
ENSMUSG00000035530,0.25131193920425615,0.0,0.0,0.24009278962949382,0.2624639628605324,Eif1
ENSMUSG00000008348,0.23519311824624414,0.0,0.0,0.2238822415368703,0.2464406486343444,Ubc
ENSMUSG00000033685,0.23435658874221948,0.0,0.0,0.22304112239499116,0.24560890783524136,Ucp2
ENSMUSG00000021270,0.23327819630621374,0.0,0.0,0.2219568381948935,0.24453666419972436,Hsp90aa1
ENSMUSG00000028680,0.2282744733278786,0.0,0.0,0.21692614387206696,0.23956111124797966,Plk3
ENSMUSG00000002769,0.2251163313935941,2.442005165508636e-309,2.0350043045905306e-306,0.213751288997187,0.2364204438583323,Gnmt
ENSMUSG00000025732,0.22497379862309055,6.17020198232376e-309,4.7463092171721244e-306,0.21360800760280013,0.23627869417528513,Fam195a
ENSMUSG00000003429,0.21629032993676045,5.877656157192618e-285,4.198325826566156e-282,0.20487985303337658,0.2276420255420386,Rps11
ENSMUSG00000062116,0.2137441603015795,3.963571754511572e-278,2.6423811696743815e-275,0.20232092460577425,0.22510923995585483,Zfp954
ENSMUSG00000026203,0.20976281010471137,1.2415357889660523e-267,7.759598681037826e-265,0.19831993658976974,0.22114851000840297,Dnajb2
ENSMUSG00000012848,0.20869991616052327,7.220995103166291e-265,4.2476441783331125e-262,0.19725186446247223,0.22009105749125132,Rps5
ENSMUSG00000017300,0.20716351218295279,6.715556895535701e-261,3.7308649419642787e-258,0.19570802349872074,0.21856247172892143,Tnnc2
ENSMUSG00000025499,0.20387440139380886,1.6320318212997822e-252,8.589641164735696e-250,0.19240318260263364,0.21528990998025999,Hras
ENSMUSG00000068220,0.19877628396331953,8.234802975097224e-240,4.117401487548612e-237,0.18728119771338253,0.2102169367877066,Lgals1
ENSMUSG00000022841,0.19857473119282135,2.573530754529843e-239,1.2254908354904015e-236,0.18707871419255537,0.21001636542775048,Ap2m1
ENSMUSG00000043866,0.19584952860294447,1.1149697773982686e-232,5.068044442719402e-230,0.18434102278642758,0.20730433798154677,Taf10
ENSMUSG00000021250,0.1927142199738223,3.610513659847633e-225,1.5697885477598404e-222,0.18119156684078144,0.20418396935479471,Fos
ENSMUSG00000022044,0.19158947160421982,1.656783845224555e-222,6.9032660217689795e-220,0.18006180091632246,0.20306452369751188,Stmn4
ENSMUSG00000038462,0.1908202994881522,1.0706220558084516e-220,4.2824882232338063e-218,0.17928921499807507,0.2022989606306724,Uqcrfs1
ENSMUSG00000029623,0.1888860759321212,3.522194976344375e-216,1.3546903755170675e-213,0.17734646966436032,0.20037375068822272,Pdap1
ENSMUSG00000044894,0.1856008971688652,1.2691294204710167e-208,4.7004793350778394e-206,0.17404702318440698,0.1971036777627481,Uqcrq
ENSMUSG00000001525,0.1848454830447932,6.616667092984196e-207,2.3630953903514986e-204,0.1732883649367838,0.19635170097161195,Tubb5
ENSMUSG00000006333,0.1829329877506227,1.360726834159578e-202,4.692161497101993e-200,0.17136771775319143,0.19444784752338654,Rps9
ENSMUSG00000001380,0.18142959026789612,3.090106894445654e-199,1.0300356314818846e-196,0.1698579738443976,0.19295118242170958,Hars
ENSMUSG00000025794,0.1763920833758056,3.284641494918625e-188,1.0595617725543954e-185,0.16479959757581022,0.1879358432235182,Rpl14
ENSMUSG00000016554,0.1763607118842804,3.837970239203382e-188,1.1993656997510567e-185,0.1647680980290107,0.1879046078968617,Eif3d
ENSMUSG00000029715,0.1761003804968622,1.3953403799043133e-187,4.228304181528222e-185,0.16450670490734517,0.18764540555133274,Pop7
ENSMUSG00000030672,0.17593380075283988,3.1835401162823547e-187,9.363353283183397e-185,0.1643394466396522,0.18747954741022146,Mylpf
ENSMUSG00000029372,0.1742033533730836,1.594214739139013e-183,4.554899254682894e-181,0.16260199012249887,0.18575655717186065,Ppbp
ENSMUSG00000003868,0.17366066068409056,2.2628797681367036e-182,6.285777133713066e-180,0.16205711408844906,0.18521618851249516,Ruvbl2
ENSMUSG00000050761,0.17228378854757742,1.820907515186724e-179,4.921371662666822e-177,0.1606747343094466,0.1838451813428839,Gp1bb
ENSMUSG00000003849,0.17140409310002616,1.2695583717674452e-177,3.34094308359854e-175,0.15979154382648442,0.18296920952114543,Nqo1
ENSMUSG00000061032,0.1693314890829744,2.549855148636064e-173,6.538090124707857e-171,0.15771077883735418,0.18090530594082677,Rrp1
ENSMUSG00000023004,0.1672210715097759,5.370694964563317e-169,1.3426737411408292e-166,0.15559215742771926,0.1788036427892735,Tuba1b
