,Extra-Embryonic endoderm_2_corr,Extra-Embryonic endoderm_2_pval,Extra-Embryonic endoderm_2_qval,Extra-Embryonic endoderm_2_ci_low,Extra-Embryonic endoderm_2_ci_high,gene_annotation
ENSMUSG00000024194,0.8081744597968928,0.0,0.0,0.8039928251636046,0.8122761664139526,Cuta
ENSMUSG00000028367,0.7715381116037642,0.0,0.0,0.7666608976559743,0.77632628963895,Txn1
ENSMUSG00000097219,0.7644566365154666,0.0,0.0,0.7594487745731968,0.7693739090099286,Gm26551
ENSMUSG00000003444,0.7472890492330833,0.0,0.0,0.7419695656493756,0.7525144481777094,Med29
ENSMUSG00000030612,0.7468173364147713,0.0,0.0,0.7414893924795919,0.7520511050323183,Mrpl46
ENSMUSG00000029557,0.7416024304012946,0.0,0.0,0.7361813187539349,0.7469283831613568,Mrm2
ENSMUSG00000052658,0.7353829740276293,0.0,0.0,0.729851619630939,0.740818041595772,5830454E08Rik
ENSMUSG00000051495,0.7345512397980585,0.0,0.0,0.7290052144201619,0.7400008312049422,Irf2bp2
ENSMUSG00000035781,0.732395307596816,0.0,0.0,0.7268113326281509,0.7378824712324412,R3hdm4
ENSMUSG00000062929,0.7322361514144782,0.0,0.0,0.7266493794304851,0.7377260844386956,Cfl2
ENSMUSG00000025204,0.7321327706000953,0.0,0.0,0.7265441821313535,0.7376245021809571,Ndufb8
ENSMUSG00000006299,0.7298470119959997,0.0,0.0,0.7242183278256573,0.7353784463032452,Aamp
ENSMUSG00000043439,0.7295270030553845,0.0,0.0,0.7238927156585123,0.7350639860932285,E130012A19Rik
ENSMUSG00000045128,0.7284975713513846,0.0,0.0,0.7228452760480503,0.7340523878552082,Rpl18a
ENSMUSG00000045438,0.7279470433163927,0.0,0.0,0.7222851282547932,0.7335113868319079,Cox19
ENSMUSG00000027984,0.7274671911133089,0.0,0.0,0.7217968973203429,0.7330398328281499,Hadh
ENSMUSG00000026385,0.725163552815581,0.0,0.0,0.7194531136158684,0.7307759573118616,Dbi
ENSMUSG00000017615,0.7250054882837291,0.0,0.0,0.7192922992681476,0.7306206165835851,Tnfaip1
ENSMUSG00000078813,0.7249322746481671,0.0,0.0,0.7192178121576386,0.7305486643848829,Leng1
ENSMUSG00000006589,0.7244123468075038,0.0,0.0,0.7186888444924111,0.7300376910713064,Aprt
ENSMUSG00000029369,0.7242128777634586,0.0,0.0,0.7184859091000763,0.7298416557403165,Afm
ENSMUSG00000007415,0.7238270025284622,0.0,0.0,0.7180933309407097,0.7294624204363559,Gatad1
