,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000090862,0.5763205474381182,0.0,0.0,0.5682914077524004,0.5842399450102986,Rps13
ENSMUSG00000028234,0.55030816287636,0.0,0.0,0.541929314766748,0.5585776243022749,Rps20
ENSMUSG00000039001,0.5287959297552737,0.0,0.0,0.5201403221394486,0.5373429271543346,Rps21
ENSMUSG00000047675,0.48808699942344946,0.0,0.0,0.4789384736849908,0.4971295160528618,Rps8
ENSMUSG00000062006,0.4756778295439667,0.0,0.0,0.46638705995751,0.4848636633958496,Rpl34
ENSMUSG00000022205,0.4611173345852074,0.0,0.0,0.451664429502699,0.4704667229165114,Sub1
ENSMUSG00000034892,0.4502196453753171,0.0,0.0,0.4406487586850461,0.45968818704782677,Rps29
ENSMUSG00000049760,0.4414214475911257,0.0,0.0,0.43175741147505214,0.45098415151362714,2410015M20Rik
ENSMUSG00000024309,0.43807570397781614,0.0,0.0,0.42837673819329275,0.447673738124215,Pfdn6
ENSMUSG00000036114,0.43095643124294425,0.0,0.0,0.42118404349968164,0.4406287675082133,Rpp25l
ENSMUSG00000003970,0.4208021752166184,0.0,0.0,0.410927191827244,0.43057842700298,Rpl8
ENSMUSG00000044533,0.41792627006828736,0.0,0.0,0.4080226835749353,0.42773151234024276,Rps2
ENSMUSG00000074129,0.41439474795122966,0.0,0.0,0.4044563119471831,0.42423532351034754,Rpl13a
ENSMUSG00000025362,0.41296620248577137,0.0,0.0,0.4030137552709728,0.4228209874648974,Rps26
ENSMUSG00000003429,0.4045273291686849,0.0,0.0,0.39449312209658444,0.4144650741345005,Rps11
ENSMUSG00000070493,0.39876053665148137,0.0,0.0,0.3886714504270875,0.40875400929585626,Chchd2
ENSMUSG00000058546,0.3986654463858429,0.0,0.0,0.38857546199432674,0.40865983137993095,Rpl23a
ENSMUSG00000026238,0.3982211127782801,0.0,0.0,0.38812693437352497,0.4082197581390931,Ptma
ENSMUSG00000024925,0.38336547300789975,0.0,0.0,0.3731338259119132,0.39350388196849945,Rnaseh2c
ENSMUSG00000019362,0.3649887913881404,0.0,0.0,0.3545944843288067,0.37529289877399596,D8Ertd738e
ENSMUSG00000025794,0.36308113549211135,0.0,0.0,0.35267041107120056,0.37340198791852414,Rpl14
ENSMUSG00000019505,0.36244791579867763,0.0,0.0,0.35203176132369046,0.37277430754782015,Ubb
ENSMUSG00000021039,0.36106928677670613,0.0,0.0,0.3506413436769273,0.37140770590661576,Snw1
ENSMUSG00000037085,0.3557579436728106,0.0,0.0,0.34528501309951887,0.36614228104672447,Trmt12
ENSMUSG00000062997,0.3522165127945818,0.0,0.0,0.3417139651244817,0.3626310974276696,Rpl35
ENSMUSG00000061983,0.3517224837817486,0.0,0.0,0.3412158286350213,0.36214126440128663,Rps12
ENSMUSG00000030744,0.35133751682024317,0.0,0.0,0.34082766505605827,0.3617595631293963,Rps3
ENSMUSG00000060743,0.3504674354495892,0.0,0.0,0.33995037206606843,0.36089684981918013,H3f3a
ENSMUSG00000034932,0.34987783261953687,0.0,0.0,0.33935589275113476,0.36031222974294935,Mrpl54
ENSMUSG00000026095,0.3492195540774283,0.0,0.0,0.33869217965164,0.3596595046509414,Asnsd1
ENSMUSG00000007892,0.34443464060678053,0.0,0.0,0.33386807814858704,0.3549146511716298,Rplp1
ENSMUSG00000007721,0.33853467762941886,0.0,0.0,0.32792055689704064,0.34906334017396246,Ccdc124
ENSMUSG00000020163,0.33850852503416007,0.0,0.0,0.32789419536451353,0.34903740140914064,Uqcr11
ENSMUSG00000093674,0.33767377119162056,0.0,0.0,0.3270527812238164,0.34820946425566446,Rpl41
ENSMUSG00000025134,0.335830213414977,0.0,0.0,0.3251945738100927,0.3463809029306812,Alyref
ENSMUSG00000006333,0.3327949678341992,0.0,0.0,0.3221353878923031,0.34337017293288125,Rps9
ENSMUSG00000069272,0.33242794722065216,0.0,0.0,0.3217654875097408,0.3430061020032044,Hist1h2ae
ENSMUSG00000001383,0.33060083299435244,0.0,0.0,0.31992408555320084,0.3411936246976974,Zmat2
ENSMUSG00000023330,0.3281909401981346,0.0,0.0,0.31749547114330434,0.3388029169692741,Dtwd1
ENSMUSG00000020153,0.32291255222606735,0.0,0.0,0.31217656740452093,0.33356607122481047,Ndufs7
ENSMUSG00000027285,0.32230483708978735,0.0,0.0,0.31156423078079953,0.3329630967478352,Haus2
ENSMUSG00000031546,0.3220276137255117,0.0,0.0,0.31128490218051075,0.33268803305023054,Gins4
ENSMUSG00000035530,0.31904281844129456,0.0,0.0,0.3082775579214058,0.3297263754563178,Eif1
ENSMUSG00000067274,0.3148103602065688,0.0,0.0,0.30401349395653643,0.32552636607788893,Rplp0
ENSMUSG00000015749,0.3128992985340338,0.0,0.0,0.3020883032539747,0.3236298172969022,Anp32e
