,Amnion_2_corr,Amnion_2_pval,Amnion_2_qval,Amnion_2_ci_low,Amnion_2_ci_high,gene_annotation
ENSMUSG00000030291,0.8347517239211839,0.0,0.0,0.831095331995952,0.8383359517094512,Med21
ENSMUSG00000047669,0.8328530477089686,0.0,0.0,0.8291585562804635,0.8364747872697788,Msl3l2
ENSMUSG00000045763,0.8233109650640814,0.0,0.0,0.8194263416365871,0.827119960438041,Basp1
ENSMUSG00000042506,0.8224790195164614,0.0,0.0,0.8185779251920692,0.8263042411214787,Usp22
ENSMUSG00000027654,0.8205726106306528,0.0,0.0,0.8166338373263702,0.8244349542336501,Fam83d
ENSMUSG00000044636,0.8148745261065735,0.0,0.0,0.8108236664858847,0.8188473216276508,Csrnp2
ENSMUSG00000053931,0.814331249932932,0.0,0.0,0.8102697452799028,0.8183145370255436,Cnn3
ENSMUSG00000027455,0.813114375559762,0.0,0.0,0.8090290536231594,0.8171211376935859,Nsfl1c
ENSMUSG00000031799,0.8129667037159816,0.0,0.0,0.8088784939480286,0.8169763122891077,Tpm4
ENSMUSG00000074364,0.8110541682372183,0.0,0.0,0.806928605866972,0.8151005960720349,Ehd2
ENSMUSG00000024212,0.8093420463851103,0.0,0.0,0.8051831218522915,0.813421363236538,Mllt1
ENSMUSG00000038406,0.8082873539750718,0.0,0.0,0.8041079137224891,0.8123868971023017,Scaf1
ENSMUSG00000010205,0.8046481560591972,0.0,0.0,0.8003981366061169,0.8088172914644511,Raver1
ENSMUSG00000038872,0.8035430965343708,0.0,0.0,0.7992717098033314,0.8077333031465079,Zfhx3
ENSMUSG00000024947,0.8011728612172001,0.0,0.0,0.7968557451635082,0.8054081677702855,Men1
ENSMUSG00000003527,0.799024970660277,0.0,0.0,0.7946665342560878,0.803301033874333,Dgcr14
ENSMUSG00000063160,0.7957263402191252,0.0,0.0,0.7913046666725774,0.8000647871618347,Numbl
ENSMUSG00000028849,0.7942943503650329,0.0,0.0,0.7898453077532416,0.7986598005068836,Map7d1
ENSMUSG00000037253,0.7932981899906633,0.0,0.0,0.7888301378661314,0.7976823967752099,Mex3c
ENSMUSG00000027223,0.7908680175664928,0.0,0.0,0.7863536932663693,0.7952978852874611,Mapk8ip1
ENSMUSG00000015846,0.7898662737827272,0.0,0.0,0.7853329178100539,0.79431492354405,Rxra
ENSMUSG00000057604,0.7894048666017928,0.0,0.0,0.7848627528566468,0.7938621596102727,Lmcd1
ENSMUSG00000011958,0.7880996387986159,0.0,0.0,0.7835327794024595,0.7925813550456842,Bnip2
ENSMUSG00000041995,0.7878633031580494,0.0,0.0,0.7832919675784378,0.7923494374555718,Zbed3
ENSMUSG00000037552,0.7869194874100695,0.0,0.0,0.782330289693639,0.7914232524384472,Plekhg2
ENSMUSG00000020167,0.7839786341795308,0.0,0.0,0.7793339197903011,0.7885372025224535,Tcf3
ENSMUSG00000057469,0.7820573170752451,0.0,0.0,0.7773764472679735,0.7866515810530617,E2f6
ENSMUSG00000012296,0.7805411332094542,0.0,0.0,0.7758317957917603,0.785163505452843,Tjap1
ENSMUSG00000014402,0.7795100669006577,0.0,0.0,0.7747814026040536,0.7841515234079599,Tsg101
ENSMUSG00000007987,0.7788455829328069,0.0,0.0,0.774104477012743,0.7834993254586172,Ift22
ENSMUSG00000018377,0.7782965970799145,0.0,0.0,0.7735452202715876,0.7829604823795745,Vezf1
ENSMUSG00000051351,0.7776406127438551,0.0,0.0,0.7728769729339972,0.7823166084871102,Zfp46
ENSMUSG00000002059,0.7769471191466933,0.0,0.0,0.772170526624591,0.7816359069435217,Rab34
ENSMUSG00000030890,0.7767611771607557,0.0,0.0,0.7719811137185649,0.7814533929100015,Ilk
ENSMUSG00000053774,0.7765406565848765,0.0,0.0,0.7717564778553858,0.7812369367228524,Ubxn7
ENSMUSG00000022247,0.776488865168245,0.0,0.0,0.7717037200963704,0.7811860997039468,Brix1
ENSMUSG00000061111,0.7759656321795929,0.0,0.0,0.7711707281369512,0.7806725052126107,Fam195b
ENSMUSG00000020831,0.7755983478604793,0.0,0.0,0.7707965975062226,0.7803119828556839,0610010K14Rik
ENSMUSG00000048285,0.7755189194655411,0.0,0.0,0.7707156889730422,0.7802340163812425,Frmd6
ENSMUSG00000037017,0.7744289895200739,0.0,0.0,0.7696054639642828,0.7791641323572271,Zscan21
ENSMUSG00000021760,0.7739934802965749,0.0,0.0,0.7691618534872209,0.7787366252765703,Gpx8
ENSMUSG00000030122,0.7739673122675451,0.0,0.0,0.7691351988341613,0.7787109379243992,Ptms
ENSMUSG00000090000,0.7719423198296694,0.0,0.0,0.7670726003608308,0.7767230940524309,Ier3ip1
ENSMUSG00000009876,0.7715315940413756,0.0,0.0,0.7666542592834437,0.7763198914265391,Cox4i2
ENSMUSG00000034889,0.7703992335941857,0.0,0.0,0.7655009251262826,0.7752082518512734,Cactin
ENSMUSG00000036678,0.7695206294165843,0.0,0.0,0.7646060690267014,0.7743457045818647,Aaas
ENSMUSG00000032563,0.7693446004870357,0.0,0.0,0.7644267862922685,0.7741728905083025,Mrpl3
ENSMUSG00000090841,0.7690617056166434,0.0,0.0,0.7641386638480026,0.7738951607027192,Myl6
ENSMUSG00000032436,0.7687814999738584,0.0,0.0,0.7638532822616536,0.7736200691924544,Cmtm7
ENSMUSG00000038429,0.7685312399295336,0.0,0.0,0.7635984010565068,0.7733743751909655,Usp5
ENSMUSG00000078429,0.7679090247904893,0.0,0.0,0.7629647031060245,0.7727635061817608,Ctdsp2
ENSMUSG00000025872,0.7676108946077682,0.0,0.0,0.7626610743790625,0.7724708092334823,Thoc3
ENSMUSG00000053985,0.7674970620351657,0.0,0.0,0.7625451429184644,0.7723590506429728,Zfp14
ENSMUSG00000004455,0.767488079718619,0.0,0.0,0.7625359949961087,0.772350231967681,Ppp1cc
ENSMUSG00000033623,0.7672245860002511,0.0,0.0,0.7622676441592003,0.7720915377853447,Pcgf3
ENSMUSG00000024097,0.7669135477746485,0.0,0.0,0.7619508745951321,0.7717861630428574,Srsf7
ENSMUSG00000070044,0.7666141318091113,0.0,0.0,0.7616459436914808,0.771492196815481,Fam149a
ENSMUSG00000030435,0.7660105843431199,0.0,0.0,0.7610312861817476,0.7708996283238283,U2af2
ENSMUSG00000036438,0.7658081176644097,0.0,0.0,0.7608250945184828,0.770700842767944,Calm2
