,Blood_2_corr,Blood_2_pval,Blood_2_qval,Blood_2_ci_low,Blood_2_ci_high,gene_annotation
ENSMUSG00000055609,0.7302875524126993,0.0,0.0,0.724666586032292,0.7358113441610442,Hba-x
ENSMUSG00000052187,0.6993138048223864,0.0,0.0,0.6931617981332369,0.7053639298150337,Hbb-y
ENSMUSG00000069917,0.6067576599280063,0.0,0.0,0.5991586559271952,0.6142473550535942,Hba-a2
ENSMUSG00000052217,0.5729593692288447,0.0,0.0,0.5648841145496969,0.5809248908286979,Hbb-bh1
ENSMUSG00000069919,0.5422921262806834,0.0,0.0,0.5338088332985914,0.5506662719005627,Hba-a1
ENSMUSG00000073940,0.5274525876061916,0.0,0.0,0.5187800712524977,0.5360165562930154,Hbb-bt
ENSMUSG00000063856,0.42145869018340554,0.0,0.0,0.41159026444951424,0.4312282967155281,Gpx1
ENSMUSG00000052305,0.4089461364851658,0.0,0.0,0.3989545257416642,0.4188406504932769,Hbb-bs
ENSMUSG00000027078,0.3444204543453234,0.0,0.0,0.3338537765257628,0.35490058287686227,Ube2l6
ENSMUSG00000024661,0.31707165304872775,0.0,0.0,0.3062916191015854,0.3277703749483387,Fth1
ENSMUSG00000005161,0.30156597262883783,0.0,0.0,0.2906729987396755,0.3123807862110639,Prdx2
ENSMUSG00000050708,0.29987252838697037,0.0,0.0,0.28896757136534323,0.3106996769437546,Ftl1
ENSMUSG00000049751,0.29682814494053417,0.0,0.0,0.28590181933340264,0.30767729829928947,Rpl36al
ENSMUSG00000026815,0.26773939322611057,0.0,0.0,0.25662016754956063,0.2787877559762282,Gfi1b
ENSMUSG00000027510,0.24099680545208374,0.0,0.0,0.2297182347857643,0.2522106565127007,Rbm38
ENSMUSG00000028124,0.24051327753703655,0.0,0.0,0.22923198435393938,0.2517299650025524,Gclm
ENSMUSG00000027869,0.2381560205161165,0.0,0.0,0.2268615353669556,0.2493864565398804,Hsd3b6
ENSMUSG00000028333,0.22944602241732015,0.0,0.0,0.2181039538696482,0.24072611789089146,Anp32b
ENSMUSG00000049517,0.21872409958168965,1.433423223815871e-291,4.6076730807969714e-291,0.20732596405087814,0.2300628584011191,Rps23
ENSMUSG00000062647,0.2184796754247838,6.672429448842415e-291,2.1364304620237215e-290,0.20708029400812167,0.2298197398278928,Rpl7a
ENSMUSG00000073400,0.21583470754385645,9.951629628738752e-284,3.0660360226476826e-283,0.2044219360690964,0.22718880943120068,Trim10
ENSMUSG00000004897,0.21100546249369748,6.946924364259918e-271,2.0044762838325244e-270,0.19956867736528244,0.22238476676077576,Hdgf
ENSMUSG00000071713,0.20127247316137864,5.502548422199192e-246,1.3654595599538565e-245,0.18978899502869315,0.21270089160146838,Csf2rb
ENSMUSG00000028741,0.1995305603015272,1.1447971056485178e-241,2.7672598737700512e-241,0.18803896589184538,0.2109675318212587,Mrto4
ENSMUSG00000044468,0.19696129245161492,2.2491131075417866e-235,5.234144551314307e-235,0.18545785996206343,0.20841074820917999,Fam46c
ENSMUSG00000018293,0.19572668010987623,2.2082644198922026e-232,5.0308349296829696e-232,0.1842176155205751,0.20718207925884813,Pfn1
