,Extra-Embryonic endoderm_3_corr,Extra-Embryonic endoderm_3_pval,Extra-Embryonic endoderm_3_qval,Extra-Embryonic endoderm_3_ci_low,Extra-Embryonic endoderm_3_ci_high,gene_annotation
ENSMUSG00000020098,0.8392571993699472,0.0,0.0,0.8356915708673078,0.8427520790212008,Pcbd1
ENSMUSG00000034424,0.8376897887233459,0.0,0.0,0.834092527859811,0.8412158050731623,Gcsh
ENSMUSG00000024640,0.8357806512397282,0.0,0.0,0.8321449431881197,0.8393445158067597,Psat1
ENSMUSG00000018733,0.8272282310820271,0.0,0.0,0.8234213906504313,0.8309606086035118,Pex12
ENSMUSG00000093989,0.8267976344937463,0.0,0.0,0.8229822254789899,0.8305384514620409,Rnasek
ENSMUSG00000058135,0.8219429014696693,0.0,0.0,0.8180312020739627,0.8257785709958237,Gstm1
ENSMUSG00000054422,0.8204511889006879,0.0,0.0,0.8165100187993674,0.8243158939987686,Fabp1
ENSMUSG00000030674,0.8186504389625059,0.0,0.0,0.814673765623332,0.8225501261791226,Qprt
ENSMUSG00000078570,0.8177201050297808,0.0,0.0,0.8137251206459181,0.8216378358416423,1110065P20Rik
ENSMUSG00000040564,0.8166583089687925,0.0,0.0,0.8126424520782739,0.8205966085251507,Apoc1
ENSMUSG00000034164,0.8161280214269254,0.0,0.0,0.8121017506633134,0.8200765837398984,Emid1
ENSMUSG00000035112,0.8153784011843553,0.0,0.0,0.8113374210515001,0.8193414599164689,Wnk4
ENSMUSG00000033735,0.8153782801804877,0.0,0.0,0.811337297674358,0.8193413412515645,Spr
ENSMUSG00000049960,0.8123987366547465,0.0,0.0,0.8082994248701272,0.8164192883274242,Mrps16
ENSMUSG00000053398,0.8123745591340145,0.0,0.0,0.8082747749288897,0.8163955764722823,Phgdh
ENSMUSG00000024990,0.8077285029324373,0.0,0.0,0.8035382030751298,0.8118387529200348,Rbp4
ENSMUSG00000004610,0.801147286771524,0.0,0.0,0.796829678058901,0.8053830792346511,Etfb
ENSMUSG00000025204,0.7994060076867845,0.0,0.0,0.7950548932649263,0.8036748484566936,Ndufb8
ENSMUSG00000030278,0.7990672871605635,0.0,0.0,0.7947096637313444,0.8033425484441764,Cidec
ENSMUSG00000028307,0.7971840668722193,0.0,0.0,0.7927903060365517,0.8014949764132258,Aldob
ENSMUSG00000029632,0.7914579588316338,0.0,0.0,0.7869548540893595,0.7958767546418984,Ndufa4
ENSMUSG00000022856,0.7890830886136698,0.0,0.0,0.7845348704332564,0.7935464063594865,Tmem41a
ENSMUSG00000092360,0.7888185776821417,0.0,0.0,0.7842653433817814,0.7932868461385564,Gm20441
ENSMUSG00000006378,0.7867446789211496,0.0,0.0,0.7821521752770398,0.7912517071491136,Gcat
ENSMUSG00000015575,0.781243743960811,0.0,0.0,0.7765475916245334,0.7858530972637878,Atp6v0e
ENSMUSG00000001666,0.7795983868760558,0.0,0.0,0.7748713770757913,0.7842382096135959,Ddt
ENSMUSG00000024194,0.7789228052248034,0.0,0.0,0.7741831446379009,0.7835751204706907,Cuta
ENSMUSG00000024132,0.7779890233909339,0.0,0.0,0.7732318954702281,0.7826585882012776,Eci1
ENSMUSG00000028690,0.7775264949244607,0.0,0.0,0.7727607228697149,0.7822045964314529,Mmachc
ENSMUSG00000032812,0.7766908830357862,0.0,0.0,0.7719095076565742,0.7813843944903814,Arap1
ENSMUSG00000049422,0.7756413288237585,0.0,0.0,0.7708403794789828,0.7803541726711131,Chchd10
ENSMUSG00000031827,0.7753978120811508,0.0,0.0,0.7705923250657669,0.7801151377585844,Cotl1
