,Blood_6_corr,Blood_6_pval,Blood_6_qval,Blood_6_ci_low,Blood_6_ci_high,gene_annotation
ENSMUSG00000052217,0.5923745200101066,0.0,0.0,0.5845694384281579,0.600069971102909,Hbb-bh1
ENSMUSG00000055609,0.5443317165525483,0.0,0.0,0.5358748499944509,0.552679369166947,Hba-x
ENSMUSG00000052187,0.541066416550009,0.0,0.0,0.5325672910954625,0.5494564365123987,Hbb-y
ENSMUSG00000063856,0.5215278325407563,0.0,0.0,0.5127812647683403,0.5301661478904199,Gpx1
ENSMUSG00000005161,0.5065623450899368,0.0,0.0,0.4976325313287851,0.5153847908418151,Prdx2
ENSMUSG00000027078,0.4842555504660331,0.0,0.0,0.4750627063887697,0.4933427032812206,Ube2l6
ENSMUSG00000028333,0.4503694158375275,0.0,0.0,0.44080013107413013,0.4598363388547368,Anp32b
ENSMUSG00000024661,0.45025229566769176,0.0,0.0,0.4406817581546314,0.45972048451468406,Fth1
ENSMUSG00000027510,0.43501277250887593,0.0,0.0,0.4252820676723671,0.4446429197603877,Rbm38
ENSMUSG00000028741,0.43406557836807064,0.0,0.0,0.4243251044696904,0.44370561177074946,Mrto4
ENSMUSG00000039910,0.4321889440341201,0.0,0.0,0.4224291793759829,0.4418485021463881,Cited2
ENSMUSG00000036390,0.42331666386972405,0.0,0.0,0.4134668532869693,0.43306740902700275,Gadd45a
ENSMUSG00000049751,0.41798049182638297,0.0,0.0,0.40807744275627406,0.42778518931666254,Rpl36al
ENSMUSG00000027869,0.41759411001278046,0.0,0.0,0.4076872328440443,0.4274026880834118,Hsd3b6
ENSMUSG00000027562,0.413751592181968,0.0,0.0,0.4038068419691639,0.4235985710083359,Car2
ENSMUSG00000004897,0.4046920509085358,0.0,0.0,0.3946594232295042,0.4146281925805903,Hdgf
ENSMUSG00000062647,0.3926333796529337,0.0,0.0,0.3824868674267687,0.4026852046959047,Rpl7a
ENSMUSG00000070803,0.37347547083546023,0.0,0.0,0.3631552675242539,0.38370404441403533,Cited4
ENSMUSG00000073063,0.3702333322818184,0.0,0.0,0.35988461366006713,0.3804909621174466,Hbq1b
ENSMUSG00000049517,0.36898772637081545,0.0,0.0,0.3586281200020077,0.37925645355439475,Rps23
ENSMUSG00000026815,0.3688122574270376,0.0,0.0,0.35845112031395354,0.3790825449602119,Gfi1b
ENSMUSG00000060938,0.3681497002269401,0.0,0.0,0.35778278985819567,0.3784258729782359,Rpl26
ENSMUSG00000069917,0.3675771434961545,0.0,0.0,0.3572052526539119,0.3778583936973277,Hba-a2
ENSMUSG00000073400,0.3673591630968445,0.0,0.0,0.3569853782027845,0.3776423443242969,Trim10
ENSMUSG00000001014,0.35849845165884126,0.0,0.0,0.34804864819717757,0.36885917950915803,Icam4
ENSMUSG00000020372,0.35842230975904316,0.0,0.0,0.3479718612837508,0.3687836959642188,Rack1
ENSMUSG00000071713,0.3546954647024082,0.0,0.0,0.34421361673969836,0.3650889077253781,Csf2rb
ENSMUSG00000022742,0.3515804754516433,0.0,0.0,0.341072640705296,0.3620004611400735,Cpox
ENSMUSG00000020440,0.34812756162618147,0.0,0.0,0.3375911951306301,0.358576702066522,Arf5
ENSMUSG00000050708,0.34564230423594416,0.0,0.0,0.33508558022146245,0.356112255003508,Ftl1
ENSMUSG00000024997,0.3427962900706712,0.0,0.0,0.332216436857893,0.35328989305757275,Prdx3
ENSMUSG00000018677,0.3370850912893553,0.0,0.0,0.32645941451288785,0.34762558169313446,Slc25a39
ENSMUSG00000061983,0.3316589869648908,0.0,0.0,0.3209905042824476,0.34224331144876324,Rps12
ENSMUSG00000040466,0.3314919456205693,0.0,0.0,0.3208221564560339,0.3420776085050418,Blvrb
ENSMUSG00000054191,0.32941556577365694,0.0,0.0,0.31872959287233665,0.3400178104707468,Klf1
