,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000107481,0.6673840204784799,0.0,0.0,0.6607091699993681,0.6739533378229149,4833403J16Rik
ENSMUSG00000090019,0.6616630531644493,0.0,0.0,0.6548971576897042,0.6683228858380392,Gimap1
ENSMUSG00000038811,0.6569444820133286,0.0,0.0,0.6501040961647969,0.6636783960930418,Gngt2
ENSMUSG00000045092,0.6489010961789059,0.0,0.0,0.641934986967958,0.6557600940698751,S1pr1
ENSMUSG00000051124,0.648133194655816,0.0,0.0,0.6411551653317001,0.6550040553716613,Gimap9
ENSMUSG00000044258,0.6444400521534905,0.0,0.0,0.6374048955948961,0.6513677737017461,Ctla2a
ENSMUSG00000026181,0.635528898469591,0.0,0.0,0.628357272262121,0.642592508613865,Ppm1f
ENSMUSG00000032643,0.6347632471727794,0.0,0.0,0.6275799859184582,0.6418384464843455,Fhl3
ENSMUSG00000024986,0.6319118357228163,0.0,0.0,0.6246853696020866,0.6390300746314824,Hhex
ENSMUSG00000004451,0.6302786141600254,0.0,0.0,0.6230274907540171,0.637421419653056,Ralb
ENSMUSG00000060791,0.6295380126580021,0.0,0.0,0.6222757296152409,0.6366919376067425,Gmfg
ENSMUSG00000030787,0.6254773570109797,0.0,0.0,0.6181541246820726,0.632692021416476,Lyve1
ENSMUSG00000074874,0.6250190847455164,0.0,0.0,0.6176889991657123,0.6322405798313241,Ctla2b
ENSMUSG00000030220,0.6218712362102141,0.0,0.0,0.6144942145917757,0.6291395183584396,Arhgdib
ENSMUSG00000001946,0.6209122737042374,0.0,0.0,0.6135210015410879,0.6281947631102756,Esam
ENSMUSG00000073598,0.6205736609759512,0.0,0.0,0.6131773622635298,0.6278611618799489,1700066B19Rik
ENSMUSG00000040181,0.618288664448683,0.0,0.0,0.6108585191997785,0.6256099135000688,Fmo1
ENSMUSG00000028073,0.6169464439369552,0.0,0.0,0.6094964764586043,0.6242874599995002,Pear1
ENSMUSG00000031506,0.615848404534012,0.0,0.0,0.6083822536555032,0.6232055602380934,Ptpn7
ENSMUSG00000032440,0.6142368402605631,0.0,0.0,0.6067469907164056,0.6216176327064786,Tgfbr2
ENSMUSG00000108900,0.6135956820032786,0.0,0.0,0.6060964216107229,0.6209858614205463,C430049E01Rik
ENSMUSG00000055148,0.6099785981390263,0.0,0.0,0.6024264345648215,0.6174215541066924,Klf2
ENSMUSG00000029344,0.6093755163560157,0.0,0.0,0.6018145632133438,0.6168272421088128,Tpst2
ENSMUSG00000056737,0.6074256418761554,0.0,0.0,0.5998363311809818,0.6149056638110167,Capg
ENSMUSG00000050147,0.6044675657796256,0.0,0.0,0.5968354121218493,0.6119903451133065,F2rl3
ENSMUSG00000054435,0.6043314773085607,0.0,0.0,0.5966973577661085,0.6118562188085421,Gimap4
ENSMUSG00000004837,0.604217509277104,0.0,0.0,0.596581743741503,0.6117438936709918,Grap
ENSMUSG00000043505,0.6021697645199399,0.0,0.0,0.5945044782572974,0.6097256162398806,Gimap5
ENSMUSG00000095115,0.5990646855782097,0.0,0.0,0.5913548310145285,0.6066650328612258,Itpripl2
ENSMUSG00000048200,0.5972277727222175,0.0,0.0,0.5894916630285568,0.6048543367595536,Cracr2b
ENSMUSG00000001029,0.5966561881359919,0.0,0.0,0.5889119255332449,0.6042908938449604,Icam2
ENSMUSG00000007041,0.5958172321996842,0.0,0.0,0.5880610174173105,0.6034638741980994,Clic1
ENSMUSG00000031805,0.5942788539771965,0.0,0.0,0.5865007673050999,0.6019473405908993,Jak3
