,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000006728,0.825345333683949,0.0,0.0,0.8215010584878504,0.8291145832204596,Cdk4
ENSMUSG00000061479,0.8022978489948758,0.0,0.0,0.798002420293685,0.8065117659581689,Snrpa
ENSMUSG00000030423,0.7992673653707257,0.0,0.0,0.7949135863943871,0.8035388344546491,Pop4
ENSMUSG00000031819,0.7920188355333433,0.0,0.0,0.787526405524476,0.7964270974202432,Emc8
ENSMUSG00000003199,0.7906912209514385,0.0,0.0,0.7861735359818324,0.7951244051859645,Mpnd
ENSMUSG00000020935,0.7878118327076067,0.0,0.0,0.7832395224625484,0.792298929020042,Dcakd
ENSMUSG00000041881,0.7815378939924834,0.0,0.0,0.776847265228765,0.7861417934742277,Ndufa7
ENSMUSG00000044502,0.781264291016053,0.0,0.0,0.7765685244449785,0.7858732634223595,Bod1
ENSMUSG00000023110,0.7802716764560942,0.0,0.0,0.7755572856718764,0.7848990385245497,Prmt5
ENSMUSG00000008333,0.7767544352876291,0.0,0.0,0.7719742460129781,0.7814467753122794,Snrpb2
ENSMUSG00000034190,0.7725575889801986,0.0,0.0,0.7676992849982315,0.7773270861391938,Chmp7
ENSMUSG00000024926,0.7686186564400392,0.0,0.0,0.7636874315762852,0.7734601969356999,Kat5
ENSMUSG00000024369,0.7657995722549653,0.0,0.0,0.7608163919126135,0.7706924527048561,Nelfe
ENSMUSG00000097219,0.7638906537329864,0.0,0.0,0.7588724029418862,0.7688181937494043,Gm26551
ENSMUSG00000023495,0.7593740662126588,0.0,0.0,0.7542731932511663,0.7643832751762079,Pcbp4
ENSMUSG00000035585,0.7592279844721515,0.0,0.0,0.7541244475867069,0.7642398269724898,Tsen34
ENSMUSG00000020677,0.7573625840713777,0.0,0.0,0.7522250760667586,0.7624080120951188,Ddx52
ENSMUSG00000067148,0.7507110337312084,0.0,0.0,0.7454530881629313,0.7558755610058345,Polr1c
ENSMUSG00000008301,0.7463695957399078,0.0,0.0,0.7410336264512862,0.7516113039035723,Phax
ENSMUSG00000022571,0.7429684148725718,0.0,0.0,0.7375716429662513,0.7482702821811464,Pycrl
ENSMUSG00000037710,0.7394949597445231,0.0,0.0,0.734036385963228,0.744857986957306,Cisd1
ENSMUSG00000024829,0.7390419984084196,0.0,0.0,0.7335753870620904,0.7444129805956191,Mrpl21
ENSMUSG00000030357,0.7376488291920541,0.0,0.0,0.7321575283081273,0.7430442485188983,Fkbp4
ENSMUSG00000109511,0.7375277907430392,0.0,0.0,0.7320343470805412,0.7429253310358515,Nup62
ENSMUSG00000033918,0.7361236683217104,0.0,0.0,0.7306053933271281,0.7415457882569233,Parl
ENSMUSG00000003299,0.7360404918546186,0.0,0.0,0.7305207474346247,0.7414640663837623,Mrpl4
ENSMUSG00000085111,0.7350871500922987,0.0,0.0,0.7295505757064148,0.7405273852156168,Ascl4
ENSMUSG00000079523,0.7338703760369605,0.0,0.0,0.7283123535096212,0.739331844788544,Tmsb10
ENSMUSG00000034345,0.7324712127593548,0.0,0.0,0.7268885719688866,0.7379570554037724,Gtf2h5
ENSMUSG00000018239,0.728944922388469,0.0,0.0,0.7233004494307309,0.7344919921893764,Zcchc10
