,Blood_9_corr,Blood_9_pval,Blood_9_qval,Blood_9_ci_low,Blood_9_ci_high,gene_annotation
ENSMUSG00000063856,0.42227172932067936,0.0,0.0,0.4124114391781848,0.4320330922083712,Gpx1
ENSMUSG00000005161,0.4155130839129066,0.0,0.0,0.40558565108864175,0.42534250213347136,Prdx2
ENSMUSG00000024661,0.413902708215637,0.0,0.0,0.4039594406899006,0.4237481834034038,Fth1
ENSMUSG00000049751,0.405721424877506,0.0,0.0,0.3956986819810741,0.4156475328332397,Rpl36al
ENSMUSG00000052217,0.398535062556544,0.0,0.0,0.38844384699152323,0.4085306981807406,Hbb-bh1
ENSMUSG00000055609,0.3954500958803011,0.0,0.0,0.38532987006185937,0.4054752054865287,Hba-x
ENSMUSG00000049517,0.3911425202244289,0.0,0.0,0.3809821726227696,0.4012084098825718,Rps23
ENSMUSG00000062647,0.3847490694396852,0.0,0.0,0.37452999999435876,0.39487468081290966,Rpl7a
ENSMUSG00000052187,0.38361638323579184,0.0,0.0,0.3733870136115805,0.3937524747465699,Hbb-y
ENSMUSG00000060938,0.3832868114385106,0.0,0.0,0.37305445065788706,0.39342594662555946,Rpl26
ENSMUSG00000036390,0.3824039867177381,0.0,0.0,0.3721636264740936,0.3925512624035679,Gadd45a
ENSMUSG00000020372,0.35654833284925436,0.0,0.0,0.3460820537223311,0.3669258791739668,Rack1
ENSMUSG00000028741,0.35226456765560926,0.0,0.0,0.3417624198401726,0.3626787438324087,Mrto4
ENSMUSG00000028333,0.3512400823294461,0.0,0.0,0.34072942207498896,0.3616629546250455,Anp32b
ENSMUSG00000039910,0.34839445609036107,0.0,0.0,0.3378602846894488,0.35884135302672465,Cited2
ENSMUSG00000027078,0.346990222631274,0.0,0.0,0.33644452130652364,0.3574489046665582,Ube2l6
ENSMUSG00000025508,0.33637395449339347,0.0,0.0,0.3257426271297355,0.3469202292744999,Rplp2
ENSMUSG00000004897,0.3324812173597485,0.0,0.0,0.32181917542261257,0.3430589442161833,Hdgf
ENSMUSG00000050708,0.3282663835446658,0.0,0.0,0.31757149845533605,0.3388777617919977,Ftl1
ENSMUSG00000027510,0.32767024617327317,0.0,0.0,0.31697075046149786,0.33828635016680053,Rbm38
ENSMUSG00000027869,0.3261722860204117,0.0,0.0,0.31546124273368,0.3368002277474439,Hsd3b6
ENSMUSG00000061983,0.32540677010791647,0.0,0.0,0.3146898464899455,0.3360407409322097,Rps12
ENSMUSG00000000740,0.31122881546650927,0.0,0.0,0.3004055420532701,0.3219719495022008,Rpl13
ENSMUSG00000021102,0.3098060567126916,0.0,0.0,0.2989723790802146,0.3205598832828617,Glrx5
ENSMUSG00000026815,0.29494092794544385,0.0,0.0,0.28400146822312117,0.30580361217646895,Gfi1b
ENSMUSG00000020440,0.29309511990103604,0.0,0.0,0.2821428973821278,0.3039709567183066,Arf5
ENSMUSG00000030493,0.2898354098805879,0.0,0.0,0.2788608489458808,0.30073427764991767,Faap24
ENSMUSG00000057841,0.2889226849156245,0.0,0.0,0.27794191512161154,0.29982795640225324,Rpl32
ENSMUSG00000034024,0.2866635924846974,0.0,0.0,0.2756675415261452,0.29758462919814577,Cct2
ENSMUSG00000029430,0.28142117577229814,0.0,0.0,0.27039013787315563,0.2923783323420091,Ran
ENSMUSG00000058546,0.28139873642048124,0.0,0.0,0.27036755018990455,0.29235604619950595,Rpl23a
ENSMUSG00000018677,0.27565671022348615,0.0,0.0,0.2645879664489697,0.2866528336633098,Slc25a39
ENSMUSG00000006333,0.2752315235425732,0.0,0.0,0.26416003031647933,0.286230490069322,Rps9
ENSMUSG00000073063,0.274045965534414,0.0,0.0,0.2629668289708403,0.2850528369333675,Hbq1b
ENSMUSG00000021361,0.27334706880077275,0.0,0.0,0.26226344230149845,0.28435858462127594,Tmem14c
ENSMUSG00000037742,0.27208749441687385,0.0,0.0,0.2609958057485211,0.2831073514021567,Eef1a1
ENSMUSG00000027562,0.27148010903190356,0.0,0.0,0.26038454633646085,0.2825039748442075,Car2
ENSMUSG00000032288,0.26440265875390284,0.0,0.0,0.25326261023891583,0.2754725936455593,Imp3
ENSMUSG00000018293,0.2641365610850676,0.0,0.0,0.25299486354619805,0.27520820497360365,Pfn1
ENSMUSG00000001014,0.2620952084540734,0.0,0.0,0.25094091729068607,0.27317990710810963,Icam4
ENSMUSG00000003970,0.26118333219464845,0.0,0.0,0.2500234478868217,0.27227383059021265,Rpl8
ENSMUSG00000070803,0.2600421717760061,0.0,0.0,0.24887531620303954,0.2711399005041909,Cited4
