,Endothelial/Mixed_corr,Endothelial/Mixed_pval,Endothelial/Mixed_qval,Endothelial/Mixed_ci_low,Endothelial/Mixed_ci_high,gene_annotation
ENSMUSG00000020460,0.4596322770220787,0.0,0.0,0.45016312463447117,0.4689980668702775,Rps27a
ENSMUSG00000041841,0.4587837556569858,0.0,0.0,0.44930534403433714,0.46815889363140145,Rpl37
ENSMUSG00000090862,0.44397610174187896,0.0,0.0,0.43433891911409067,0.4535116520179893,Rps13
ENSMUSG00000024608,0.4354743606343613,0.0,0.0,0.4257484243574118,0.4450996825080243,Rps14
ENSMUSG00000028081,0.43459479364523856,0.0,0.0,0.42485977522425433,0.4442293060683051,Rps3a1
ENSMUSG00000009927,0.43381712952742063,0.0,0.0,0.4240740968079496,0.4434597525740297,Rps25
ENSMUSG00000007892,0.4325952981992227,0.0,0.0,0.4228397033923623,0.44225063558101063,Rplp1
ENSMUSG00000040824,0.4267989320891914,0.0,0.0,0.41698423596615214,0.43651410804848256,Snrpd2
ENSMUSG00000033307,0.42481847517198323,0.0,0.0,0.4149837724858097,0.43455391523488296,Mif
ENSMUSG00000025134,0.40869453496202257,0.0,0.0,0.39870048613430703,0.4185915228240426,Alyref
ENSMUSG00000058558,0.39947870076521697,0.0,0.0,0.3893964049725798,0.4094652760638717,Rpl5
ENSMUSG00000052146,0.39770595482357707,0.0,0.0,0.3876069198885378,0.4077095338128797,Rps10
ENSMUSG00000039771,0.395188389799746,0.0,0.0,0.3850657135684938,0.40521598945506526,Polr2j
ENSMUSG00000028234,0.3932789252050747,0.0,0.0,0.383138420425855,0.4033246440025839,Rps20
ENSMUSG00000044533,0.3904422453392181,0.0,0.0,0.38027541766931233,0.4005147232559289,Rps2
ENSMUSG00000025362,0.3866290967100532,0.0,0.0,0.37642719201043284,0.39673724650800757,Rps26
ENSMUSG00000012848,0.3859699305128037,0.0,0.0,0.375761997850908,0.39608421208047767,Rps5
ENSMUSG00000009013,0.3849116087634981,0.0,0.0,0.3746940199315613,0.3950357137686632,Dynll1
ENSMUSG00000059291,0.3841334413557624,0.0,0.0,0.37390876979101584,0.39426475255344384,Rpl11
ENSMUSG00000047215,0.3803035124903548,0.0,0.0,0.3700441952415738,0.3904700827900644,Rpl9
ENSMUSG00000029614,0.38016396925684065,0.0,0.0,0.3699033963983261,0.3903318176968791,Rpl6
ENSMUSG00000067288,0.3778978993538212,0.0,0.0,0.36761700237216577,0.38808643956486355,Rps28
ENSMUSG00000012405,0.3759557042837432,0.0,0.0,0.3656574868799369,0.38616188266159707,Rpl15
ENSMUSG00000071415,0.3706474083180542,0.0,0.0,0.36030231741740876,0.38090134097252026,Rpl23
ENSMUSG00000059070,0.36541671325575964,0.0,0.0,0.35502610099719606,0.37571705264805993,Rpl18
ENSMUSG00000008668,0.36326916800037723,0.0,0.0,0.3528600578838337,0.3735883737233875,Rps18
ENSMUSG00000019505,0.3611632270472297,0.0,0.0,0.3507360857689963,0.3715008280493586,Ubb
ENSMUSG00000022956,0.3605107710276247,0.0,0.0,0.35007806515712847,0.3708540499883918,Atp5o
ENSMUSG00000034892,0.3577906816809337,0.0,0.0,0.347334887960679,0.3681575239389785,Rps29
ENSMUSG00000063480,0.3574548256734789,0.0,0.0,0.34699619365184126,0.36782456525232454,Nhp2l1
ENSMUSG00000060036,0.3557634905575753,0.0,0.0,0.34529060661093575,0.36614778032379053,Rpl3
ENSMUSG00000041453,0.3510563432042542,0.0,0.0,0.34054415894695206,0.3614807725119923,Rpl21
ENSMUSG00000067274,0.3504599856609252,0.0,0.0,0.3399428606092917,0.360889463040066,Rplp0
ENSMUSG00000015656,0.34331220292814035,0.0,0.0,0.3327365279450145,0.3538015325208628,Hspa8
ENSMUSG00000019179,0.34007644892930566,0.0,0.0,0.32947467486620535,0.35059247703904745,Mdh2
ENSMUSG00000001525,0.33868797416793867,0.0,0.0,0.32807507847854955,0.349215382995571,Tubb5
ENSMUSG00000020358,0.33826774851069946,0.0,0.0,0.32765149601550453,0.34879859277928443,Hnrnpab
ENSMUSG00000040952,0.3354054518643277,0.0,0.0,0.3247664485784006,0.34595958524537357,Rps19
ENSMUSG00000036781,0.33450559599970203,0.0,0.0,0.3238594811689629,0.34506701113747484,Rps27l
ENSMUSG00000023004,0.3327271954602938,0.0,0.0,0.3220670835082014,0.3433029454735646,Tuba1b
ENSMUSG00000067367,0.3306741224148305,0.0,0.0,0.3199979465319882,0.3412663285166811,Lyar
ENSMUSG00000062328,0.325631034152835,0.0,0.0,0.31491583175910987,0.33626324013686426,Rpl17
ENSMUSG00000047675,0.3222673324781927,0.0,0.0,0.3115264412503667,0.33292588441634097,Rps8
ENSMUSG00000033099,0.3209145586075143,0.0,0.0,0.310163413202644,0.3315836307576612,Nol12
ENSMUSG00000055302,0.3208122186565948,0.0,0.0,0.310060299301826,0.3314820849236218,Mrfap1
ENSMUSG00000022234,0.3207471772334253,0.0,0.0,0.30999476613180815,0.3314175480672684,Cct5
ENSMUSG00000024258,0.32001982114829663,0.0,0.0,0.3092619178179799,0.33069582773411044,Polr2d
ENSMUSG00000063457,0.31991090558702284,0.0,0.0,0.309152180940762,0.33058775500514903,Rps15
ENSMUSG00000048758,0.3177899128381234,0.0,0.0,0.30701525121513845,0.3284831195283336,Rpl29
ENSMUSG00000033126,0.31690523620271716,0.0,0.0,0.3061239592952681,0.327605234208307,Ybey
