,Extra-Embryonic endoderm_1_corr,Extra-Embryonic endoderm_1_pval,Extra-Embryonic endoderm_1_qval,Extra-Embryonic endoderm_1_ci_low,Extra-Embryonic endoderm_1_ci_high,gene_annotation
ENSMUSG00000037339,0.8508617613096283,0.0,0.0,0.8475322087392941,0.8541243449228028,Fam53a
ENSMUSG00000022031,0.84558020169368,0.0,0.0,0.8421427933998752,0.8489488965474135,Elp3
ENSMUSG00000044876,0.844297509684282,0.0,0.0,0.840834010923046,0.8476918774366492,Zfp444
ENSMUSG00000074884,0.8362836866439676,0.0,0.0,0.8326581002748307,0.8398375868441291,Serf2
ENSMUSG00000009076,0.8352989703150483,0.0,0.0,0.8316535760943051,0.838872370752994,Zmat5
ENSMUSG00000025786,0.8327467436068976,0.0,0.0,0.8290501216648722,0.8363705809270118,Zdhhc3
ENSMUSG00000051705,0.8320204678104769,0.0,0.0,0.8283092975146327,0.8356586301363698,Senp8
ENSMUSG00000024271,0.8317007006878198,0.0,0.0,0.8279831291089021,0.835345166198489,Elp2
ENSMUSG00000018846,0.8282780106850058,0.0,0.0,0.8244920792762119,0.8319897951136964,Pank3
ENSMUSG00000023791,0.8279679643730258,0.0,0.0,0.8241758547849365,0.8316858335104949,Pigx
ENSMUSG00000031652,0.8277360117926884,0.0,0.0,0.8239392817166994,0.8314584315797227,N4bp1
ENSMUSG00000016541,0.8224127365031765,0.0,0.0,0.8185103306366956,0.8262392501990966,Atxn10
ENSMUSG00000019261,0.8222496297157158,0.0,0.0,0.8183439969150488,0.8260793225073859,Map1s
ENSMUSG00000044715,0.8220760544731288,0.0,0.0,0.8181669883470674,0.8259091297225166,Gskip
ENSMUSG00000031819,0.8220118849761228,0.0,0.0,0.8181015497623807,0.8258462105185127,Emc8
ENSMUSG00000008301,0.821875576937557,0.0,0.0,0.8179625462797422,0.825712558019816,Phax
ENSMUSG00000032898,0.821590271251321,0.0,0.0,0.8176716002518571,0.8254328092365049,Fbxo21
ENSMUSG00000014554,0.82058852244164,0.0,0.0,0.8166500632544758,0.8244505565552269,Dguok
ENSMUSG00000061374,0.8195185391447957,0.0,0.0,0.8155589711464307,0.823401371672629,Fiz1
ENSMUSG00000025162,0.8175875704926108,0.0,0.0,0.8135899792656511,0.8215078701455347,Csnk1d
ENSMUSG00000031575,0.8175616842414866,0.0,0.0,0.8135635839041145,0.821482485585247,Ash2l
ENSMUSG00000053453,0.8171855979046263,0.0,0.0,0.8131801028558069,0.821113686270835,Thoc7
ENSMUSG00000002031,0.8156191498235563,0.0,0.0,0.811582892257456,0.8195775542946521,Ift46
ENSMUSG00000032309,0.8154006448031522,0.0,0.0,0.8113601009452024,0.8193632735679784,Fbxo22
ENSMUSG00000068921,0.813242741316555,0.0,0.0,0.8091599301021601,0.8172470287334184,Dap3
ENSMUSG00000034781,0.8132148925346899,0.0,0.0,0.8091315365880091,0.817219716870601,Gna11
ENSMUSG00000047749,0.8126968194002321,0.0,0.0,0.8086033332315358,0.8167116288045735,Zc3hav1l
ENSMUSG00000001445,0.8121745326847936,0.0,0.0,0.8080708405823601,0.816199402066493,Mrpl10
ENSMUSG00000033918,0.8120279205072092,0.0,0.0,0.8079213646816006,0.8160556127085158,Parl
ENSMUSG00000006932,0.8118492499988794,0.0,0.0,0.8077392049805856,0.81588038158567,Ctnnb1
ENSMUSG00000058881,0.8114442147755883,0.0,0.0,0.8073262628748065,0.8154831404991393,Zfp516
ENSMUSG00000003435,0.8106455206623041,0.0,0.0,0.8065119888965739,0.8146998045933345,Supt5
ENSMUSG00000004937,0.810239413759293,0.0,0.0,0.8060979662128714,0.8143015011056132,Sgta
ENSMUSG00000080268,0.8100406543527167,0.0,0.0,0.8058953340925694,0.814106559501515,Brms1
ENSMUSG00000020091,0.8099960531253011,0.0,0.0,0.8058498639690741,0.8140628148557233,Eif4ebp2
ENSMUSG00000021555,0.809375423630354,0.0,0.0,0.8052171487930954,0.8134540999712221,Naa35
ENSMUSG00000046792,0.8087396089368281,0.0,0.0,0.8045689625318331,0.8128304821423159,Zfp787
ENSMUSG00000036980,0.8067025324253217,0.0,0.0,0.8024923158716449,0.8108324198158214,Taf6
ENSMUSG00000008690,0.8065906692859747,0.0,0.0,0.8023782827485711,0.8107226962962764,Ncaph2
ENSMUSG00000007815,0.8062071443052784,0.0,0.0,0.8019873202707676,0.8103465048404539,Rhoa
ENSMUSG00000059248,0.8058947968523388,0.0,0.0,0.8016689183000099,0.810040127378978,Sept9
ENSMUSG00000026036,0.8051905797165307,0.0,0.0,0.8009510594736552,0.8093493618544425,Nif3l1
ENSMUSG00000021302,0.804894032372233,0.0,0.0,0.8006487712312882,0.8090584755698795,Ggps1
ENSMUSG00000020888,0.8046198619970278,0.0,0.0,0.8003692950794977,0.8087895372651349,Dvl2
ENSMUSG00000024740,0.8037021520475301,0.0,0.0,0.7994338389428779,0.8078893275444559,Ddb1
ENSMUSG00000037017,0.8027447182156835,0.0,0.0,0.7984579128259478,0.8069501306271957,Zscan21
ENSMUSG00000052214,0.8022299638529831,0.0,0.0,0.7979332255900303,0.8064451723609138,Opa3
ENSMUSG00000063281,0.801933285513909,0.0,0.0,0.7976308254040468,0.8061541372027561,Zfp35
ENSMUSG00000024220,0.8019013054753373,0.0,0.0,0.7975982287159075,0.8061227653412696,Zfp523
ENSMUSG00000029392,0.8016881812559733,0.0,0.0,0.7973809956074749,0.8059136935837331,Rilpl1
ENSMUSG00000001018,0.8016540242523132,0.0,0.0,0.797346180183948,0.8058801859622488,Snapin
ENSMUSG00000025373,0.8015545925702691,0.0,0.0,0.7972448319924618,0.8057826444898666,Rnf41
ENSMUSG00000024926,0.800794079474793,0.0,0.0,0.7964696683199748,0.8050365812632433,Kat5
ENSMUSG00000021179,0.8003574483815378,0.0,0.0,0.7960246323575912,0.8046082401652745,Nrde2
ENSMUSG00000033728,0.8003490241791429,0.0,0.0,0.7960160460407573,0.8045999758635518,Lrrc14
ENSMUSG00000031681,0.800306673505241,0.0,0.0,0.7959728804014918,0.8045584290272992,Smad1
ENSMUSG00000058192,0.8001961307129191,0.0,0.0,0.7958602106122638,0.8044499841981402,Zfp846
ENSMUSG00000046562,0.8000474036422148,0.0,0.0,0.7957086222998654,0.8043040793327928,Unc119b
ENSMUSG00000020265,0.8000328030965251,0.0,0.0,0.795693740895202,0.8042897558155094,Sumo3
ENSMUSG00000057156,0.7998584496259328,0.0,0.0,0.7955160339316735,0.8041187101174009,Homez
ENSMUSG00000037503,0.7996652906047598,0.0,0.0,0.7953191605861462,0.8039292148173514,Fam168b
ENSMUSG00000005656,0.7988498960267975,0.0,0.0,0.794488096596211,0.8031292765991135,Snx6
ENSMUSG00000004263,0.7987097693436659,0.0,0.0,0.794345278748059,0.802991804559206,Atn1
ENSMUSG00000022010,0.7980545837945183,0.0,0.0,0.7936775166124028,0.8023490251888057,Tsc22d1
ENSMUSG00000022682,0.7968049815039226,0.0,0.0,0.7924039568764498,0.8011230569580331,Rrn3
ENSMUSG00000001910,0.7966790832991166,0.0,0.0,0.7922756470716714,0.8009995378900021,Nacc1
ENSMUSG00000036450,0.7963200468889492,0.0,0.0,0.7919097354013757,0.8006472842800881,Hif1an
ENSMUSG00000071054,0.7962106239608896,0.0,0.0,0.7917982177414812,0.8005399279399442,Safb
ENSMUSG00000007656,0.7959543876431386,0.0,0.0,0.7915370773288378,0.800288529876118,Arpp19
ENSMUSG00000029815,0.7959472270832868,0.0,0.0,0.7915297797465362,0.8002815045000653,Malsu1
ENSMUSG00000022951,0.7951268097485645,0.0,0.0,0.7906936714783177,0.7994765678985549,Rcan1
ENSMUSG00000079562,0.7950299071608842,0.0,0.0,0.7905949166672434,0.7993814927672009,Maea
